id,Beth A. Wood,Chuck Stuber,OVER VOTES,UNDER VOTES
01-01,1131,471,1,102
01-02,1001,585,1,84
01-03,931,819,0,85
01-04,575,454,0,64
01-05,490,421,0,39
01-06,1489,782,1,115
01-07,1149,493,0,104
01-07A,192,23,1,21
01-09,698,296,0,53
01-10,811,471,0,65
01-11,806,992,0,70
01-12,880,627,0,92
01-13,940,336,0,77
01-14,2143,682,0,168
01-15,845,687,0,55
01-16,1357,777,0,111
01-17,454,445,0,40
01-18,1370,819,0,125
01-19,1304,48,0,54
01-20,1665,325,0,111
01-21,2032,951,0,183
01-22,2845,136,1,82
01-23,3230,1817,2,461
01-25,401,52,0,20
01-26,1745,133,1,101
01-27,1164,307,0,95
01-28,2623,532,0,146
01-29,1024,992,0,89
01-30,582,498,0,58
01-31,1944,577,0,182
01-32,1284,589,0,132
01-33,735,483,0,55
01-34,1093,71,0,50
01-35,1541,60,1,80
01-36,923,1023,0,117
01-37,859,670,0,78
01-38,1262,476,1,92
01-39,1401,672,0,119
01-40,2913,186,2,101
01-41,1132,439,0,128
01-42,1096,1247,1,103
01-43,1205,504,1,92
01-44,1872,943,1,138
01-45,865,602,0,61
01-46,1929,279,0,109
01-47,933,927,0,65
01-48,1311,508,1,79
01-49,1624,615,0,119
01-50,1959,113,0,62
01-51,519,412,0,53
02-01,1251,1327,1,117
02-02,1880,2612,0,244
02-03,998,1466,0,123
02-04,787,1182,0,108
02-05,388,481,0,42
02-06,900,1309,0,87
03-00,1301,1561,0,184
04-01,1068,653,0,108
04-02,1212,805,0,94
04-03,1012,572,0,80
04-04,840,495,0,78
04-05,1700,1166,1,135
04-06,1373,998,0,152
04-07,997,1384,0,115
04-08,1261,645,0,101
04-09,1000,992,0,111
04-10,1234,983,0,136
04-11,810,396,1,58
04-12,1260,1032,2,117
04-13,2028,1588,0,243
04-14,802,609,0,69
04-15,1123,833,0,117
04-16,1057,682,0,107
04-17,940,602,0,99
04-18,1232,868,0,129
04-19,829,637,0,89
04-20,1521,927,1,128
04-21,947,433,0,85
05-01,1856,1336,1,175
05-03,1387,1311,1,180
05-05,3378,2162,0,333
05-06,2120,1834,0,214
05-07,3422,1673,1,292
05-08,1537,720,0,142
06-04,1478,1241,2,184
06-05,1097,1586,1,141
06-06,2018,2127,1,264
06-07,1382,1260,0,141
06-08,986,797,0,96
06-09,1734,2247,0,282
06-10,990,1262,3,119
07-01,854,528,1,65
07-02,764,572,0,62
07-03,720,615,0,56
07-04,2142,1117,0,182
07-05,864,618,0,68
07-06,1453,1386,0,155
07-07,1695,1243,0,150
07-07A,292,175,0,37
07-09,1571,980,0,120
07-10,2314,1475,1,227
07-11,572,459,1,44
07-12,1332,775,0,133
07-13,1115,731,0,84
08-02,1821,1376,0,155
08-03,2297,1802,1,213
08-04,684,769,0,80
08-05,896,892,0,78
08-06,1230,492,1,86
08-07,1027,1170,0,108
08-08,1716,1797,0,191
08-09,970,664,2,104
08-10,1233,892,0,108
08-11,1819,1309,2,228
09-01,894,894,0,72
09-02,1724,883,1,118
09-03,1012,1171,0,83
10-01,372,625,0,38
10-02,1606,1236,1,110
10-03,1174,877,2,77
10-04,3123,2017,0,187
11-01,2245,1465,0,239
11-02,1972,1487,0,148
12-01,1692,2584,0,219
12-02,1716,1657,0,186
12-04,1143,2072,1,144
12-05,2510,3274,1,305
12-06,1192,1602,0,151
12-07,896,1152,2,92
12-08,1798,1515,0,161
12-09,1338,1776,1,172
13-01,2670,628,0,135
13-02,855,792,0,111
13-05,1149,442,0,88
13-06,1366,1078,0,114
13-07,1306,523,0,80
13-08,1624,373,1,86
13-09,2446,744,0,143
13-10,2330,2237,2,258
13-11,1273,1304,0,114
14-01,235,372,0,29
14-02,1574,3080,0,230
15-01,1412,1881,0,154
15-02,2017,2137,0,192
15-03,1357,2169,1,169
15-04,827,937,1,76
16-01,1006,1030,1,78
16-02,3028,655,0,130
16-03,777,404,0,50
16-04,1231,898,1,89
16-05,1167,887,0,105
16-06,797,363,0,41
16-07,1581,1092,0,108
16-08,4867,723,0,190
16-09,1606,926,0,116
17-01,1523,577,0,97
17-02,439,322,0,41
17-03,3370,1506,0,264
17-04,2925,1573,0,170
17-05,2191,835,0,150
17-06,792,750,1,72
17-07,2432,405,0,83
17-08,3999,2030,1,263
17-09,2432,231,1,89
17-10,619,290,0,56
17-11,2458,785,1,140
18-01,2531,1128,2,257
18-02,1629,2181,3,206
18-03,1024,899,1,95
18-04,1565,1596,1,134
18-05,2000,2073,0,197
18-06,2001,1118,0,224
18-07,1141,1555,2,126
18-08,1637,1391,1,196
19-03,1033,1314,0,126
19-04,2918,2864,1,303
19-05,987,1499,0,131
19-07,1128,1103,0,137
19-09,1542,1862,0,169
19-10,2773,3610,2,340
19-11,1079,1185,0,157
19-12,2134,2205,1,249
19-13,970,723,0,107
19-14,1028,1154,0,116
19-15,957,1077,0,108
19-16,1134,1050,0,90
19-17,2503,1362,0,158
20-01,1560,1168,0,167
20-03,1446,1442,0,185
20-04,1611,1182,1,169
20-05,1493,1616,0,184
20-06A,2003,1571,0,252
20-06B,1291,1502,0,215
20-08,1809,1751,2,253
20-09,1138,1108,2,145
20-10,1415,1116,0,169
20-11,1409,1575,0,203
20-12,976,1110,0,156
20-14,2525,1981,0,275
20-15,1699,1059,1,166
20-16,1496,849,0,123
20-17,1447,1280,1,198
