id,Buck Newton,Josh Stein,over,under
01-01,406,1240,0,59
01-02,461,1168,0,42
01-03,716,1078,0,41
01-04,406,653,0,34
01-05,381,552,0,17
01-06,607,1709,0,71
01-07,388,1301,0,57
01-07A,21,200,0,16
01-09,226,794,0,27
01-10,435,885,0,27
01-11,942,887,0,39
01-12,550,1000,1,48
01-13,238,1069,0,46
01-14,510,2386,0,97
01-15,655,890,1,41
01-16,694,1486,0,65
01-17,432,470,0,37
01-18,785,1429,0,100
01-19,50,1312,0,44
01-20,226,1800,0,75
01-21,843,2192,0,131
01-22,126,2874,2,62
01-23,1593,3561,2,354
01-25,40,415,0,18
01-26,93,1817,1,69
01-27,221,1285,0,60
01-28,449,2766,0,86
01-29,859,1204,0,42
01-30,472,629,0,37
01-31,500,2067,1,135
01-32,515,1397,1,92
01-33,421,818,0,34
01-34,60,1120,0,34
01-35,58,1573,1,50
01-36,975,1015,1,72
01-37,633,926,0,48
01-38,489,1277,1,64
01-39,625,1489,0,78
01-40,171,2958,1,72
01-41,386,1224,3,86
01-42,1239,1128,0,80
01-43,494,1240,0,68
01-44,883,1973,2,96
01-45,599,882,1,46
01-46,284,1955,0,78
01-47,920,956,0,49
01-48,401,1434,0,64
01-49,592,1673,0,93
01-50,109,1977,0,48
01-51,402,547,0,35
02-01,1287,1316,1,92
02-02,2557,1993,0,186
02-03,1430,1056,1,100
02-04,1149,857,2,69
02-05,471,414,0,26
02-06,1299,933,0,64
03-00,1516,1395,0,135
04-01,635,1115,0,79
04-02,758,1278,2,73
04-03,550,1056,0,58
04-04,493,866,0,54
04-05,1037,1871,1,93
04-06,961,1457,0,105
04-07,1286,1140,0,70
04-08,591,1347,1,68
04-09,920,1106,2,75
04-10,905,1344,0,104
04-11,359,865,0,41
04-12,973,1350,0,88
04-13,1531,2142,0,186
04-14,565,865,0,50
04-15,755,1232,0,86
04-16,637,1129,0,80
04-17,521,1046,1,73
04-18,771,1365,0,93
04-19,580,905,0,70
04-20,826,1661,0,90
04-21,387,1010,0,68
05-01,1294,1943,1,130
05-03,1248,1521,0,110
05-05,2048,3584,0,241
05-06,1694,2308,0,166
05-07,1542,3624,1,221
05-08,668,1636,0,95
06-04,1209,1568,1,127
06-05,1585,1153,0,87
06-06,2030,2181,1,198
06-07,1243,1438,0,102
06-08,763,1050,0,66
06-09,2209,1852,1,201
06-10,1272,1026,0,76
07-01,480,920,0,48
07-02,526,822,0,50
07-03,583,774,0,34
07-04,1056,2252,0,133
07-05,594,907,1,48
07-06,1320,1568,2,104
07-07,1210,1779,0,99
07-07A,180,293,0,31
07-09,929,1648,0,94
07-10,1340,2517,0,160
07-11,451,595,0,30
07-12,741,1396,1,102
07-13,708,1168,0,54
08-02,1326,1915,1,110
08-03,1712,2451,1,149
08-04,749,726,0,58
08-05,868,946,0,52
08-06,440,1303,0,66
08-07,1123,1104,0,78
08-08,1632,1937,0,135
08-09,620,1043,0,77
08-10,831,1329,1,72
08-11,1191,2009,1,157
09-01,954,841,0,65
09-02,930,1702,1,93
09-03,1217,987,1,61
10-01,660,349,0,26
10-02,1291,1581,0,81
10-03,925,1158,0,47
10-04,2057,3127,1,142
11-01,1294,2468,1,186
11-02,1328,2173,1,105
12-01,2650,1694,0,151
12-02,1668,1754,0,137
12-04,2130,1109,0,121
12-05,3246,2631,0,213
12-06,1617,1207,0,121
12-07,1173,905,0,64
12-08,1501,1831,2,140
12-09,1751,1418,0,118
13-01,594,2728,0,111
13-02,780,899,0,79
13-05,440,1164,0,75
13-06,1030,1451,0,77
13-07,531,1312,1,65
13-08,378,1629,0,77
13-09,706,2519,1,107
13-10,2158,2496,0,173
13-11,1308,1313,0,70
14-01,379,237,0,20
14-02,3013,1701,2,168
15-01,1953,1397,0,97
15-02,2185,2016,2,143
15-03,2212,1360,2,122
15-04,979,799,1,62
16-01,1077,988,1,49
16-02,637,3073,2,101
16-03,410,780,0,41
16-04,966,1183,0,70
16-05,941,1136,0,82
16-06,382,784,0,35
16-07,1148,1558,0,75
16-08,749,4875,1,155
16-09,942,1614,0,92
17-01,538,1574,1,84
17-02,349,424,0,29
17-03,1489,3473,1,177
17-04,1609,2922,1,136
17-05,825,2248,1,102
17-06,810,759,0,46
17-07,405,2445,1,69
17-08,2061,4024,0,208
17-09,233,2453,1,66
17-10,306,616,0,43
17-11,748,2523,1,112
18-01,1020,2703,1,194
18-02,2181,1705,0,133
18-03,833,1122,0,64
18-04,1616,1570,1,109
18-05,1999,2122,2,147
18-06,1011,2177,0,155
18-07,1574,1151,0,99
18-08,1289,1797,1,138
19-03,1336,1050,0,87
19-04,2825,3047,2,212
19-05,1538,974,0,105
19-07,1121,1149,0,98
19-09,1941,1510,2,120
19-10,3605,2891,2,227
19-11,1188,1125,0,108
19-12,2237,2163,0,189
19-13,688,1032,0,80
19-14,1120,1091,0,87
19-15,1078,972,0,92
19-16,1049,1165,1,59
19-17,1320,2573,1,129
20-01,1191,1579,0,125
20-03,1399,1541,0,133
20-04,1153,1692,0,118
20-05,1539,1632,0,122
20-06A,1553,2085,0,188
20-06B,1392,1460,0,156
20-08,1697,1918,0,200
20-09,1051,1247,0,95
20-10,1037,1540,0,123
20-11,1548,1487,1,151
20-12,1077,1064,0,101
20-14,1811,2785,1,184
20-15,967,1832,1,125
20-16,773,1589,0,106
20-17,1210,1586,0,130
