id,Steve Troxler,Walter Smith,over,under
01-01,591,1034,0,80
01-02,765,844,0,62
01-03,1099,678,1,57
01-04,612,433,1,47
01-05,586,340,0,24
01-06,947,1329,0,111
01-07,628,1019,0,99
01-07A,31,183,1,22
01-09,440,571,1,35
01-10,714,581,0,52
01-11,1377,440,0,51
01-12,794,736,0,69
01-13,406,888,0,59
01-14,897,1950,0,146
01-15,867,669,1,50
01-16,1060,1091,1,93
01-17,599,306,0,34
01-18,1097,1101,0,116
01-19,70,1285,0,51
01-20,359,1648,0,94
01-21,1159,1851,0,156
01-22,216,2776,0,72
01-23,2024,3077,1,408
01-25,54,404,0,15
01-26,155,1734,0,91
01-27,392,1094,1,79
01-28,679,2508,1,113
01-29,1344,699,1,61
01-30,699,396,0,43
01-31,747,1798,1,157
01-32,731,1159,1,114
01-33,653,569,1,50
01-34,80,1095,0,39
01-35,93,1526,0,63
01-36,1278,683,1,101
01-37,953,600,0,54
01-38,691,1057,1,82
01-39,867,1220,0,105
01-40,274,2842,1,85
01-41,641,941,0,117
01-42,1562,796,0,89
01-43,691,1037,0,74
01-44,1212,1609,1,132
01-45,781,695,0,52
01-46,409,1817,1,90
01-47,1228,631,0,66
01-48,710,1110,3,76
01-49,760,1499,1,98
01-50,179,1894,2,59
01-51,527,408,0,49
02-01,1668,919,2,107
02-02,3039,1482,0,215
02-03,1744,737,0,106
02-04,1391,598,1,87
02-05,604,275,0,32
02-06,1590,619,0,87
03-00,1837,1053,0,156
04-01,872,859,1,97
04-02,1045,990,0,76
04-03,735,857,0,72
04-04,636,711,1,65
04-05,1500,1381,2,119
04-06,1345,1040,1,137
04-07,1640,764,2,90
04-08,799,1117,0,91
04-09,1126,873,0,104
04-10,1195,1022,0,136
04-11,506,707,1,51
04-12,1317,996,2,96
04-13,1960,1653,1,245
04-14,777,639,0,64
04-15,980,989,0,104
04-16,870,885,0,91
04-17,724,825,0,92
04-18,1067,1036,0,126
04-19,774,706,0,75
04-20,1136,1321,0,120
04-21,487,891,1,86
05-01,1538,1661,1,168
05-03,1490,1215,0,174
05-05,2425,3112,2,334
05-06,2071,1875,0,222
05-07,1833,3256,0,299
05-08,828,1432,0,139
06-04,1439,1299,1,166
06-05,1868,831,0,126
06-06,2407,1762,2,239
06-07,1461,1189,2,131
06-08,910,880,0,89
06-09,2515,1487,1,260
06-10,1439,830,0,105
07-01,678,710,0,60
07-02,740,601,0,57
07-03,825,523,0,43
07-04,1452,1830,2,157
07-05,786,692,3,69
07-06,1827,1031,0,136
07-07,1674,1277,0,137
07-07A,320,148,0,36
07-09,1250,1303,1,117
07-10,1788,2031,1,197
07-11,615,425,0,36
07-12,1081,1045,0,114
07-13,910,943,0,77
08-02,1736,1479,2,135
08-03,2119,1994,0,200
08-04,915,555,0,63
08-05,1123,684,0,59
08-06,614,1119,0,76
08-07,1451,759,1,94
08-08,2071,1458,1,174
08-09,815,839,0,86
08-10,1075,1062,0,96
08-11,1537,1619,0,202
09-01,1078,729,1,52
09-02,1094,1521,0,111
09-03,1404,790,0,72
10-01,758,255,0,22
10-02,1534,1349,0,70
10-03,1122,965,0,43
10-04,2473,2709,1,144
11-01,1780,1960,2,207
11-02,1893,1580,2,132
12-01,2992,1320,0,183
12-02,1895,1492,0,172
12-04,2377,868,0,115
12-05,3765,2042,2,281
12-06,1900,916,1,128
12-07,1388,675,1,78
12-08,1756,1573,0,145
12-09,2086,1049,0,152
13-01,771,2533,2,127
13-02,991,674,0,93
13-05,518,1074,0,87
13-06,1271,1181,1,105
13-07,674,1156,0,79
13-08,450,1556,0,78
13-09,904,2287,1,141
13-10,2629,1968,1,229
13-11,1567,1018,0,106
14-01,445,172,0,19
14-02,3397,1277,1,209
15-01,2274,1070,0,103
15-02,2583,1618,1,144
15-03,2531,1049,1,115
15-04,1183,605,0,53
16-01,1259,787,0,69
16-02,848,2862,1,102
16-03,536,648,0,47
16-04,1264,880,0,75
16-05,1166,920,0,73
16-06,495,669,0,37
16-07,1524,1182,0,75
16-08,946,4645,1,188
16-09,1127,1410,0,111
17-01,728,1392,0,77
17-02,427,337,0,38
17-03,1848,3074,2,216
17-04,1934,2589,0,145
17-05,1048,2001,0,127
17-06,939,634,0,42
17-07,576,2276,0,68
17-08,2513,3550,0,230
17-09,318,2358,1,76
17-10,390,525,1,49
17-11,939,2308,1,136
18-01,1404,2283,1,230
18-02,2609,1232,2,176
18-03,1111,827,0,81
18-04,2037,1152,0,107
18-05,2490,1598,3,179
18-06,1355,1783,0,205
18-07,1852,866,0,106
18-08,1654,1393,1,177
19-03,1486,869,0,118
19-04,3303,2510,1,272
19-05,1747,763,0,107
19-07,1205,1038,0,125
19-09,2176,1242,0,155
19-10,4130,2289,1,305
19-11,1406,877,0,138
19-12,2565,1782,0,242
19-13,856,843,2,99
19-14,1270,923,0,105
19-15,1242,802,0,98
19-16,1245,956,1,72
19-17,1574,2311,0,138
20-01,1402,1341,3,149
20-03,1713,1196,0,164
20-04,1426,1374,1,162
20-05,1891,1232,1,169
20-06A,1857,1733,0,236
20-06B,1724,1091,1,192
20-08,2070,1526,0,219
20-09,1336,926,1,130
20-10,1336,1202,0,162
20-11,1805,1195,0,187
20-12,1303,809,0,130
20-14,2191,2310,0,280
20-15,1150,1614,0,161
20-16,930,1409,0,129
20-17,1406,1319,0,201
