id,Mike Causey,OVER VOTES,UNDER VOTES,Wayne Goodwin
01-01,435,1,106,1163
01-02,485,0,95,1091
01-03,714,0,97,1024
01-04,424,0,70,599
01-05,400,1,35,514
01-06,677,0,140,1570
01-07,439,0,110,1197
01-07A,22,1,21,193
01-09,231,0,53,763
01-10,424,0,70,853
01-11,939,0,92,837
01-12,576,0,119,904
01-13,245,0,80,1028
01-14,571,0,188,2234
01-15,659,0,71,857
01-16,678,0,130,1437
01-17,422,0,56,461
01-18,771,1,136,1406
01-19,40,0,60,1306
01-20,254,1,105,1741
01-21,860,1,204,2101
01-22,130,1,83,2850
01-23,1692,1,494,3323
01-25,45,1,18,409
01-26,99,0,95,1786
01-27,230,0,94,1242
01-28,465,0,145,2691
01-29,887,0,104,1114
01-30,463,0,64,611
01-31,520,0,188,1995
01-32,520,0,137,1348
01-33,428,0,66,779
01-34,46,0,49,1119
01-35,49,0,64,1569
01-36,989,0,129,945
01-37,629,0,81,897
01-38,455,1,99,1276
01-39,642,0,112,1438
01-40,169,0,93,2940
01-41,372,1,142,1184
01-42,1244,0,130,1073
01-43,488,0,86,1228
01-44,889,1,144,1920
01-45,603,0,63,862
01-46,289,0,122,1906
01-47,900,0,81,944
01-48,414,0,106,1379
01-49,604,0,127,1627
01-50,112,0,76,1946
01-51,368,1,59,556
02-01,1292,1,148,1255
02-02,2519,1,287,1929
02-03,1419,0,134,1034
02-04,1158,0,116,803
02-05,458,0,49,404
02-06,1301,0,100,895
03-00,1525,0,196,1325
04-01,632,0,123,1074
04-02,757,0,97,1257
04-03,543,0,88,1033
04-04,473,0,86,854
04-05,1061,0,156,1785
04-06,941,0,188,1394
04-07,1337,1,126,1032
04-08,594,1,117,1295
04-09,960,0,133,1010
04-10,936,0,157,1260
04-11,352,0,68,845
04-12,979,1,120,1311
04-13,1553,0,292,2014
04-14,597,0,77,806
04-15,749,0,135,1189
04-16,651,0,114,1081
04-17,544,0,116,981
04-18,792,0,149,1288
04-19,593,0,94,868
04-20,830,0,142,1605
04-21,402,1,98,964
05-01,1309,2,201,1856
05-03,1286,0,189,1404
05-05,2096,1,383,3393
05-06,1790,0,236,2142
05-07,1550,0,334,3504
05-08,709,0,157,1533
06-04,1244,1,200,1460
06-05,1555,1,160,1109
06-06,2078,0,270,2062
06-07,1224,1,159,1399
06-08,781,0,113,985
06-09,2179,0,322,1762
06-10,1257,1,123,993
07-01,479,0,72,897
07-02,543,1,74,780
07-03,569,0,56,766
07-04,1049,1,193,2198
07-05,532,0,66,952
07-06,1317,1,171,1505
07-07,1196,0,162,1730
07-07A,169,0,40,295
07-09,937,0,132,1602
07-10,1364,0,247,2406
07-11,442,0,51,583
07-12,744,0,133,1363
07-13,702,0,100,1128
08-02,1322,1,169,1860
08-03,1712,0,232,2369
08-04,726,1,84,722
08-05,824,0,86,956
08-06,470,0,98,1241
08-07,1125,0,118,1062
08-08,1678,0,218,1808
08-09,608,0,110,1022
08-10,831,0,125,1277
08-11,1227,0,243,1888
09-01,916,0,86,858
09-02,894,0,143,1689
09-03,1173,0,99,994
10-01,628,0,43,364
10-02,1257,1,120,1575
10-03,873,0,85,1172
10-04,2008,0,203,3116
11-01,1332,3,266,2348
11-02,1364,0,177,2066
12-01,2575,0,233,1687
12-02,1647,0,208,1704
12-04,2085,1,161,1113
12-05,3247,0,355,2488
12-06,1596,0,178,1171
12-07,1145,1,108,888
12-08,1496,0,186,1792
12-09,1757,2,176,1352
13-01,600,1,155,2677
13-02,778,0,125,855
13-05,427,0,103,1149
13-06,1034,0,119,1405
13-07,516,0,89,1304
13-08,376,0,92,1616
13-09,730,0,164,2439
13-10,2201,1,282,2343
13-11,1293,0,130,1268
14-01,375,0,25,236
14-02,3023,1,284,1576
15-01,1881,0,168,1398
15-02,2149,0,214,1983
15-03,2168,0,182,1346
15-04,947,0,73,821
16-01,1027,0,89,999
16-02,646,0,130,3037
16-03,387,0,56,788
16-04,899,1,105,1214
16-05,918,1,115,1125
16-06,381,0,49,771
16-07,1119,0,127,1535
16-08,721,2,203,4854
16-09,936,0,137,1575
17-01,553,0,110,1534
17-02,335,0,43,424
17-03,1446,2,285,3407
17-04,1548,1,192,2927
17-05,808,0,150,2218
17-06,766,0,68,781
17-07,411,1,83,2425
17-08,2042,0,290,3961
17-09,237,1,86,2429
17-10,284,0,61,620
17-11,736,0,153,2495
18-01,1014,0,297,2607
18-02,2125,1,231,1662
18-03,865,0,101,1053
18-04,1558,0,149,1589
18-05,2010,0,226,2034
18-06,1039,0,240,2064
18-07,1524,1,161,1138
18-08,1336,0,214,1675
19-03,1276,0,142,1055
19-04,2782,1,342,2961
19-05,1491,0,153,973
19-07,1097,0,149,1122
19-09,1856,1,199,1517
19-10,3609,1,377,2738
19-11,1195,0,168,1058
19-12,2230,0,284,2075
19-13,703,0,124,973
19-14,1144,0,124,1030
19-15,1114,0,110,918
19-16,1032,1,108,1133
19-17,1329,0,178,2516
20-01,1188,0,177,1530
20-03,1413,0,200,1460
20-04,1165,1,195,1602
20-05,1582,0,212,1499
20-06A,1539,2,291,1994
20-06B,1447,1,229,1331
20-08,1703,0,294,1818
20-09,1080,0,160,1153
20-10,1048,2,199,1451
20-11,1523,0,231,1433
20-12,1066,0,160,1016
20-14,1893,0,319,2569
20-15,1010,0,191,1724
20-16,816,0,144,1508
20-17,1227,0,241,1458
