id,Richard Dietz,Vince Rozier,over,under
01-01,433,1132,0,140
01-02,533,1009,1,128
01-03,859,828,0,148
01-04,493,505,0,95
01-05,457,415,1,77
01-06,703,1471,0,213
01-07,488,1121,0,137
01-07A,23,190,0,24
01-09,277,687,1,82
01-10,514,731,0,102
01-11,1103,631,1,133
01-12,628,821,0,150
01-13,256,983,0,114
01-14,625,2138,1,229
01-15,697,787,0,103
01-16,755,1305,0,185
01-17,477,377,0,85
01-18,866,1262,0,186
01-19,49,1288,0,69
01-20,262,1699,0,140
01-21,905,1989,0,272
01-22,142,2812,1,109
01-23,1687,3250,0,573
01-25,43,402,0,28
01-26,106,1725,0,149
01-27,263,1183,0,120
01-28,487,2616,2,196
01-29,1008,946,1,150
01-30,512,525,0,101
01-31,540,1917,0,246
01-32,573,1257,2,173
01-33,501,682,0,90
01-34,60,1096,0,58
01-35,64,1525,3,90
01-36,1065,802,0,196
01-37,710,783,0,114
01-38,525,1171,0,135
01-39,701,1323,0,168
01-40,189,2884,2,127
01-41,428,1096,0,175
01-42,1358,927,0,162
01-43,515,1143,0,144
01-44,956,1781,2,215
01-45,643,790,0,95
01-46,304,1846,0,167
01-47,992,811,0,122
01-48,459,1316,0,124
01-49,628,1557,0,173
01-50,112,1922,0,100
01-51,443,463,1,77
02-01,1407,1083,1,205
02-02,2672,1676,2,386
02-03,1519,875,1,192
02-04,1218,702,0,157
02-05,514,333,0,64
02-06,1413,731,2,150
03-00,1596,1169,0,281
04-01,689,990,0,150
04-02,842,1130,0,139
04-03,575,964,0,125
04-04,517,783,0,113
04-05,1179,1615,0,208
04-06,1082,1200,0,241
04-07,1413,921,1,161
04-08,651,1192,0,164
04-09,1021,913,1,168
04-10,1003,1142,0,208
04-11,404,769,0,92
04-12,1071,1173,0,167
04-13,1617,1861,0,381
04-14,624,760,0,96
04-15,812,1083,0,178
04-16,703,989,0,154
04-17,596,904,0,141
04-18,900,1147,0,182
04-19,666,773,0,116
04-20,934,1453,0,190
04-21,415,920,0,130
05-01,1389,1703,1,275
05-03,1331,1290,1,257
05-05,2170,3260,1,442
05-06,1850,1995,1,322
05-07,1630,3332,0,426
05-08,734,1445,1,219
06-04,1258,1382,0,265
06-05,1653,950,2,220
06-06,2138,1891,1,380
06-07,1286,1289,0,208
06-08,805,941,0,133
06-09,2311,1567,0,385
06-10,1297,915,0,162
07-01,531,810,1,106
07-02,603,688,1,106
07-03,630,657,0,104
07-04,1141,2058,0,242
07-05,656,787,0,107
07-06,1486,1267,1,240
07-07,1346,1505,2,235
07-07A,200,227,0,77
07-09,1021,1467,1,182
07-10,1484,2228,0,305
07-11,498,505,0,73
07-12,810,1227,1,202
07-13,765,1042,0,123
08-02,1434,1694,1,223
08-03,1841,2182,2,288
08-04,802,607,0,124
08-05,925,815,0,126
08-06,491,1187,0,131
08-07,1243,879,1,182
08-08,1793,1624,1,286
08-09,641,946,0,153
08-10,917,1144,1,171
08-11,1296,1747,0,315
09-01,954,780,0,126
09-02,931,1606,0,189
09-03,1244,873,0,149
10-01,664,310,0,61
10-02,1321,1458,0,174
10-03,934,1056,1,139
10-04,2105,2898,2,322
11-01,1460,2144,0,345
11-02,1498,1841,0,268
12-01,2694,1484,1,316
12-02,1718,1585,1,255
12-04,2163,964,1,232
12-05,3386,2250,0,454
12-06,1653,1052,0,240
12-07,1206,798,0,138
12-08,1537,1659,2,276
12-09,1855,1160,0,272
13-01,654,2568,1,210
13-02,825,774,0,159
13-05,445,1103,0,131
13-06,1106,1293,1,158
13-07,560,1226,0,123
13-08,372,1574,0,138
13-09,754,2366,1,212
13-10,2309,2161,1,356
13-11,1376,1130,0,185
14-01,391,199,0,46
14-02,3121,1401,1,361
15-01,1993,1223,0,231
15-02,2266,1798,0,282
15-03,2266,1193,0,237
15-04,1017,694,0,130
16-01,1089,904,0,122
16-02,669,2950,1,193
16-03,424,718,0,89
16-04,977,1066,1,175
16-05,972,1020,0,167
16-06,384,737,0,80
16-07,1209,1399,0,173
16-08,740,4769,1,270
16-09,961,1493,0,194
17-01,599,1443,0,155
17-02,356,377,0,69
17-03,1522,3261,3,354
17-04,1649,2756,1,262
17-05,870,2089,0,217
17-06,793,711,0,111
17-07,434,2368,0,118
17-08,2126,3751,0,416
17-09,248,2381,1,123
17-10,297,583,0,85
17-11,789,2380,0,215
18-01,1051,2512,0,355
18-02,2275,1427,1,316
18-03,928,956,0,135
18-04,1698,1351,1,246
18-05,2158,1811,0,301
18-06,1121,1915,0,307
18-07,1610,1001,1,212
18-08,1398,1521,1,305
19-03,1336,930,0,207
19-04,2930,2722,2,432
19-05,1591,837,0,189
19-07,1133,1054,1,180
19-09,1962,1371,0,240
19-10,3718,2515,0,492
19-11,1246,939,1,235
19-12,2311,1910,1,367
19-13,730,905,0,165
19-14,1179,953,0,166
19-15,1153,835,0,154
19-16,1074,1051,0,149
19-17,1387,2400,2,234
20-01,1212,1451,2,230
20-03,1458,1341,0,274
20-04,1266,1456,0,241
20-05,1680,1360,0,253
20-06A,1613,1858,0,355
20-06B,1503,1217,0,288
20-08,1840,1608,0,367
20-09,1141,1066,0,186
20-10,1175,1298,0,227
20-11,1617,1276,2,292
20-12,1137,907,0,198
20-14,1987,2398,0,396
20-15,1042,1677,1,205
20-16,833,1425,0,210
20-17,1233,1398,0,295
