id,Linda Stephens,"Phil Berger, Jr.",over,under
01-01,1212,392,0,101
01-02,1115,466,2,88
01-03,1012,730,0,93
01-04,602,424,0,67
01-05,511,387,1,51
01-06,1606,623,0,158
01-07,1233,394,0,119
01-07A,193,19,0,25
01-09,776,217,0,54
01-10,851,425,0,71
01-11,804,972,1,91
01-12,936,542,0,121
01-13,1036,233,1,83
01-14,2308,500,0,185
01-15,868,642,0,77
01-16,1420,681,0,144
01-17,440,432,1,66
01-18,1389,764,0,161
01-19,1302,45,0,59
01-20,1766,220,0,115
01-21,2119,824,0,223
01-22,2837,125,2,100
01-23,3397,1565,0,548
01-25,410,37,1,25
01-26,1769,88,0,123
01-27,1249,219,1,97
01-28,2687,452,2,160
01-29,1111,889,0,105
01-30,616,461,0,61
01-31,1987,503,2,211
01-32,1366,495,1,143
01-33,765,432,1,75
01-34,1115,45,1,53
01-35,1547,51,0,84
01-36,960,958,0,145
01-37,888,642,0,77
01-38,1241,489,0,101
01-39,1445,618,0,129
01-40,2921,170,0,111
01-41,1175,364,0,160
01-42,1071,1244,2,130
01-43,1209,485,1,107
01-44,1909,867,2,176
01-45,858,600,0,70
01-46,1905,272,0,140
01-47,930,915,0,80
01-48,1383,401,0,115
01-49,1642,556,1,159
01-50,1949,101,0,84
01-51,539,384,0,61
02-01,1246,1295,0,155
02-02,1912,2507,3,314
02-03,1012,1421,1,153
02-04,798,1151,0,128
02-05,375,486,1,49
02-06,881,1303,0,112
03-00,1329,1484,0,233
04-01,1079,620,0,130
04-02,1244,749,0,118
04-03,1029,521,0,114
04-04,839,477,0,97
04-05,1797,1038,2,165
04-06,1362,974,1,186
04-07,1068,1305,0,123
04-08,1300,568,0,139
04-09,1025,940,0,138
04-10,1267,912,1,173
04-11,830,362,0,73
04-12,1276,1004,0,131
04-13,2043,1485,0,331
04-14,818,579,1,82
04-15,1174,751,0,148
04-16,1091,636,0,119
04-17,984,538,0,119
04-18,1276,789,0,164
04-19,854,584,0,117
04-20,1590,805,0,182
04-21,979,376,0,110
05-01,1900,1232,1,235
05-03,1425,1237,0,217
05-05,3489,1990,0,394
05-06,2223,1679,0,266
05-07,3524,1509,2,353
05-08,1539,680,0,180
06-04,1497,1181,2,225
06-05,1099,1555,0,171
06-06,2068,2015,1,326
06-07,1386,1223,0,174
06-08,1021,753,0,105
06-09,1791,2163,0,309
06-10,1005,1237,0,132
07-01,903,471,0,74
07-02,780,539,0,79
07-03,745,575,0,71
07-04,2219,1031,0,191
07-05,865,602,1,82
07-06,1502,1302,0,190
07-07,1681,1230,1,176
07-07A,266,187,0,51
07-09,1609,921,2,139
07-10,2400,1336,3,278
07-11,575,452,0,49
07-12,1361,720,0,159
07-13,1114,716,0,100
08-02,1864,1319,1,168
08-03,2386,1691,1,235
08-04,710,731,0,92
08-05,938,832,0,96
08-06,1262,439,1,107
08-07,1017,1145,0,143
08-08,1825,1630,0,249
08-09,1009,602,1,128
08-10,1266,833,0,134
08-11,1921,1173,0,264
09-01,847,908,0,105
09-02,1678,886,1,161
09-03,955,1203,0,108
10-01,358,634,0,43
10-02,1582,1241,0,130
10-03,1151,885,0,94
10-04,3086,2004,1,236
11-01,2374,1278,0,297
11-02,2045,1356,1,205
12-01,1682,2562,2,249
12-02,1723,1614,0,222
12-04,1094,2065,2,199
12-05,2522,3185,1,382
12-06,1188,1568,0,189
12-07,909,1120,0,113
12-08,1807,1450,0,217
12-09,1338,1737,2,210
13-01,2666,597,1,169
13-02,859,769,0,130
13-05,1149,416,1,113
13-06,1399,1029,0,130
13-07,1300,514,0,95
13-08,1610,364,0,110
13-09,2451,707,0,175
13-10,2386,2160,2,279
13-11,1254,1284,1,152
14-01,233,370,0,33
14-02,1557,3048,1,278
15-01,1376,1884,0,187
15-02,1958,2165,0,223
15-03,1339,2160,1,196
15-04,777,964,1,99
16-01,949,1065,0,101
16-02,3030,623,1,159
16-03,771,393,0,67
16-04,1169,920,0,130
16-05,1118,925,0,116
16-06,763,371,0,67
16-07,1493,1146,0,142
16-08,4822,717,1,240
16-09,1601,897,1,149
17-01,1520,559,0,118
17-02,419,335,0,48
17-03,3408,1418,0,314
17-04,2906,1550,0,212
17-05,2208,794,0,174
17-06,764,761,1,89
17-07,2434,390,0,96
17-08,3965,1997,2,329
17-09,2424,221,1,107
17-10,606,292,0,67
17-11,2486,716,0,182
18-01,2628,964,2,324
18-02,1639,2126,2,252
18-03,1058,847,0,114
18-04,1530,1596,1,169
18-05,2033,2008,1,228
18-06,2093,997,1,252
18-07,1118,1542,0,164
18-08,1693,1297,0,235
19-03,1037,1283,0,153
19-04,2931,2765,1,389
19-05,935,1544,0,138
19-07,1123,1087,1,157
19-09,1503,1887,0,183
19-10,2749,3556,1,419
19-11,1072,1164,2,183
19-12,2101,2186,1,301
19-13,995,683,0,122
19-14,1058,1101,0,139
19-15,935,1081,0,126
19-16,1117,1047,2,108
19-17,2531,1300,0,192
20-01,1570,1133,0,192
20-03,1484,1385,0,204
20-04,1596,1157,0,210
20-05,1547,1535,1,210
20-06A,2058,1463,2,303
20-06B,1344,1420,0,244
20-08,1830,1678,1,306
20-09,1188,1039,1,165
20-10,1452,1046,1,201
20-11,1435,1513,0,239
20-12,1016,1066,1,159
20-14,2618,1824,2,337
20-15,1773,974,1,177
20-16,1517,780,0,171
20-17,1502,1171,0,253
