id,Rickye McKoy-Mitchell,Valerie Zachary,over,under
01-01,1112,440,0,153
01-02,963,555,0,153
01-03,803,868,0,164
01-04,483,505,1,104
01-05,388,472,0,90
01-06,1440,716,2,229
01-07,1101,492,0,153
01-07A,182,25,0,30
01-09,670,289,0,88
01-10,714,516,0,117
01-11,567,1148,0,153
01-12,794,635,0,170
01-13,963,271,0,119
01-14,2090,645,0,258
01-15,760,717,0,110
01-16,1262,780,0,203
01-17,366,483,2,88
01-18,1208,908,1,197
01-19,1271,61,3,71
01-20,1653,282,0,166
01-21,1924,944,0,298
01-22,2772,157,4,131
01-23,3180,1725,0,605
01-25,397,47,1,28
01-26,1704,117,0,159
01-27,1153,283,0,130
01-28,2561,526,2,212
01-29,875,1055,1,174
01-30,488,540,0,110
01-31,1873,570,1,259
01-32,1223,602,0,180
01-33,669,503,1,100
01-34,1088,62,0,64
01-35,1508,75,2,97
01-36,763,1086,0,214
01-37,741,740,0,126
01-38,1143,547,0,141
01-39,1297,720,1,174
01-40,2843,210,1,148
01-41,1073,447,0,179
01-42,883,1382,0,182
01-43,1100,551,0,151
01-44,1708,1008,1,237
01-45,772,650,1,105
01-46,1815,313,1,188
01-47,778,1018,1,128
01-48,1264,499,1,135
01-49,1540,643,0,175
01-50,1898,126,1,109
01-51,455,451,0,78
02-01,1039,1436,1,220
02-02,1613,2720,0,403
02-03,840,1540,0,207
02-04,671,1235,0,171
02-05,321,521,1,68
02-06,706,1433,2,155
03-00,1105,1645,0,296
04-01,952,712,0,165
04-02,1088,878,0,145
04-03,940,591,0,133
04-04,749,538,0,126
04-05,1547,1216,1,238
04-06,1165,1090,0,268
04-07,893,1428,1,174
04-08,1173,674,0,160
04-09,900,1032,0,171
04-10,1105,1023,0,225
04-11,748,422,0,95
04-12,1112,1120,0,179
04-13,1791,1668,1,399
04-14,723,650,0,107
04-15,1037,855,1,180
04-16,981,700,0,165
04-17,872,615,0,154
04-18,1132,909,0,188
04-19,744,684,1,126
04-20,1404,971,0,202
04-21,898,430,1,136
05-01,1692,1395,1,280
05-03,1254,1356,1,268
05-05,3196,2209,0,468
05-06,1935,1901,0,332
05-07,3233,1729,1,425
05-08,1410,766,1,222
06-04,1310,1313,0,282
06-05,923,1677,0,225
06-06,1814,2197,2,397
06-07,1253,1319,0,211
06-08,906,832,0,141
06-09,1518,2355,0,390
06-10,866,1339,0,169
07-01,794,542,0,112
07-02,667,605,0,126
07-03,644,640,0,107
07-04,2005,1182,0,254
07-05,774,657,1,118
07-06,1220,1518,0,256
07-07,1466,1375,0,247
07-07A,212,206,0,86
07-09,1403,1059,2,207
07-10,2151,1541,1,324
07-11,498,503,0,75
07-12,1187,831,1,221
07-13,996,804,0,130
08-02,1622,1489,2,239
08-03,2144,1865,0,304
08-04,592,819,0,122
08-05,803,927,0,136
08-06,1146,523,0,140
08-07,854,1257,0,194
08-08,1591,1804,0,309
08-09,900,670,0,170
08-10,1130,928,0,175
08-11,1708,1327,1,322
09-01,754,972,0,134
09-02,1579,947,0,200
09-03,826,1279,0,161
10-01,303,667,0,65
10-02,1416,1349,0,188
10-03,1031,945,0,154
10-04,2814,2163,0,350
11-01,2132,1450,2,365
11-02,1785,1540,0,282
12-01,1408,2746,0,341
12-02,1521,1771,0,267
12-04,907,2200,1,252
12-05,2142,3460,2,486
12-06,1005,1687,0,253
12-07,749,1258,0,135
12-08,1581,1598,2,293
12-09,1115,1887,0,285
13-01,2550,669,0,214
13-02,742,840,0,176
13-05,1065,466,1,147
13-06,1261,1118,0,179
13-07,1208,570,0,131
13-08,1550,388,0,146
13-09,2324,784,2,223
13-10,2064,2379,0,384
13-11,1085,1412,0,194
14-01,192,398,0,46
14-02,1334,3170,0,380
15-01,1167,2033,0,247
15-02,1719,2322,0,305
15-03,1121,2323,1,251
15-04,666,1025,0,150
16-01,851,1125,0,139
16-02,2900,699,2,212
16-03,683,458,0,90
16-04,1019,1009,1,190
16-05,982,1008,0,169
16-06,713,399,0,89
16-07,1326,1262,0,193
16-08,4664,808,0,308
16-09,1431,1006,1,210
17-01,1409,615,0,173
17-02,352,378,0,72
17-03,3142,1594,1,403
17-04,2687,1695,3,283
17-05,2045,890,0,241
17-06,667,827,0,121
17-07,2328,472,1,119
17-08,3698,2170,1,424
17-09,2369,250,2,132
17-10,559,316,0,90
17-11,2304,843,2,235
18-01,2453,1092,0,373
18-02,1350,2329,1,339
18-03,935,940,0,144
18-04,1289,1749,2,256
18-05,1766,2190,1,313
18-06,1889,1133,0,321
18-07,963,1643,1,217
18-08,1488,1419,0,318
19-03,899,1361,0,213
19-04,2595,3045,0,446
19-05,785,1634,0,198
19-07,1039,1134,2,193
19-09,1302,2002,1,268
19-10,2359,3851,0,515
19-11,909,1266,0,246
19-12,1822,2381,3,383
19-13,876,750,0,174
19-14,909,1209,1,179
19-15,802,1174,0,166
19-16,1016,1103,0,155
19-17,2354,1413,1,255
20-01,1400,1248,2,245
20-03,1280,1507,1,285
20-04,1397,1303,1,262
20-05,1320,1704,0,269
20-06A,1791,1655,1,379
20-06B,1142,1576,0,290
20-08,1554,1892,0,369
20-09,1009,1180,1,203
20-10,1262,1196,1,241
20-11,1217,1659,0,311
20-12,880,1160,0,202
20-14,2362,2007,1,411
20-15,1635,1069,1,220
20-16,1405,843,1,219
20-17,1334,1293,1,298
