id,Mike Causey,Wayne Goodwin,over,under
01-01,435,1163,1,106
01-02,485,1091,0,95
01-03,714,1024,0,97
01-04,424,599,0,70
01-05,400,514,1,35
01-06,677,1570,0,140
01-07,439,1197,0,110
01-07A,22,193,1,21
01-09,231,763,0,53
01-10,424,853,0,70
01-11,939,837,0,92
01-12,576,904,0,119
01-13,245,1028,0,80
01-14,571,2234,0,188
01-15,659,857,0,71
01-16,678,1437,0,130
01-17,422,461,0,56
01-18,771,1406,1,136
01-19,40,1306,0,60
01-20,254,1741,1,105
01-21,860,2101,1,204
01-22,130,2850,1,83
01-23,1692,3323,1,494
01-25,45,409,1,18
01-26,99,1786,0,95
01-27,230,1242,0,94
01-28,465,2691,0,145
01-29,887,1114,0,104
01-30,463,611,0,64
01-31,520,1995,0,188
01-32,520,1348,0,137
01-33,428,779,0,66
01-34,46,1119,0,49
01-35,49,1569,0,64
01-36,989,945,0,129
01-37,629,897,0,81
01-38,455,1276,1,99
01-39,642,1438,0,112
01-40,169,2940,0,93
01-41,372,1184,1,142
01-42,1244,1073,0,130
01-43,488,1228,0,86
01-44,889,1920,1,144
01-45,603,862,0,63
01-46,289,1906,0,122
01-47,900,944,0,81
01-48,414,1379,0,106
01-49,604,1627,0,127
01-50,112,1946,0,76
01-51,368,556,1,59
02-01,1292,1255,1,148
02-02,2519,1929,1,287
02-03,1419,1034,0,134
02-04,1158,803,0,116
02-05,458,404,0,49
02-06,1301,895,0,100
03-00,1525,1325,0,196
04-01,632,1074,0,123
04-02,757,1257,0,97
04-03,543,1033,0,88
04-04,473,854,0,86
04-05,1061,1785,0,156
04-06,941,1394,0,188
04-07,1337,1032,1,126
04-08,594,1295,1,117
04-09,960,1010,0,133
04-10,936,1260,0,157
04-11,352,845,0,68
04-12,979,1311,1,120
04-13,1553,2014,0,292
04-14,597,806,0,77
04-15,749,1189,0,135
04-16,651,1081,0,114
04-17,544,981,0,116
04-18,792,1288,0,149
04-19,593,868,0,94
04-20,830,1605,0,142
04-21,402,964,1,98
05-01,1309,1856,2,201
05-03,1286,1404,0,189
05-05,2096,3393,1,383
05-06,1790,2142,0,236
05-07,1550,3504,0,334
05-08,709,1533,0,157
06-04,1244,1460,1,200
06-05,1555,1109,1,160
06-06,2078,2062,0,270
06-07,1224,1399,1,159
06-08,781,985,0,113
06-09,2179,1762,0,322
06-10,1257,993,1,123
07-01,479,897,0,72
07-02,543,780,1,74
07-03,569,766,0,56
07-04,1049,2198,1,193
07-05,532,952,0,66
07-06,1317,1505,1,171
07-07,1196,1730,0,162
07-07A,169,295,0,40
07-09,937,1602,0,132
07-10,1364,2406,0,247
07-11,442,583,0,51
07-12,744,1363,0,133
07-13,702,1128,0,100
08-02,1322,1860,1,169
08-03,1712,2369,0,232
08-04,726,722,1,84
08-05,824,956,0,86
08-06,470,1241,0,98
08-07,1125,1062,0,118
08-08,1678,1808,0,218
08-09,608,1022,0,110
08-10,831,1277,0,125
08-11,1227,1888,0,243
09-01,916,858,0,86
09-02,894,1689,0,143
09-03,1173,994,0,99
10-01,628,364,0,43
10-02,1257,1575,1,120
10-03,873,1172,0,85
10-04,2008,3116,0,203
11-01,1332,2348,3,266
11-02,1364,2066,0,177
12-01,2575,1687,0,233
12-02,1647,1704,0,208
12-04,2085,1113,1,161
12-05,3247,2488,0,355
12-06,1596,1171,0,178
12-07,1145,888,1,108
12-08,1496,1792,0,186
12-09,1757,1352,2,176
13-01,600,2677,1,155
13-02,778,855,0,125
13-05,427,1149,0,103
13-06,1034,1405,0,119
13-07,516,1304,0,89
13-08,376,1616,0,92
13-09,730,2439,0,164
13-10,2201,2343,1,282
13-11,1293,1268,0,130
14-01,375,236,0,25
14-02,3023,1576,1,284
15-01,1881,1398,0,168
15-02,2149,1983,0,214
15-03,2168,1346,0,182
15-04,947,821,0,73
16-01,1027,999,0,89
16-02,646,3037,0,130
16-03,387,788,0,56
16-04,899,1214,1,105
16-05,918,1125,1,115
16-06,381,771,0,49
16-07,1119,1535,0,127
16-08,721,4854,2,203
16-09,936,1575,0,137
17-01,553,1534,0,110
17-02,335,424,0,43
17-03,1446,3407,2,285
17-04,1548,2927,1,192
17-05,808,2218,0,150
17-06,766,781,0,68
17-07,411,2425,1,83
17-08,2042,3961,0,290
17-09,237,2429,1,86
17-10,284,620,0,61
17-11,736,2495,0,153
18-01,1014,2607,0,297
18-02,2125,1662,1,231
18-03,865,1053,0,101
18-04,1558,1589,0,149
18-05,2010,2034,0,226
18-06,1039,2064,0,240
18-07,1524,1138,1,161
18-08,1336,1675,0,214
19-03,1276,1055,0,142
19-04,2782,2961,1,342
19-05,1491,973,0,153
19-07,1097,1122,0,149
19-09,1856,1517,1,199
19-10,3609,2738,1,377
19-11,1195,1058,0,168
19-12,2230,2075,0,284
19-13,703,973,0,124
19-14,1144,1030,0,124
19-15,1114,918,0,110
19-16,1032,1133,1,108
19-17,1329,2516,0,178
20-01,1188,1530,0,177
20-03,1413,1460,0,200
20-04,1165,1602,1,195
20-05,1582,1499,0,212
20-06A,1539,1994,2,291
20-06B,1447,1331,1,229
20-08,1703,1818,0,294
20-09,1080,1153,0,160
20-10,1048,1451,2,199
20-11,1523,1433,0,231
20-12,1066,1016,0,160
20-14,1893,2569,0,319
20-15,1010,1724,0,191
20-16,816,1508,0,144
20-17,1227,1458,0,241
