id,Charles Meeker,Cherie Berry,WRITE-IN,over,under
01-01,1143,492,3,0,67
01-02,1024,592,1,1,53
01-03,937,845,1,0,52
01-04,593,457,1,0,42
01-05,501,436,3,0,10
01-06,1488,805,4,0,90
01-07,1167,510,2,0,67
01-07A,197,25,0,0,15
01-09,714,304,1,0,28
01-10,798,507,1,0,41
01-11,735,1091,2,2,38
01-12,883,644,5,1,66
01-13,999,296,4,2,52
01-14,2232,645,7,4,105
01-15,796,742,2,0,47
01-16,1340,811,5,0,89
01-17,413,487,0,0,39
01-18,1313,910,2,0,89
01-19,1296,66,1,1,42
01-20,1685,324,4,4,84
01-21,1971,1042,3,1,149
01-22,2784,210,7,0,63
01-23,3045,2071,14,3,377
01-25,399,59,1,0,14
01-26,1759,135,3,0,83
01-27,1216,286,1,0,63
01-28,2609,583,5,3,101
01-29,1033,1006,3,3,60
01-30,561,539,0,1,37
01-31,1857,674,11,2,159
01-32,1248,642,3,2,110
01-33,742,495,0,0,36
01-34,1103,74,2,1,34
01-35,1530,90,5,1,56
01-36,889,1086,0,1,87
01-37,800,750,0,0,57
01-38,1174,572,2,3,80
01-39,1323,785,2,1,81
01-40,2866,248,3,3,82
01-41,1102,494,1,2,100
01-42,1003,1359,2,1,82
01-43,1154,569,5,0,74
01-44,1790,1037,4,3,120
01-45,820,660,3,0,45
01-46,1869,347,5,1,95
01-47,835,1036,1,0,53
01-48,1315,519,1,0,64
01-49,1527,721,5,4,101
01-50,1912,150,6,3,63
01-51,506,440,2,0,36
02-01,1155,1437,2,1,101
02-02,1726,2784,3,2,221
02-03,933,1558,2,1,93
02-04,750,1247,0,1,79
02-05,359,522,1,0,29
02-06,824,1401,0,0,71
03-00,1135,1751,5,0,155
04-01,974,746,4,1,104
04-02,1148,882,2,0,79
04-03,954,627,0,1,82
04-04,764,582,3,0,64
04-05,1642,1256,2,0,102
04-06,1258,1129,3,0,133
04-07,970,1446,2,0,78
04-08,1195,710,1,1,100
04-09,940,1069,2,1,91
04-10,1172,1056,4,1,120
04-11,751,458,1,2,53
04-12,1178,1133,1,0,99
04-13,1845,1790,4,1,219
04-14,744,677,0,0,59
04-15,1080,888,2,1,102
04-16,1010,759,3,1,73
04-17,920,631,5,0,85
04-18,1168,943,1,1,116
04-19,775,704,2,2,72
04-20,1434,1018,3,1,121
04-21,889,489,2,3,82
05-01,1720,1481,5,1,161
05-03,1292,1424,2,1,160
05-05,3158,2411,3,3,298
05-06,1997,1965,4,4,198
05-07,3233,1862,6,4,283
05-08,1419,841,5,1,133
06-04,1321,1415,5,1,163
06-05,964,1745,3,1,112
06-06,1840,2325,3,4,238
06-07,1263,1388,4,1,127
06-08,901,892,6,2,78
06-09,1536,2466,5,1,255
06-10,889,1377,3,2,103
07-01,852,542,2,1,51
07-02,738,603,1,0,56
07-03,693,658,1,1,38
07-04,2024,1280,1,3,133
07-05,811,674,3,1,61
07-06,1360,1516,2,2,114
07-07,1549,1434,2,0,103
07-07A,267,202,1,0,34
07-09,1470,1072,8,1,120
07-10,2207,1617,5,2,186
07-11,544,498,1,0,33
07-12,1264,873,1,3,99
07-13,1052,804,1,3,70
08-02,1703,1532,2,6,109
08-03,2115,2015,2,1,180
08-04,643,824,2,0,64
08-05,839,966,3,0,58
08-06,1170,553,6,3,77
08-07,974,1251,2,1,77
08-08,1643,1910,1,1,149
08-09,932,727,2,1,78
08-10,1155,985,4,2,87
08-11,1720,1458,3,1,176
09-01,809,983,1,1,66
09-02,1600,1010,9,0,107
09-03,880,1310,2,2,72
10-01,330,676,1,0,28
10-02,1479,1382,5,1,86
10-03,1063,1005,5,0,57
10-04,2893,2277,9,3,145
11-01,2130,1617,5,1,196
11-02,1898,1577,3,2,127
12-01,1488,2817,3,0,187
12-02,1531,1849,12,3,164
12-04,973,2259,2,0,126
12-05,2233,3582,4,4,267
12-06,1038,1763,9,1,134
12-07,783,1262,4,1,92
12-08,1667,1654,4,2,147
12-09,1173,1956,2,0,156
13-01,2577,731,9,1,115
13-02,786,888,0,1,83
13-05,1070,522,2,0,85
13-06,1329,1139,6,2,82
13-07,1221,608,4,3,73
13-08,1574,426,5,0,79
13-09,2311,882,6,2,132
13-10,2186,2425,5,2,209
13-11,1179,1419,1,0,92
14-01,206,403,1,0,26
14-02,1423,3248,5,3,205
15-01,1223,2089,5,2,128
15-02,1788,2398,6,2,152
