id,V.A. (Woofer) Davidian III,under
01-01,851,854
01-02,908,763
01-03,1055,780
01-04,574,519
01-05,566,384
01-06,1242,1145
01-07,884,862
01-07A,78,159
01-09,518,529
01-10,731,616
01-11,1163,705
01-12,847,752
01-13,626,727
01-14,1381,1612
01-15,890,697
01-16,1162,1083
01-17,549,390
01-18,1254,1060
01-19,548,858
01-20,956,1145
01-21,1615,1551
01-22,1356,1708
01-23,3338,2172
01-25,203,270
01-26,883,1097
01-27,772,794
01-28,1502,1799
01-29,1196,909
01-30,640,498
01-31,1386,1317
01-32,1093,912
01-33,636,637
01-34,554,660
01-35,684,998
01-36,1200,863
01-37,880,727
01-38,942,889
01-39,1183,1009
01-40,1330,1872
01-41,906,793
01-42,1463,984
01-43,973,829
01-44,1472,1482
01-45,882,646
01-46,984,1333
01-47,1181,744
01-48,937,962
01-49,1322,1036
01-50,874,1260
01-51,561,423
02-01,1662,1034
02-02,2767,1969
02-03,1518,1069
02-04,1203,874
02-05,522,389
02-06,1438,858
03-00,1776,1270
04-01,930,899
04-02,1185,926
04-03,898,766
04-04,784,629
04-05,1635,1367
04-06,1376,1147
04-07,1506,990
04-08,1091,916
04-09,1231,872
04-10,1314,1039
04-11,680,585
04-12,1414,997
04-13,2047,1812
04-14,807,673
04-15,1157,916
04-16,996,850
04-17,851,790
04-18,1283,946
04-19,850,705
04-20,1435,1142
04-21,772,693
05-01,1876,1492
05-03,1621,1258
05-05,3345,2528
05-06,2389,1779
05-07,2936,2452
05-08,1304,1095
06-04,1635,1270
06-05,1716,1109
06-06,2498,1912
06-07,1640,1143
06-08,1057,822
06-09,2582,1681
06-10,1414,960
07-01,772,676
07-02,735,663
07-03,846,545
07-04,1903,1538
07-05,881,669
07-06,1797,1197
07-07,1798,1290
07-07A,225,279
07-09,1537,1134
07-10,2356,1661
07-11,630,446
07-12,1236,1004
07-13,1108,822
08-02,1964,1388
08-03,2614,1699
08-04,873,660
08-05,1089,777
08-06,1013,796
08-07,1341,964
08-08,2204,1500
08-09,971,769
08-10,1305,928
08-11,1872,1486
09-01,1007,853
09-02,1442,1284
09-03,1362,904
10-01,602,433
10-02,1696,1257
10-03,1184,946
10-04,2871,2456
11-01,2222,1727
11-02,2031,1576
12-01,2808,1687
12-02,2036,1523
12-04,2066,1294
12-05,3638,2452
12-06,1765,1180
12-07,1314,828
12-08,1910,1564
12-09,2021,1266
13-01,1634,1799
13-02,986,772
13-05,862,817
13-06,1555,1003
13-07,915,994
13-08,997,1087
13-09,1681,1652
13-10,2879,1948
13-11,1649,1042
14-01,327,309
14-02,2987,1897
15-01,2001,1446
15-02,2498,1848
15-03,2260,1436
15-04,1056,785
16-01,1225,890
16-02,1855,1958
16-03,652,579
16-04,1207,1012
16-05,1187,972
16-06,589,612
16-07,1532,1249
16-08,2760,3020
16-09,1389,1259
17-01,1061,1136
17-02,426,376
17-03,2499,2641
17-04,2527,2141
17-05,1541,1635
17-06,883,732
17-07,1384,1536
17-08,3331,2962
17-09,1230,1523
17-10,455,510
17-11,1647,1737
18-01,2171,1747
18-02,2439,1580
18-03,1185,834
18-04,1903,1393
18-05,2556,1714
18-06,1806,1537
18-07,1693,1131
18-08,1820,1405
19-03,1477,996
19-04,3539,2547
19-05,1557,1060
19-07,1252,1116
19-09,2060,1513
19-10,4021,2704
19-11,1401,1020
19-12,2668,1921
19-13,1000,800
19-14,1378,920
19-15,1273,869
19-16,1256,1018
19-17,2181,1842
20-01,1669,1226
20-03,1777,1296
20-04,1680,1283
20-05,1941,1352
20-06A,2095,1731
20-06B,1756,1252
20-08,2193,1622
20-09,1397,996
20-10,1506,1194
20-11,1868,1319
20-12,1349,893
20-14,2715,2066
20-15,1695,1230
20-16,1363,1105
20-17,1624,1302
