id,Jefferson G. Griffin,under
01-01,848,857
01-02,893,778
01-03,1041,794
01-04,571,522
01-05,551,399
01-06,1241,1146
01-07,875,871
01-07A,80,157
01-09,515,532
01-10,711,636
01-11,1139,729
01-12,861,738
01-13,625,728
01-14,1395,1598
01-15,902,685
01-16,1159,1086
01-17,561,378
01-18,1242,1072
01-19,555,851
01-20,957,1144
01-21,1614,1552
01-22,1366,1698
01-23,3305,2205
01-25,208,265
01-26,876,1104
01-27,762,804
01-28,1503,1798
01-29,1180,925
01-30,644,494
01-31,1392,1311
01-32,1093,912
01-33,627,646
01-34,554,660
01-35,691,991
01-36,1203,860
01-37,888,719
01-38,942,889
01-39,1190,1002
01-40,1341,1861
01-41,899,800
01-42,1454,993
01-43,980,822
01-44,1465,1489
01-45,876,652
01-46,988,1329
01-47,1174,751
01-48,937,962
01-49,1323,1035
01-50,887,1247
01-51,578,406
02-01,1651,1045
02-02,2730,2006
02-03,1504,1083
02-04,1169,908
02-05,514,397
02-06,1432,864
03-00,1779,1267
04-01,932,897
04-02,1181,930
04-03,909,755
04-04,784,629
04-05,1616,1386
04-06,1372,1151
04-07,1501,995
04-08,1094,913
04-09,1212,891
04-10,1327,1026
04-11,663,602
04-12,1417,994
04-13,2031,1828
04-14,811,669
04-15,1170,903
04-16,991,855
04-17,848,793
04-18,1276,953
04-19,833,722
04-20,1412,1165
04-21,781,684
05-01,1873,1495
05-03,1600,1279
05-05,3300,2573
05-06,2374,1794
05-07,2938,2450
05-08,1294,1105
06-04,1631,1274
06-05,1703,1122
06-06,2486,1924
06-07,1633,1150
06-08,1036,843
06-09,2571,1692
06-10,1416,958
07-01,780,668
07-02,749,649
07-03,836,555
07-04,1890,1551
07-05,889,661
07-06,1787,1207
07-07,1792,1296
07-07A,221,283
07-09,1531,1140
07-10,2334,1683
07-11,617,459
07-12,1234,1006
07-13,1109,821
08-02,1955,1397
08-03,2595,1718
08-04,865,668
08-05,1092,774
08-06,1009,800
08-07,1347,958
08-08,2197,1507
08-09,962,778
08-10,1296,937
08-11,1858,1500
09-01,1001,859
09-02,1445,1281
09-03,1346,920
10-01,602,433
10-02,1704,1249
10-03,1191,939
10-04,2878,2449
11-01,2208,1741
11-02,2018,1589
12-01,2791,1704
12-02,2024,1535
12-04,2083,1277
12-05,3615,2475
12-06,1782,1163
12-07,1328,814
12-08,1915,1559
12-09,2019,1268
13-01,1652,1781
13-02,975,783
13-05,870,809
13-06,1540,1018
13-07,910,999
13-08,999,1085
13-09,1665,1668
13-10,2837,1990
13-11,1646,1045
14-01,325,311
14-02,2959,1925
15-01,1983,1464
15-02,2510,1836
15-03,2239,1457
15-04,1054,787
16-01,1204,911
16-02,1843,1970
16-03,649,582
16-04,1195,1024
16-05,1190,969
16-06,597,604
16-07,1515,1266
16-08,2761,3019
16-09,1372,1276
17-01,1059,1138
17-02,436,366
17-03,2487,2653
17-04,2536,2132
17-05,1521,1655
17-06,892,723
17-07,1386,1534
17-08,3319,2974
17-09,1229,1524
17-10,462,503
17-11,1643,1741
18-01,2165,1753
18-02,2430,1589
18-03,1173,846
18-04,1918,1378
18-05,2544,1726
18-06,1803,1540
18-07,1681,1143
18-08,1817,1408
19-03,1473,1000
19-04,3542,2544
19-05,1552,1065
19-07,1262,1106
19-09,2060,1513
19-10,4014,2711
19-11,1392,1029
19-12,2636,1953
19-13,986,814
19-14,1358,940
19-15,1256,886
19-16,1251,1023
19-17,2162,1861
20-01,1661,1234
20-03,1771,1302
20-04,1672,1291
20-05,1910,1383
20-06A,2095,1731
20-06B,1744,1264
20-08,2187,1628
20-09,1381,1012
20-10,1509,1191
20-11,1868,1319
20-12,1332,910
20-14,2692,2089
20-15,1687,1238
20-16,1369,1099
20-17,1632,1294
