id,Dan Nagle,Walter Rand,over,under
01-01,421,893,0,391
01-02,494,843,2,332
01-03,712,761,1,361
01-04,398,463,0,232
01-05,356,402,0,192
01-06,682,1132,1,572
01-07,452,860,0,434
01-07A,32,132,0,73
01-09,296,515,0,236
01-10,419,684,0,244
01-11,859,679,0,330
01-12,475,729,0,395
01-13,304,716,0,333
01-14,622,1691,2,678
01-15,671,570,3,343
01-16,737,971,0,537
01-17,394,329,1,215
01-18,887,886,2,539
01-19,202,914,1,289
01-20,458,1153,1,489
01-21,993,1396,1,776
01-22,538,1954,1,571
01-23,1652,2393,5,1460
01-25,73,282,0,118
01-26,317,1157,1,505
01-27,319,872,0,375
01-28,719,1791,3,788
01-29,859,845,0,401
01-30,487,416,0,235
01-31,707,1309,0,687
01-32,666,871,1,467
01-33,441,571,0,261
01-34,177,806,1,230
01-35,252,1048,2,380
01-36,895,712,0,456
01-37,668,599,2,338
01-38,577,828,2,424
01-39,807,885,1,499
01-40,560,2013,2,627
01-41,523,756,0,420
01-42,1270,698,1,478
01-43,607,760,4,431
01-44,1029,1192,2,731
01-45,661,542,1,324
01-46,505,1189,2,621
01-47,956,619,1,349
01-48,559,921,0,419
01-49,801,1063,4,490
01-50,367,1333,2,432
01-51,420,337,1,226
02-01,1393,786,4,513
02-02,2515,1208,2,1011
02-03,1401,703,1,482
02-04,1080,528,0,469
02-05,465,254,0,192
02-06,1272,584,1,439
03-00,1496,813,1,736
04-01,698,669,2,460
04-02,945,768,2,396
04-03,710,607,1,346
04-04,606,482,0,325
04-05,1352,1013,3,634
04-06,1139,781,0,603
04-07,1328,655,1,512
04-08,792,762,1,452
04-09,1056,585,0,462
04-10,982,801,5,565
04-11,523,445,1,296
04-12,1163,799,1,448
04-13,1708,1165,3,983
04-14,674,505,1,300
04-15,873,757,1,442
04-16,770,669,2,405
04-17,661,608,2,370
04-18,951,797,0,481
04-19,695,516,0,344
04-20,1071,973,1,532
04-21,514,609,2,340
05-01,1373,1163,3,829
05-03,1280,880,0,719
05-05,2322,2159,2,1390
05-06,1911,1256,2,999
05-07,1871,2211,3,1303
05-08,798,994,3,604
06-04,1233,910,1,761
06-05,1501,705,0,619
06-06,1908,1312,3,1187
06-07,1250,926,1,606
06-08,786,641,0,452
06-09,2079,1086,0,1098
06-10,1166,671,0,537
07-01,537,591,0,320
07-02,601,485,0,312
07-03,617,489,0,285
07-04,1277,1454,0,710
07-05,705,550,0,295
07-06,1441,907,2,644
07-07,1350,1070,0,668
07-07A,169,167,0,168
07-09,1059,1022,2,588
07-10,1574,1533,4,906
07-11,509,358,1,208
07-12,829,890,1,520
07-13,841,700,3,386
08-02,1530,1105,2,715
08-03,1933,1475,1,904
08-04,749,463,0,321
08-05,892,611,2,361
08-06,591,834,0,384
08-07,1172,633,0,500
08-08,1771,1120,2,811
08-09,669,654,1,416
08-10,935,789,3,506
08-11,1338,1187,2,831
09-01,812,578,3,467
09-02,934,1161,1,630
09-03,1148,655,0,463
10-01,554,255,2,224
10-02,1315,1018,1,619
10-03,864,794,1,471
10-04,2141,2069,2,1115
11-01,1500,1499,3,947
11-02,1475,1365,2,765
12-01,2356,1168,0,971
12-02,1567,1192,0,800
12-04,1849,832,1,678
12-05,3021,1650,3,1416
12-06,1485,825,0,635
12-07,1100,633,1,408
12-08,1447,1198,4,825
12-09,1681,848,0,758
13-01,914,1717,4,798
13-02,788,542,0,428
13-05,549,698,0,432
13-06,1126,901,0,531
13-07,614,844,0,451
13-08,539,1049,1,495
13-09,944,1653,0,736
13-10,2217,1554,1,1055
13-11,1356,796,2,537
14-01,305,168,0,163
14-02,2753,1031,4,1096
15-01,1741,937,0,769
15-02,2036,1397,1,912
15-03,2001,971,2,722
15-04,819,619,0,403
16-01,940,718,0,457
16-02,899,2111,2,801
16-03,401,518,1,311
16-04,904,802,0,513
16-05,909,775,2,473
16-06,382,538,2,279
16-07,1148,1032,1,600
16-08,1348,3271,3,1158
16-09,923,1103,3,619
17-01,645,1017,1,534
17-02,320,290,0,192
17-03,1672,2215,5,1248
17-04,1706,1956,4,1002
17-05,999,1426,2,749
17-06,729,535,2,349
17-07,699,1622,1,598
17-08,2202,2639,4,1448
17-09,499,1728,1,525
17-10,327,391,0,247
17-11,989,1620,3,772
18-01,1158,1735,4,1021
18-02,2024,1064,1,930
18-03,990,616,3,410
18-04,1597,994,0,705
18-05,2123,1307,1,839
18-06,1195,1318,0,830
18-07,1483,727,1,613
18-08,1450,1004,2,769
19-03,1223,698,1,551
19-04,2757,1847,3,1479
19-05,1440,597,0,580
19-07,936,755,0,677
19-09,1660,1027,0,886
19-10,3287,1891,4,1543
19-11,1091,715,2,613
19-12,2121,1355,7,1106
19-13,720,618,4,458
19-14,1135,659,0,504
19-15,1063,584,0,495
19-16,978,813,1,482
19-17,1508,1613,2,900
20-01,1221,988,0,686
20-03,1438,936,0,699
20-04,1268,986,3,706
20-05,1567,953,0,773
20-06A,1516,1241,0,1069
20-06B,1421,836,1,750
20-08,1729,1090,1,995
20-09,1089,722,0,582
20-10,1167,904,0,629
20-11,1482,901,2,802
20-12,1061,653,1,527
20-14,1972,1610,1,1198
20-15,1154,1046,2,723
20-16,911,895,1,661
20-17,1208,943,2,773
