id,Abe Jones,Bob Hunter,over,under
01-01,1111,459,0,135
01-02,997,549,0,125
01-03,761,937,0,137
01-04,469,532,1,91
01-05,385,498,0,67
01-06,1452,736,1,198
01-07,1074,535,2,135
01-07A,189,25,0,23
01-09,642,326,0,79
01-10,689,568,0,90
01-11,507,1244,0,117
01-12,794,656,0,149
01-13,972,281,0,100
01-14,2095,672,1,225
01-15,761,734,0,92
01-16,1266,811,0,168
01-17,353,507,0,79
01-18,1241,890,0,183
01-19,1302,51,0,53
01-20,1704,268,0,129
01-21,1969,933,1,263
01-22,2824,139,2,99
01-23,3274,1678,1,557
01-25,410,37,0,26
01-26,1723,116,1,140
01-27,1168,286,0,112
01-28,2607,520,1,173
01-29,865,1104,0,136
01-30,479,567,0,92
01-31,1913,543,2,245
01-32,1253,584,0,168
01-33,642,547,0,84
01-34,1099,63,0,52
01-35,1519,60,4,99
01-36,733,1150,0,180
01-37,748,750,0,109
01-38,1157,554,0,120
01-39,1309,729,0,154
01-40,2894,186,1,121
01-41,1099,433,0,167
01-42,915,1370,1,161
01-43,1120,552,0,130
01-44,1775,981,2,196
01-45,773,672,0,83
01-46,1844,308,1,164
01-47,803,1019,0,103
01-48,1286,499,0,114
01-49,1565,624,0,169
01-50,1926,114,3,91
01-51,470,441,1,72
02-01,1086,1418,1,191
02-02,1635,2727,0,374
02-03,869,1543,0,175
02-04,671,1255,0,151
02-05,335,524,1,51
02-06,725,1432,1,138
03-00,1143,1630,2,271
04-01,976,707,1,145
04-02,1096,882,2,131
04-03,949,590,1,124
04-04,780,521,0,112
04-05,1578,1221,1,202
04-06,1173,1115,0,235
04-07,896,1446,1,153
04-08,1181,672,0,154
04-09,906,1034,1,162
04-10,1128,1024,0,201
04-11,763,422,0,80
04-12,1159,1094,1,157
04-13,1809,1683,0,367
04-14,727,658,0,95
04-15,1078,822,0,173
04-16,992,715,0,139
04-17,897,610,0,134
04-18,1155,897,0,177
04-19,769,678,1,107
04-20,1433,961,1,182
04-21,918,425,1,121
05-01,1709,1414,2,243
05-03,1252,1384,1,242
05-05,3267,2184,1,421
05-06,1954,1901,2,311
05-07,3294,1695,0,399
05-08,1444,745,0,210
06-04,1377,1267,0,261
06-05,941,1676,0,208
06-06,1868,2169,1,372
06-07,1255,1325,1,202
06-08,906,845,0,128
06-09,1581,2310,0,372
06-10,881,1342,0,151
07-01,808,536,1,103
07-02,672,630,0,96
07-03,626,672,1,92
07-04,2051,1175,1,214
07-05,774,671,0,105
07-06,1235,1532,0,227
07-07,1477,1392,0,219
07-07A,218,219,0,67
07-09,1423,1067,2,179
07-10,2211,1504,0,302
07-11,497,513,0,66
07-12,1200,850,0,190
07-13,1018,802,0,110
08-02,1646,1506,1,199
08-03,2180,1857,0,276
08-04,612,808,0,113
08-05,869,890,1,106
08-06,1182,513,0,114
08-07,889,1242,2,172
08-08,1633,1793,1,277
08-09,924,672,0,144
08-10,1145,932,0,156
08-11,1743,1321,1,293
09-01,771,977,0,112
09-02,1605,953,0,168
09-03,864,1273,0,129
10-01,312,668,0,55
10-02,1443,1345,0,165
10-03,1066,937,3,124
10-04,2891,2145,1,290
11-01,2147,1475,1,326
11-02,1795,1565,1,246
12-01,1448,2747,4,296
12-02,1566,1745,0,248
12-04,967,2175,0,218
12-05,2224,3427,0,439
12-06,1038,1680,0,227
12-07,768,1251,0,123
12-08,1633,1582,0,259
12-09,1139,1897,0,251
13-01,2578,661,0,194
13-02,762,841,0,155
13-05,1096,448,1,134
13-06,1287,1121,0,150
13-07,1216,579,1,113
13-08,1574,379,2,129
13-09,2363,775,1,194
13-10,2114,2381,0,332
13-11,1122,1396,1,172
14-01,188,409,0,39
14-02,1376,3171,1,336
15-01,1217,2018,0,212
15-02,1760,2320,0,266
15-03,1152,2316,0,228
15-04,694,1030,0,117
16-01,878,1118,0,119
16-02,2954,685,1,173
16-03,706,441,0,84
16-04,1043,1020,0,156
16-05,992,1011,0,156
16-06,728,403,0,70
16-07,1347,1266,0,168
16-08,4717,787,1,275
16-09,1475,996,0,177
17-01,1445,602,1,149
17-02,368,371,0,63
17-03,3210,1578,2,350
17-04,2726,1708,2,232
17-05,2081,890,0,205
17-06,700,813,0,102
17-07,2361,426,5,128
17-08,3741,2166,1,385
17-09,2360,267,1,125
17-10,561,330,1,73
17-11,2374,803,0,207
18-01,2511,1072,0,335
18-02,1406,2312,1,300
18-03,921,965,0,133
18-04,1316,1761,2,217
18-05,1785,2198,1,286
18-06,1896,1150,0,297
18-07,969,1658,0,197
18-08,1504,1444,0,277
19-03,929,1352,0,192
19-04,2704,2964,1,417
19-05,839,1615,0,163
19-07,1051,1136,1,180
19-09,1351,1993,0,229
19-10,2448,3797,0,480
19-11,932,1268,1,220
19-12,1872,2366,3,348
19-13,883,761,1,155
19-14,935,1203,1,159
19-15,829,1163,2,148
19-16,1028,1114,0,132
19-17,2373,1423,2,225
20-01,1423,1246,0,226
20-03,1307,1502,1,263
20-04,1443,1285,0,235
20-05,1320,1721,0,252
20-06A,1829,1651,1,345
20-06B,1211,1520,0,277
20-08,1585,1883,1,346
20-09,1026,1179,0,188
20-10,1278,1211,0,211
20-11,1255,1648,2,282
20-12,893,1165,1,183
20-14,2378,2021,2,380
20-15,1637,1088,0,200
20-16,1418,843,1,206
20-17,1374,1273,0,279
