id,Bryant Paris III,Monica M. Bousman,OVER VOTES,UNDER VOTES
01-01,464,899,2,340
01-02,556,802,0,313
01-03,824,695,0,316
01-04,456,416,1,220
01-05,450,318,2,180
01-06,721,1141,0,525
01-07,431,931,1,383
01-07A,29,141,0,67
01-09,331,496,0,220
01-10,521,598,0,228
01-11,1090,523,0,255
01-12,548,698,0,353
01-13,349,706,1,297
01-14,666,1711,0,616
01-15,609,676,0,302
01-16,717,1070,0,458
01-17,413,335,0,191
01-18,740,1075,4,495
01-19,114,1050,1,241
01-20,372,1291,0,438
01-21,812,1694,2,658
01-22,263,2357,2,442
01-23,1444,2804,4,1258
01-25,65,317,1,90
01-26,253,1324,0,403
01-27,372,873,0,321
01-28,590,2027,0,684
01-29,920,847,0,338
01-30,493,432,1,212
01-31,552,1544,2,605
01-32,546,1049,0,410
01-33,429,600,0,244
01-34,152,863,2,197
01-35,155,1194,2,331
01-36,977,673,0,413
01-37,652,650,1,304
01-38,479,981,0,371
01-39,644,1130,1,417
01-40,294,2374,1,533
01-41,425,880,1,393
01-42,1134,887,1,425
01-43,487,962,0,353
01-44,838,1498,2,616
01-45,533,705,0,290
01-46,322,1500,2,493
01-47,851,744,1,329
01-48,496,1036,1,366
01-49,567,1377,0,414
01-50,217,1589,1,327
01-51,377,386,0,221
02-01,1229,973,1,493
02-02,2120,1658,2,956
02-03,1210,902,1,474
02-04,909,721,1,446
02-05,401,322,0,188
02-06,1195,706,1,394
03-00,1147,1189,0,710
04-01,562,831,3,433
04-02,733,982,1,395
04-03,496,840,0,328
04-04,441,666,0,306
04-05,1044,1363,1,594
04-06,895,1024,1,603
04-07,1157,875,1,463
04-08,519,1063,0,425
04-09,807,862,0,434
04-10,852,996,1,504
04-11,340,662,1,262
04-12,910,1045,0,456
04-13,1228,1717,0,914
04-14,540,650,0,290
04-15,695,972,1,405
04-16,597,853,0,396
04-17,534,768,2,337
04-18,745,1017,1,466
04-19,558,662,1,334
04-20,782,1301,2,492
04-21,388,773,1,303
05-01,1094,1540,2,732
05-03,969,1253,3,654
05-05,1748,2927,1,1197
05-06,1473,1771,4,920
05-07,1360,2953,3,1072
05-08,639,1259,0,501
06-04,955,1245,1,704
06-05,1226,991,2,606
06-06,1513,1764,1,1132
06-07,1035,1186,1,561
06-08,616,849,0,414
06-09,1611,1610,4,1038
06-10,1010,870,3,491
07-01,461,684,0,303
07-02,493,596,2,307
07-03,552,585,1,253
07-04,1023,1776,3,639
07-05,569,719,1,261
07-06,1205,1219,0,570
07-07,1128,1332,1,627
07-07A,171,166,0,167
07-09,918,1288,1,464
07-10,1312,1914,2,789
07-11,442,439,0,195
07-12,730,1033,2,475
07-13,691,910,1,328
08-02,1279,1445,0,628
08-03,1553,1970,2,788
08-04,630,593,0,310
08-05,777,763,1,325
08-06,475,1023,0,311
08-07,975,845,1,484
08-08,1516,1454,1,733
08-09,571,816,1,352
08-10,790,994,2,447
08-11,1098,1489,0,771
09-01,727,743,1,389
09-02,778,1427,0,521
09-03,1015,847,0,404
10-01,509,333,0,193
10-02,1030,1371,1,551
10-03,724,1011,3,392
10-04,1723,2639,3,962
11-01,1292,1825,2,830
11-02,1313,1612,0,682
12-01,2135,1499,2,859
12-02,1318,1526,0,715
12-04,1632,1105,0,623
12-05,2500,2264,2,1324
12-06,1278,1083,0,584
12-07,951,822,0,369
12-08,1155,1577,1,741
12-09,1461,1129,3,694
13-01,603,2177,1,652
13-02,626,741,1,390
13-05,379,922,1,377
13-06,934,1152,2,470
13-07,478,1051,3,377
13-08,357,1328,0,399
13-09,711,2020,3,599
13-10,1864,2045,1,917
13-11,1124,1078,0,489
14-01,275,214,0,147
14-02,2417,1462,1,1004
15-01,1325,1494,2,626
15-02,1697,1852,1,796
15-03,1670,1443,1,582
15-04,704,828,0,309
16-01,798,955,1,361
16-02,639,2539,3,632
16-03,304,703,1,223
16-04,596,1292,2,329
16-05,735,1045,1,378
16-06,292,691,2,216
16-07,753,1651,3,374
16-08,841,4048,0,891
16-09,709,1462,1,476
17-01,527,1209,1,460
17-02,259,359,0,184
17-03,1270,2775,1,1094
17-04,1376,2435,2,855
17-05,778,1771,1,626
17-06,609,686,1,319
17-07,448,2015,2,455
17-08,1708,3377,1,1207
17-09,268,2088,0,397
17-10,258,481,0,226
17-11,743,1991,3,647
18-01,886,2187,1,844
18-02,1723,1405,2,889
18-03,794,813,0,412
18-04,1384,1296,2,614
18-05,1748,1701,0,821
18-06,961,1648,1,733
18-07,1248,990,3,583
18-08,1107,1362,3,753
19-03,1112,882,1,478
19-04,2282,2514,0,1290
19-05,1287,821,1,508
19-07,858,953,1,556
19-09,1407,1381,0,785
19-10,2824,2533,3,1365
19-11,917,970,1,533
19-12,1801,1856,0,932
19-13,574,813,3,410
19-14,971,893,1,433
19-15,893,824,2,423
19-16,834,1008,0,432
19-17,1165,2129,0,729
20-01,924,1323,1,647
20-03,1096,1283,0,694
20-04,980,1361,0,622
20-05,1283,1264,0,746
20-06A,1178,1713,0,935
20-06B,1148,1159,2,699
20-08,1346,1563,3,903
20-09,842,1011,1,539
20-10,896,1233,1,570
20-11,1192,1271,2,722
20-12,895,864,0,483
20-14,1525,2237,1,1018
20-15,885,1404,3,633
20-16,681,1237,0,550
20-17,951,1296,1,678
