id,Eric Craig Chasse,UNDER VOTES
01-01,915,790
01-02,951,720
01-03,936,899
01-04,548,545
01-05,503,447
01-06,1249,1138
01-07,943,803
01-07A,99,138
01-09,535,512
01-10,705,642
01-11,904,964
01-12,855,744
01-13,686,667
01-14,1513,1480
01-15,823,764
01-16,1149,1096
01-17,478,461
01-18,1124,1190
01-19,721,685
01-20,1022,1079
01-21,1622,1544
01-22,1543,1521
01-23,3276,2234
01-25,269,204
01-26,1013,967
01-27,841,725
01-28,1602,1699
01-29,1126,979
01-30,560,578
01-31,1489,1214
01-32,1127,878
01-33,631,642
01-34,708,506
01-35,863,819
01-36,1072,991
01-37,839,768
01-38,931,900
01-39,1212,980
01-40,1612,1590
01-41,930,769
01-42,1064,1383
01-43,998,804
01-44,1366,1588
01-45,800,728
01-46,1042,1275
01-47,915,1010
01-48,1033,866
01-49,1467,891
01-50,1152,982
01-51,492,492
02-01,1278,1418
02-02,2204,2532
02-03,1218,1369
02-04,901,1176
02-05,449,462
02-06,1037,1259
03-00,1469,1577
04-01,885,944
04-02,1120,991
04-03,876,788
04-04,749,664
04-05,1490,1512
04-06,1191,1332
04-07,1133,1363
04-08,1119,888
04-09,1094,1009
04-10,1200,1153
04-11,658,607
04-12,1181,1230
04-13,1853,2006
04-14,722,758
04-15,1103,970
04-16,924,922
04-17,825,816
04-18,1168,1061
04-19,749,806
04-20,1420,1157
04-21,809,656
05-01,1755,1613
05-03,1424,1455
05-05,3147,2726
05-06,2094,2074
05-07,2874,2514
05-08,1305,1094
06-04,1550,1355
06-05,1323,1502
06-06,2313,2097
06-07,1393,1390
06-08,998,881
06-09,2229,2034
06-10,1199,1175
07-01,756,692
07-02,708,690
07-03,752,639
07-04,1898,1543
07-05,828,722
07-06,1485,1509
07-07,1596,1492
07-07A,233,271
07-09,1409,1262
07-10,2132,1885
07-11,537,539
07-12,1196,1044
07-13,1025,905
08-02,1707,1645
08-03,2409,1904
08-04,783,750
08-05,939,927
08-06,1055,754
08-07,1155,1150
08-08,1916,1788
08-09,913,827
08-10,1178,1055
08-11,1719,1639
09-01,915,945
09-02,1435,1291
09-03,1066,1200
10-01,450,585
10-02,1570,1383
10-03,1091,1039
10-04,2557,2770
11-01,2128,1821
11-02,1832,1775
12-01,2175,2320
12-02,1822,1737
12-04,1654,1706
12-05,3050,3040
12-06,1429,1516
12-07,1093,1049
12-08,1828,1646
12-09,1620,1667
13-01,1770,1663
13-02,876,882
13-05,837,842
13-06,1336,1222
13-07,988,921
13-08,1087,997
13-09,1800,1533
13-10,2482,2345
13-11,1352,1339
14-01,281,355
14-02,2278,2606
15-01,1703,1744
15-02,2120,2226
15-03,1884,1812
15-04,921,920
16-01,1038,1077
16-02,1920,1893
16-03,643,588
16-04,1072,1147
16-05,1031,1128
16-06,569,632
16-07,1390,1391
16-08,2868,2912
16-09,1304,1344
17-01,1096,1101
17-02,404,398
17-03,2393,2747
17-04,2331,2337
17-05,1417,1759
17-06,771,844
17-07,1479,1441
17-08,3076,3217
17-09,1444,1309
17-10,454,511
17-11,1658,1726
18-01,2225,1693
18-02,1875,2144
18-03,962,1057
18-04,1577,1719
18-05,1970,2300
18-06,1749,1594
18-07,1314,1510
18-08,1694,1531
19-03,1274,1199
19-04,3055,3031
19-05,1209,1408
19-07,1186,1182
19-09,1831,1742
19-10,3442,3283
19-11,1261,1160
19-12,2364,2225
19-13,936,864
19-14,1184,1114
19-15,1074,1068
19-16,1155,1119
19-17,2073,1950
20-01,1538,1357
20-03,1492,1581
20-04,1609,1354
20-05,1508,1785
20-06A,1954,1872
20-06B,1512,1496
20-08,1911,1904
20-09,1225,1168
20-10,1410,1290
20-11,1605,1582
20-12,1089,1153
20-14,2498,2283
20-15,1564,1361
20-16,1325,1143
20-17,1433,1493
