id,UNDER VOTES,V.A. (Woofer) Davidian III
01-01,854,851
01-02,763,908
01-03,780,1055
01-04,519,574
01-05,384,566
01-06,1145,1242
01-07,862,884
01-07A,159,78
01-09,529,518
01-10,616,731
01-11,705,1163
01-12,752,847
01-13,727,626
01-14,1612,1381
01-15,697,890
01-16,1083,1162
01-17,390,549
01-18,1060,1254
01-19,858,548
01-20,1145,956
01-21,1551,1615
01-22,1708,1356
01-23,2172,3338
01-25,270,203
01-26,1097,883
01-27,794,772
01-28,1799,1502
01-29,909,1196
01-30,498,640
01-31,1317,1386
01-32,912,1093
01-33,637,636
01-34,660,554
01-35,998,684
01-36,863,1200
01-37,727,880
01-38,889,942
01-39,1009,1183
01-40,1872,1330
01-41,793,906
01-42,984,1463
01-43,829,973
01-44,1482,1472
01-45,646,882
01-46,1333,984
01-47,744,1181
01-48,962,937
01-49,1036,1322
01-50,1260,874
01-51,423,561
02-01,1034,1662
02-02,1969,2767
02-03,1069,1518
02-04,874,1203
02-05,389,522
02-06,858,1438
03-00,1270,1776
04-01,899,930
04-02,926,1185
04-03,766,898
04-04,629,784
04-05,1367,1635
04-06,1147,1376
04-07,990,1506
04-08,916,1091
04-09,872,1231
04-10,1039,1314
04-11,585,680
04-12,997,1414
04-13,1812,2047
04-14,673,807
04-15,916,1157
04-16,850,996
04-17,790,851
04-18,946,1283
04-19,705,850
04-20,1142,1435
04-21,693,772
05-01,1492,1876
05-03,1258,1621
05-05,2528,3345
05-06,1779,2389
05-07,2452,2936
05-08,1095,1304
06-04,1270,1635
06-05,1109,1716
06-06,1912,2498
06-07,1143,1640
06-08,822,1057
06-09,1681,2582
06-10,960,1414
07-01,676,772
07-02,663,735
07-03,545,846
07-04,1538,1903
07-05,669,881
07-06,1197,1797
07-07,1290,1798
07-07A,279,225
07-09,1134,1537
07-10,1661,2356
07-11,446,630
07-12,1004,1236
07-13,822,1108
08-02,1388,1964
08-03,1699,2614
08-04,660,873
08-05,777,1089
08-06,796,1013
08-07,964,1341
08-08,1500,2204
08-09,769,971
08-10,928,1305
08-11,1486,1872
09-01,853,1007
09-02,1284,1442
09-03,904,1362
10-01,433,602
10-02,1257,1696
10-03,946,1184
10-04,2456,2871
11-01,1727,2222
11-02,1576,2031
12-01,1687,2808
12-02,1523,2036
12-04,1294,2066
12-05,2452,3638
12-06,1180,1765
12-07,828,1314
12-08,1564,1910
12-09,1266,2021
13-01,1799,1634
13-02,772,986
13-05,817,862
13-06,1003,1555
13-07,994,915
13-08,1087,997
13-09,1652,1681
13-10,1948,2879
13-11,1042,1649
14-01,309,327
14-02,1897,2987
15-01,1446,2001
15-02,1848,2498
15-03,1436,2260
15-04,785,1056
16-01,890,1225
16-02,1958,1855
16-03,579,652
16-04,1012,1207
16-05,972,1187
16-06,612,589
16-07,1249,1532
16-08,3020,2760
16-09,1259,1389
17-01,1136,1061
17-02,376,426
17-03,2641,2499
17-04,2141,2527
17-05,1635,1541
17-06,732,883
17-07,1536,1384
17-08,2962,3331
17-09,1523,1230
17-10,510,455
17-11,1737,1647
18-01,1747,2171
18-02,1580,2439
18-03,834,1185
18-04,1393,1903
18-05,1714,2556
18-06,1537,1806
18-07,1131,1693
18-08,1405,1820
19-03,996,1477
19-04,2547,3539
19-05,1060,1557
19-07,1116,1252
19-09,1513,2060
19-10,2704,4021
19-11,1020,1401
19-12,1921,2668
19-13,800,1000
19-14,920,1378
19-15,869,1273
19-16,1018,1256
19-17,1842,2181
20-01,1226,1669
20-03,1296,1777
20-04,1283,1680
20-05,1352,1941
20-06A,1731,2095
20-06B,1252,1756
20-08,1622,2193
20-09,996,1397
20-10,1194,1506
20-11,1319,1868
20-12,893,1349
20-14,2066,2715
20-15,1230,1695
20-16,1105,1363
20-17,1302,1624
