id,Dan Nagle,OVER VOTES,UNDER VOTES,Walter Rand
01-01,421,0,391,893
01-02,494,2,332,843
01-03,712,1,361,761
01-04,398,0,232,463
01-05,356,0,192,402
01-06,682,1,572,1132
01-07,452,0,434,860
01-07A,32,0,73,132
01-09,296,0,236,515
01-10,419,0,244,684
01-11,859,0,330,679
01-12,475,0,395,729
01-13,304,0,333,716
01-14,622,2,678,1691
01-15,671,3,343,570
01-16,737,0,537,971
01-17,394,1,215,329
01-18,887,2,539,886
01-19,202,1,289,914
01-20,458,1,489,1153
01-21,993,1,776,1396
01-22,538,1,571,1954
01-23,1652,5,1460,2393
01-25,73,0,118,282
01-26,317,1,505,1157
01-27,319,0,375,872
01-28,719,3,788,1791
01-29,859,0,401,845
01-30,487,0,235,416
01-31,707,0,687,1309
01-32,666,1,467,871
01-33,441,0,261,571
01-34,177,1,230,806
01-35,252,2,380,1048
01-36,895,0,456,712
01-37,668,2,338,599
01-38,577,2,424,828
01-39,807,1,499,885
01-40,560,2,627,2013
01-41,523,0,420,756
01-42,1270,1,478,698
01-43,607,4,431,760
01-44,1029,2,731,1192
01-45,661,1,324,542
01-46,505,2,621,1189
01-47,956,1,349,619
01-48,559,0,419,921
01-49,801,4,490,1063
01-50,367,2,432,1333
01-51,420,1,226,337
02-01,1393,4,513,786
02-02,2515,2,1011,1208
02-03,1401,1,482,703
02-04,1080,0,469,528
02-05,465,0,192,254
02-06,1272,1,439,584
03-00,1496,1,736,813
04-01,698,2,460,669
04-02,945,2,396,768
04-03,710,1,346,607
04-04,606,0,325,482
04-05,1352,3,634,1013
04-06,1139,0,603,781
04-07,1328,1,512,655
04-08,792,1,452,762
04-09,1056,0,462,585
04-10,982,5,565,801
04-11,523,1,296,445
04-12,1163,1,448,799
04-13,1708,3,983,1165
04-14,674,1,300,505
04-15,873,1,442,757
04-16,770,2,405,669
04-17,661,2,370,608
04-18,951,0,481,797
04-19,695,0,344,516
04-20,1071,1,532,973
04-21,514,2,340,609
05-01,1373,3,829,1163
05-03,1280,0,719,880
05-05,2322,2,1390,2159
05-06,1911,2,999,1256
05-07,1871,3,1303,2211
05-08,798,3,604,994
06-04,1233,1,761,910
06-05,1501,0,619,705
06-06,1908,3,1187,1312
06-07,1250,1,606,926
06-08,786,0,452,641
06-09,2079,0,1098,1086
06-10,1166,0,537,671
07-01,537,0,320,591
07-02,601,0,312,485
07-03,617,0,285,489
07-04,1277,0,710,1454
07-05,705,0,295,550
07-06,1441,2,644,907
07-07,1350,0,668,1070
07-07A,169,0,168,167
07-09,1059,2,588,1022
07-10,1574,4,906,1533
07-11,509,1,208,358
07-12,829,1,520,890
07-13,841,3,386,700
08-02,1530,2,715,1105
08-03,1933,1,904,1475
08-04,749,0,321,463
08-05,892,2,361,611
08-06,591,0,384,834
08-07,1172,0,500,633
08-08,1771,2,811,1120
08-09,669,1,416,654
08-10,935,3,506,789
08-11,1338,2,831,1187
09-01,812,3,467,578
09-02,934,1,630,1161
09-03,1148,0,463,655
10-01,554,2,224,255
10-02,1315,1,619,1018
10-03,864,1,471,794
10-04,2141,2,1115,2069
11-01,1500,3,947,1499
11-02,1475,2,765,1365
12-01,2356,0,971,1168
12-02,1567,0,800,1192
12-04,1849,1,678,832
12-05,3021,3,1416,1650
12-06,1485,0,635,825
12-07,1100,1,408,633
12-08,1447,4,825,1198
12-09,1681,0,758,848
13-01,914,4,798,1717
13-02,788,0,428,542
13-05,549,0,432,698
13-06,1126,0,531,901
13-07,614,0,451,844
13-08,539,1,495,1049
13-09,944,0,736,1653
13-10,2217,1,1055,1554
13-11,1356,2,537,796
14-01,305,0,163,168
14-02,2753,4,1096,1031
15-01,1741,0,769,937
15-02,2036,1,912,1397
15-03,2001,2,722,971
15-04,819,0,403,619
16-01,940,0,457,718
16-02,899,2,801,2111
16-03,401,1,311,518
16-04,904,0,513,802
16-05,909,2,473,775
16-06,382,2,279,538
16-07,1148,1,600,1032
16-08,1348,3,1158,3271
16-09,923,3,619,1103
17-01,645,1,534,1017
17-02,320,0,192,290
17-03,1672,5,1248,2215
17-04,1706,4,1002,1956
17-05,999,2,749,1426
17-06,729,2,349,535
17-07,699,1,598,1622
17-08,2202,4,1448,2639
17-09,499,1,525,1728
17-10,327,0,247,391
17-11,989,3,772,1620
18-01,1158,4,1021,1735
18-02,2024,1,930,1064
18-03,990,3,410,616
18-04,1597,0,705,994
18-05,2123,1,839,1307
18-06,1195,0,830,1318
18-07,1483,1,613,727
18-08,1450,2,769,1004
19-03,1223,1,551,698
19-04,2757,3,1479,1847
19-05,1440,0,580,597
19-07,936,0,677,755
19-09,1660,0,886,1027
19-10,3287,4,1543,1891
19-11,1091,2,613,715
19-12,2121,7,1106,1355
19-13,720,4,458,618
19-14,1135,0,504,659
19-15,1063,0,495,584
19-16,978,1,482,813
19-17,1508,2,900,1613
20-01,1221,0,686,988
20-03,1438,0,699,936
20-04,1268,3,706,986
20-05,1567,0,773,953
20-06A,1516,0,1069,1241
20-06B,1421,1,750,836
20-08,1729,1,995,1090
20-09,1089,0,582,722
20-10,1167,0,629,904
20-11,1482,2,802,901
20-12,1061,1,527,653
20-14,1972,1,1198,1610
20-15,1154,2,723,1046
20-16,911,1,661,895
20-17,1208,2,773,943
