id,Robert B. Rader,UNDER VOTES
01-01,907,798
01-02,956,715
01-03,977,858
01-04,565,528
01-05,546,404
01-06,1249,1138
01-07,953,793
01-07A,87,150
01-09,537,510
01-10,748,599
01-11,987,881
01-12,854,745
01-13,681,672
01-14,1479,1514
01-15,799,788
01-16,1120,1125
01-17,472,467
01-18,1065,1249
01-19,676,730
01-20,958,1143
01-21,1579,1587
01-22,1368,1696
01-23,3189,2321
01-25,248,225
01-26,941,1039
01-27,814,752
01-28,1476,1825
01-29,1175,930
01-30,553,585
01-31,1423,1280
01-32,1100,905
01-33,638,635
01-34,665,549
01-35,764,918
01-36,1114,949
01-37,816,791
01-38,902,929
01-39,1154,1038
01-40,1449,1753
01-41,898,801
01-42,1038,1409
01-43,946,856
01-44,1309,1645
01-45,776,752
01-46,981,1336
01-47,880,1045
01-48,1015,884
01-49,1422,936
01-50,1057,1077
01-51,480,504
02-01,1241,1455
02-02,2109,2627
02-03,1184,1403
02-04,844,1233
02-05,432,479
02-06,1017,1279
03-00,1414,1632
04-01,850,979
04-02,1100,1011
04-03,852,812
04-04,725,688
04-05,1423,1579
04-06,1143,1380
04-07,1107,1389
04-08,1073,934
04-09,1037,1066
04-10,1136,1217
04-11,626,639
04-12,1122,1289
04-13,1783,2076
04-14,692,788
04-15,1063,1010
04-16,893,953
04-17,809,832
04-18,1148,1081
04-19,722,833
04-20,1379,1198
04-21,775,690
05-01,1691,1677
05-03,1393,1486
05-05,3053,2820
05-06,2002,2166
05-07,2754,2634
05-08,1248,1151
06-04,1462,1443
06-05,1284,1541
06-06,2205,2205
06-07,1339,1444
06-08,958,921
06-09,2139,2124
06-10,1132,1242
07-01,736,712
07-02,675,723
07-03,728,663
07-04,1820,1621
07-05,797,753
07-06,1420,1574
07-07,1555,1533
07-07A,231,273
07-09,1370,1301
07-10,2049,1968
07-11,531,545
07-12,1156,1084
07-13,961,969
08-02,1641,1711
08-03,2293,2020
08-04,759,774
08-05,893,973
08-06,1016,793
08-07,1099,1206
08-08,1837,1867
08-09,878,862
08-10,1118,1115
08-11,1627,1731
09-01,880,980
09-02,1371,1355
09-03,1032,1234
10-01,435,600
10-02,1518,1435
10-03,1044,1086
10-04,2444,2883
11-01,2096,1853
11-02,1824,1783
12-01,2085,2410
12-02,1758,1801
12-04,1608,1752
12-05,2897,3193
12-06,1334,1611
12-07,1046,1096
12-08,1745,1729
12-09,1539,1748
13-01,1646,1787
13-02,810,948
13-05,793,886
13-06,1283,1275
13-07,969,940
13-08,1047,1037
13-09,1726,1607
13-10,2387,2440
13-11,1283,1408
14-01,277,359
14-02,2207,2677
15-01,1652,1795
15-02,2022,2324
15-03,1832,1864
15-04,886,955
16-01,1006,1109
16-02,1772,2041
16-03,608,623
16-04,1025,1194
16-05,981,1178
16-06,543,658
16-07,1334,1447
16-08,2633,3147
16-09,1231,1417
17-01,1058,1139
17-02,396,406
17-03,2242,2898
17-04,2195,2473
17-05,1311,1865
17-06,743,872
17-07,1387,1533
17-08,2919,3374
17-09,1335,1418
17-10,434,531
17-11,1578,1806
18-01,2128,1790
18-02,1783,2236
18-03,944,1075
18-04,1520,1776
18-05,1895,2375
18-06,1704,1639
18-07,1258,1566
18-08,1604,1621
19-03,1212,1261
19-04,2889,3197
19-05,1137,1480
19-07,1106,1262
19-09,1745,1828
19-10,3295,3430
19-11,1186,1235
19-12,2234,2355
19-13,885,915
19-14,1116,1182
19-15,1023,1119
19-16,1130,1144
19-17,1990,2033
20-01,1480,1415
20-03,1430,1643
20-04,1529,1434
20-05,1443,1850
20-06A,1852,1974
20-06B,1446,1562
20-08,1808,2007
20-09,1176,1217
20-10,1368,1332
20-11,1536,1651
20-12,1061,1181
20-14,2372,2409
20-15,1477,1448
20-16,1249,1219
20-17,1364,1562
