id,Debra Sasser,UNDER VOTES
01-01,965,740
01-02,991,680
01-03,965,870
01-04,560,533
01-05,518,432
01-06,1294,1093
01-07,1001,745
01-07A,110,127
01-09,564,483
01-10,733,614
01-11,893,975
01-12,890,709
01-13,758,595
01-14,1642,1351
01-15,836,751
01-16,1175,1070
01-17,476,463
01-18,1165,1149
01-19,981,425
01-20,1303,798
01-21,1800,1366
01-22,2224,840
01-23,3325,2185
01-25,304,169
01-26,1285,695
01-27,893,673
01-28,2035,1266
01-29,1154,951
01-30,560,578
01-31,1587,1116
01-32,1167,838
01-33,635,638
01-34,881,333
01-35,1164,518
01-36,1073,990
01-37,833,774
01-38,1019,812
01-39,1223,969
01-40,2232,970
01-41,945,754
01-42,1078,1369
01-43,1022,780
01-44,1479,1475
01-45,804,724
01-46,1323,994
01-47,907,1018
01-48,1089,810
01-49,1490,868
01-50,1505,629
01-51,498,486
02-01,1270,1426
02-02,2161,2575
02-03,1184,1403
02-04,873,1204
02-05,444,467
02-06,1032,1264
03-00,1449,1597
04-01,891,938
04-02,1145,966
04-03,880,784
04-04,752,661
04-05,1493,1509
04-06,1195,1328
04-07,1152,1344
04-08,1106,901
04-09,1091,1012
04-10,1185,1168
04-11,669,596
04-12,1177,1234
04-13,1851,2008
04-14,715,765
04-15,1122,951
04-16,922,924
04-17,841,800
04-18,1172,1057
04-19,741,814
04-20,1437,1140
04-21,824,641
05-01,1760,1608
05-03,1429,1450
05-05,3178,2695
05-06,2050,2118
05-07,2846,2542
05-08,1282,1117
06-04,1527,1378
06-05,1309,1516
06-06,2264,2146
06-07,1396,1387
06-08,1010,869
06-09,2180,2083
06-10,1169,1205
07-01,769,679
07-02,700,698
07-03,747,644
07-04,1878,1563
07-05,839,711
07-06,1482,1512
07-07,1597,1491
07-07A,221,283
07-09,1419,1252
07-10,2135,1882
07-11,548,528
07-12,1208,1032
07-13,1022,908
08-02,1724,1628
08-03,2368,1945
08-04,767,766
08-05,923,943
08-06,1060,749
08-07,1116,1189
08-08,1874,1830
08-09,911,829
08-10,1166,1067
08-11,1688,1670
09-01,910,950
09-02,1480,1246
09-03,1061,1205
10-01,454,581
10-02,1600,1353
10-03,1138,992
10-04,2828,2499
11-01,2129,1820
11-02,1841,1766
12-01,2155,2340
12-02,1845,1714
12-04,1650,1710
12-05,3026,3064
12-06,1370,1575
12-07,1098,1044
12-08,1822,1652
12-09,1586,1701
13-01,2027,1406
13-02,871,887
13-05,898,781
13-06,1369,1189
13-07,1072,837
13-08,1227,857
13-09,1879,1454
13-10,2456,2371
13-11,1320,1371
14-01,287,349
14-02,2262,2622
15-01,1743,1704
15-02,2184,2162
15-03,1912,1784
15-04,956,885
16-01,1119,996
16-02,2459,1354
16-03,697,534
16-04,1159,1060
16-05,1103,1056
16-06,650,551
16-07,1476,1305
16-08,3764,2016
16-09,1461,1187
17-01,1287,910
17-02,429,373
17-03,2772,2368
17-04,2543,2125
17-05,1744,1432
17-06,817,798
17-07,1931,989
17-08,3382,2911
17-09,1952,801
17-10,502,463
17-11,1972,1412
18-01,2315,1603
18-02,1837,2182
18-03,976,1043
18-04,1602,1694
18-05,1981,2289
18-06,1774,1569
18-07,1298,1526
18-08,1676,1549
19-03,1249,1224
19-04,3048,3038
19-05,1169,1448
19-07,1155,1213
19-09,1849,1724
19-10,3437,3288
19-11,1227,1194
19-12,2326,2263
19-13,930,870
19-14,1175,1123
19-15,1054,1088
19-16,1188,1086
19-17,2183,1840
20-01,1540,1355
20-03,1481,1592
20-04,1576,1387
20-05,1499,1794
20-06A,1935,1891
20-06B,1484,1524
20-08,1878,1937
20-09,1203,1190
20-10,1408,1292
20-11,1575,1612
20-12,1081,1161
20-14,2471,2310
20-15,1542,1383
20-16,1313,1155
20-17,1404,1522
