id,Anna Elena Worley,Marty E. Miller,OVER VOTES,UNDER VOTES
01-01,826,480,0,399
01-02,777,525,1,368
01-03,709,704,1,421
01-04,410,392,1,290
01-05,356,340,0,254
01-06,1075,684,1,627
01-07,834,451,3,458
01-07A,123,40,0,74
01-09,486,294,1,266
01-10,601,439,0,307
01-11,587,831,0,450
01-12,706,473,1,419
01-13,654,356,0,343
01-14,1560,677,2,754
01-15,624,597,0,366
01-16,970,687,0,588
01-17,338,376,0,225
01-18,966,764,2,582
01-19,930,168,2,306
01-20,1155,404,0,542
01-21,1510,798,2,856
01-22,2084,338,1,641
01-23,2540,1465,7,1498
01-25,280,65,1,127
01-26,1172,304,1,503
01-27,809,367,2,388
01-28,1845,614,3,839
01-29,866,779,1,459
01-30,420,438,0,280
01-31,1406,564,1,732
01-32,971,538,3,493
01-33,571,397,1,304
01-34,786,187,0,241
01-35,1096,195,1,390
01-36,693,815,1,554
01-37,642,592,0,373
01-38,870,485,1,475
01-39,1038,638,1,515
01-40,2077,402,1,722
01-41,789,459,2,449
01-42,814,1092,1,540
01-43,884,476,2,440
01-44,1344,833,3,774
01-45,648,536,0,344
01-46,1275,365,3,674
01-47,699,823,2,401
01-48,951,503,0,445
01-49,1249,581,1,527
01-50,1403,250,0,481
01-51,381,364,1,238
02-01,899,1240,2,555
02-02,1563,2079,3,1091
02-03,819,1233,1,534
02-04,681,915,0,481
02-05,322,383,0,206
02-06,703,1141,0,452
03-00,1062,1198,0,786
04-01,778,556,2,493
04-02,872,755,2,482
04-03,782,494,0,388
04-04,604,449,1,359
04-05,1239,1039,2,722
04-06,946,914,1,662
04-07,790,1150,2,554
04-08,974,548,0,485
04-09,787,792,2,522
04-10,905,841,1,606
04-11,570,362,0,333
04-12,950,950,1,510
04-13,1572,1212,3,1072
04-14,592,534,2,352
04-15,879,717,1,476
04-16,766,625,0,455
04-17,692,539,0,410
04-18,969,714,1,545
04-19,604,563,0,388
04-20,1167,801,1,608
04-21,711,374,0,380
05-01,1381,1076,1,910
05-03,1139,954,2,784
05-05,2610,1725,1,1537
05-06,1649,1449,1,1069
05-07,2521,1462,2,1403
05-08,1126,626,2,645
06-04,1164,977,2,762
06-05,893,1272,2,658
06-06,1660,1517,1,1232
06-07,1105,1053,0,625
06-08,798,606,0,475
06-09,1492,1621,0,1150
06-10,828,985,0,561
07-01,654,455,0,339
07-02,588,444,0,366
07-03,559,537,0,295
07-04,1673,1016,2,750
07-05,661,570,0,319
07-06,1146,1177,2,669
07-07,1250,1121,2,715
07-07A,173,150,0,181
07-09,1195,874,5,597
07-10,1783,1273,1,960
07-11,429,433,1,213
07-12,1018,689,1,532
07-13,806,698,1,425
08-02,1363,1238,2,749
08-03,1857,1519,0,937
08-04,556,621,0,356
08-05,705,786,1,374
08-06,948,465,2,394
08-07,848,909,0,548
08-08,1385,1454,1,864
08-09,753,563,2,422
08-10,944,770,0,519
08-11,1383,1097,1,877
09-01,636,731,2,491
09-02,1292,775,1,658
09-03,780,967,0,519
10-01,273,502,0,260
10-02,1215,1055,4,679
10-03,908,747,1,474
10-04,2312,1816,3,1196
11-01,1691,1208,6,1044
11-02,1494,1260,3,850
12-01,1411,2079,1,1004
12-02,1395,1325,0,839
12-04,983,1607,3,767
12-05,2107,2472,1,1510
12-06,989,1274,1,681
12-07,728,961,0,453
12-08,1416,1195,4,859
12-09,1057,1431,1,798
13-01,1868,675,1,889
13-02,662,628,0,468
13-05,805,404,0,470
13-06,1038,970,0,550
13-07,961,463,2,483
13-08,1160,399,3,522
13-09,1783,750,4,796
13-10,1917,1803,2,1105
13-11,1019,1096,0,576
14-01,196,265,0,175
14-02,1374,2335,2,1173
15-01,1113,1457,1,876
15-02,1557,1765,2,1022
15-03,1183,1722,0,791
15-04,660,733,1,447
16-01,782,836,0,497
16-02,2239,713,1,860
16-03,547,354,0,330
16-04,895,757,1,566
16-05,847,778,0,534
16-06,537,352,1,311
16-07,1189,939,1,652
16-08,3557,957,2,1264
16-09,1177,810,0,661
17-01,1089,549,2,557
17-02,306,284,0,212
17-03,2564,1297,3,1276
17-04,2181,1411,0,1076
17-05,1582,796,1,797
17-06,594,639,0,382
17-07,1809,490,2,619
17-08,3020,1782,0,1491
17-09,1865,332,1,555
17-10,383,312,0,270
17-11,1828,750,3,803
18-01,1879,982,0,1057
18-02,1286,1752,0,981
18-03,802,780,0,437
18-04,1139,1372,1,784
18-05,1549,1824,0,897
18-06,1478,983,1,881
18-07,877,1250,2,695
18-08,1244,1118,0,863
19-03,846,1071,0,556
19-04,2327,2233,1,1525
19-05,771,1244,0,602
19-07,871,836,2,659
19-09,1245,1391,1,936
19-10,2416,2707,2,1600
19-11,872,916,0,633
19-12,1688,1776,0,1125
19-13,768,571,2,459
19-14,825,953,1,519
19-15,748,869,3,522
19-16,913,849,0,512
19-17,1923,1155,4,941
20-01,1239,959,1,696
20-03,1202,1123,0,748
20-04,1235,980,1,747
20-05,1166,1332,0,795
20-06A,1539,1206,2,1079
20-06B,1084,1153,0,771
20-08,1399,1387,0,1029
20-09,943,849,0,601
20-10,1145,900,0,655
20-11,1158,1218,0,811
20-12,811,885,2,544
20-14,2049,1518,2,1212
20-15,1277,902,0,746
20-16,1150,672,1,645
20-17,1165,960,0,801
