id,Christine M. Walczyk,under
01-01,938,767
01-02,963,708
01-03,930,905
01-04,542,551
01-05,493,457
01-06,1268,1119
01-07,957,789
01-07A,105,132
01-09,553,494
01-10,705,642
01-11,862,1006
01-12,876,723
01-13,726,627
01-14,1568,1425
01-15,810,777
01-16,1120,1125
01-17,465,474
01-18,1136,1178
01-19,941,465
01-20,1231,870
01-21,1746,1420
01-22,2072,992
01-23,3303,2207
01-25,294,179
01-26,1211,769
01-27,872,694
01-28,1916,1385
01-29,1122,983
01-30,541,597
01-31,1536,1167
01-32,1141,864
01-33,622,651
01-34,853,361
01-35,1086,596
01-36,1060,1003
01-37,820,787
01-38,961,870
01-39,1188,1004
01-40,2095,1107
01-41,928,771
01-42,1059,1388
01-43,976,826
01-44,1415,1539
01-45,782,746
01-46,1240,1077
01-47,886,1039
01-48,1063,836
01-49,1465,893
01-50,1433,701
01-51,482,502
02-01,1240,1456
02-02,2126,2610
02-03,1169,1418
02-04,864,1213
02-05,433,478
02-06,1021,1275
03-00,1417,1629
04-01,858,971
04-02,1110,1001
04-03,854,810
04-04,728,685
04-05,1452,1550
04-06,1178,1345
04-07,1113,1383
04-08,1087,920
04-09,1058,1045
04-10,1164,1189
04-11,646,619
04-12,1143,1268
04-13,1801,2058
04-14,697,783
04-15,1102,971
04-16,915,931
04-17,820,821
04-18,1166,1063
04-19,724,831
04-20,1413,1164
04-21,789,676
05-01,1713,1655
05-03,1412,1467
05-05,3119,2754
05-06,2026,2142
05-07,2768,2620
05-08,1248,1151
06-04,1492,1413
06-05,1289,1536
06-06,2238,2172
06-07,1372,1411
06-08,979,900
06-09,2150,2113
06-10,1143,1231
07-01,743,705
07-02,682,716
07-03,726,665
07-04,1851,1590
07-05,817,733
07-06,1452,1542
07-07,1559,1529
07-07A,215,289
07-09,1391,1280
07-10,2103,1914
07-11,541,535
07-12,1165,1075
07-13,994,936
08-02,1697,1655
08-03,2349,1964
08-04,759,774
08-05,900,966
08-06,1038,771
08-07,1103,1202
08-08,1874,1830
08-09,894,846
08-10,1136,1097
08-11,1665,1693
09-01,873,987
09-02,1407,1319
09-03,1031,1235
10-01,440,595
10-02,1538,1415
10-03,1096,1034
10-04,2699,2628
11-01,2106,1843
11-02,1799,1808
12-01,2100,2395
12-02,1778,1781
12-04,1600,1760
12-05,2962,3128
12-06,1348,1597
12-07,1061,1081
12-08,1771,1703
12-09,1566,1721
13-01,1902,1531
13-02,841,917
13-05,868,811
13-06,1319,1239
13-07,1041,868
13-08,1162,922
13-09,1805,1528
13-10,2409,2418
13-11,1283,1408
14-01,278,358
14-02,2213,2671
15-01,1688,1759
15-02,2132,2214
15-03,1852,1844
15-04,917,924
16-01,1075,1040
16-02,2334,1479
16-03,660,571
16-04,1126,1093
16-05,1067,1092
16-06,619,582
16-07,1434,1347
16-08,3572,2208
16-09,1397,1251
17-01,1217,980
17-02,412,390
17-03,2653,2487
17-04,2419,2249
17-05,1663,1513
17-06,792,823
17-07,1825,1095
17-08,3241,3052
17-09,1857,896
17-10,462,503
17-11,1898,1486
18-01,2273,1645
18-02,1805,2214
18-03,951,1068
18-04,1544,1752
18-05,1930,2340
18-06,1742,1601
18-07,1264,1560
18-08,1638,1587
19-03,1221,1252
19-04,2970,3116
19-05,1150,1467
19-07,1117,1251
19-09,1788,1785
19-10,3352,3373
19-11,1190,1231
19-12,2289,2300
19-13,911,889
19-14,1152,1146
19-15,1030,1112
19-16,1147,1127
19-17,2115,1908
20-01,1509,1386
20-03,1451,1622
20-04,1544,1419
20-05,1482,1811
20-06A,1905,1921
20-06B,1450,1558
20-08,1839,1976
20-09,1189,1204
20-10,1373,1327
20-11,1558,1629
20-12,1069,1173
20-14,2415,2366
20-15,1513,1412
20-16,1269,1199
20-17,1380,1546
