id,Lon Cecil,OVER VOTES,Pat McCrory,Roy Cooper,UNDER VOTES
01-01,29,1,351,1313,11
01-02,32,0,438,1194,7
01-03,25,1,713,1082,14
01-04,18,0,408,662,5
01-05,13,0,387,546,4
01-06,51,0,539,1782,15
01-07,27,0,347,1360,12
01-07A,5,0,29,200,3
01-09,15,0,226,802,4
01-10,12,0,431,898,6
01-11,15,0,994,852,7
01-12,25,1,513,1052,8
01-13,18,0,227,1100,8
01-14,62,0,502,2412,17
01-15,20,0,654,905,8
01-16,37,1,670,1514,23
01-17,23,1,414,494,7
01-18,48,0,789,1455,22
01-19,19,1,63,1308,15
01-20,47,1,206,1825,22
01-21,89,0,795,2257,25
01-22,41,3,153,2843,24
01-23,192,2,1377,3856,83
01-25,11,1,43,411,7
01-26,29,4,100,1817,30
01-27,31,0,208,1313,14
01-28,64,0,451,2767,19
01-29,24,1,878,1194,8
01-30,15,1,458,647,17
01-31,98,2,446,2124,33
01-32,70,0,490,1420,25
01-33,15,0,425,819,14
01-34,15,1,59,1128,11
01-35,14,0,74,1573,21
01-36,37,0,953,1054,19
01-37,35,0,628,934,10
01-38,40,3,512,1252,24
01-39,57,0,595,1522,18
01-40,47,1,196,2926,32
01-41,60,0,359,1264,16
01-42,23,1,1250,1151,22
01-43,46,1,474,1259,22
01-44,64,4,893,1967,26
01-45,43,2,568,908,7
01-46,61,1,309,1924,22
01-47,38,0,902,971,14
01-48,65,0,408,1413,13
01-49,82,1,536,1716,23
01-50,36,4,144,1932,18
01-51,19,1,395,558,11
02-01,46,0,1267,1367,16
02-02,83,0,2449,2167,37
02-03,52,1,1413,1109,12
02-04,27,1,1138,893,18
02-05,17,0,467,423,4
02-06,24,1,1305,944,22
03-00,89,0,1459,1473,25
04-01,51,0,650,1111,17
04-02,55,0,744,1293,19
04-03,46,1,545,1050,22
04-04,43,0,488,870,12
04-05,59,0,1045,1881,17
04-06,48,0,970,1478,27
04-07,28,1,1281,1171,15
04-08,47,0,562,1385,13
04-09,34,2,884,1166,17
04-10,62,0,868,1399,24
04-11,33,0,351,871,10
04-12,57,0,952,1379,23
04-13,81,0,1519,2223,36
04-14,41,0,542,883,14
04-15,64,0,701,1295,13
04-16,44,0,620,1161,21
04-17,46,0,510,1069,16
04-18,50,1,739,1423,16
04-19,55,1,553,933,13
04-20,88,0,793,1665,31
04-21,62,0,364,1022,17
05-01,96,1,1239,1987,45
05-03,47,0,1218,1571,43
05-05,150,1,1960,3710,52
05-06,69,2,1624,2437,36
05-07,141,3,1494,3677,73
05-08,60,1,648,1667,23
06-04,97,1,1155,1615,37
06-05,55,0,1523,1235,12
06-06,123,1,1944,2294,48
06-07,75,0,1182,1508,18
06-08,58,0,757,1044,20
06-09,113,3,2092,2008,47
06-10,63,0,1252,1048,11
07-01,36,0,466,933,13
07-02,27,0,532,831,8
07-03,18,0,576,787,10
07-04,93,2,968,2351,27
07-05,45,0,583,916,6
07-06,47,0,1300,1621,26
07-07,54,1,1190,1827,16
07-07A,3,0,198,288,15
07-09,63,1,872,1717,18
07-10,101,1,1283,2599,33
07-11,13,0,443,614,6
07-12,36,2,727,1442,33
07-13,54,0,703,1157,16
08-02,71,0,1253,2009,19
08-03,110,0,1625,2555,23
08-04,32,0,702,783,16
08-05,34,1,816,1002,13
08-06,66,0,432,1296,15
08-07,59,0,1099,1133,14
08-08,75,0,1537,2068,24
08-09,49,1,577,1091,22
08-10,45,1,793,1382,12
08-11,79,1,1139,2102,37
09-01,35,0,971,845,9
09-02,43,2,963,1691,27
09-03,33,0,1272,955,6
10-01,17,1,657,356,4
10-02,47,2,1332,1558,14
10-03,52,0,942,1122,14
10-04,79,6,2130,3076,36
11-01,110,2,1257,2538,42
11-02,79,1,1322,2184,21
12-01,96,0,2582,1783,34
12-02,103,0,1634,1792,30
12-04,84,0,2092,1167,17
12-05,134,3,3123,2780,50
12-06,81,2,1608,1227,27
12-07,53,0,1148,926,15
12-08,74,0,1477,1892,31
12-09,56,0,1744,1455,32
13-01,77,2,609,2712,33
13-02,30,0,768,945,15
13-05,40,1,418,1199,21
13-06,53,2,986,1500,17
13-07,43,1,548,1295,22
13-08,40,1,393,1623,27
13-09,78,0,736,2496,23
13-10,104,0,2071,2611,41
13-11,54,0,1234,1388,15
14-01,12,0,384,232,8
14-02,93,0,2983,1773,35
15-01,75,2,1943,1413,14
15-02,97,0,2194,2023,32
15-03,69,1,2226,1381,19
15-04,35,0,973,819,14
16-01,46,0,1072,985,12
16-02,55,0,695,3031,32
16-03,39,0,412,770,10
16-04,38,0,992,1171,18
16-05,54,2,965,1122,16
16-06,38,0,372,785,6
16-07,65,0,1154,1545,17
16-08,86,1,846,4797,50
16-09,52,0,948,1625,23
17-01,51,0,596,1531,19
17-02,15,0,361,422,4
17-03,101,0,1488,3518,33
17-04,104,1,1576,2950,37
17-05,59,1,840,2247,29
17-06,25,0,798,783,9
17-07,41,0,457,2406,16
17-08,138,2,2061,4061,31
17-09,29,0,258,2442,24
17-10,21,1,302,626,15
17-11,59,2,768,2518,37
18-01,132,2,890,2838,56
18-02,72,1,2108,1813,25
18-03,41,0,839,1123,16
18-04,63,2,1615,1595,21
18-05,65,2,1920,2258,25
18-06,113,3,955,2235,37
18-07,69,1,1582,1154,18
18-08,71,1,1257,1853,43
19-03,71,1,1265,1120,16
19-04,117,1,2780,3140,48
19-05,44,0,1523,1025,25
19-07,53,0,1107,1178,30
19-09,73,1,1957,1511,31
19-10,126,2,3501,3033,63
19-11,77,0,1180,1142,22
19-12,95,3,2211,2226,54
19-13,40,2,691,1050,17
19-14,45,1,1078,1154,20
19-15,44,3,1053,1014,28
19-16,33,0,1091,1141,9
19-17,93,2,1346,2560,22
20-01,89,0,1126,1651,29
20-03,87,0,1345,1623,18
20-04,80,0,1107,1739,37
20-05,54,2,1491,1718,28
20-06A,110,0,1472,2194,50
20-06B,83,1,1293,1601,30
20-08,103,1,1669,1996,46
20-09,45,1,1002,1332,13
20-10,53,1,1030,1592,24
20-11,95,1,1499,1562,30
20-12,51,1,1047,1113,30
20-14,85,1,1789,2871,35
20-15,83,1,907,1904,30
20-16,59,0,772,1610,27
20-17,67,1,1116,1709,33
