id,Lon Cecil,Pat McCrory,Roy Cooper,over,under
01-01,29,351,1313,1,11
01-02,32,438,1194,0,7
01-03,25,713,1082,1,14
01-04,18,408,662,0,5
01-05,13,387,546,0,4
01-06,51,539,1782,0,15
01-07,27,347,1360,0,12
01-07A,5,29,200,0,3
01-09,15,226,802,0,4
01-10,12,431,898,0,6
01-11,15,994,852,0,7
01-12,25,513,1052,1,8
01-13,18,227,1100,0,8
01-14,62,502,2412,0,17
01-15,20,654,905,0,8
01-16,37,670,1514,1,23
01-17,23,414,494,1,7
01-18,48,789,1455,0,22
01-19,19,63,1308,1,15
01-20,47,206,1825,1,22
01-21,89,795,2257,0,25
01-22,41,153,2843,3,24
01-23,192,1377,3856,2,83
01-25,11,43,411,1,7
01-26,29,100,1817,4,30
01-27,31,208,1313,0,14
01-28,64,451,2767,0,19
01-29,24,878,1194,1,8
01-30,15,458,647,1,17
01-31,98,446,2124,2,33
01-32,70,490,1420,0,25
01-33,15,425,819,0,14
01-34,15,59,1128,1,11
01-35,14,74,1573,0,21
01-36,37,953,1054,0,19
01-37,35,628,934,0,10
01-38,40,512,1252,3,24
01-39,57,595,1522,0,18
01-40,47,196,2926,1,32
01-41,60,359,1264,0,16
01-42,23,1250,1151,1,22
01-43,46,474,1259,1,22
01-44,64,893,1967,4,26
01-45,43,568,908,2,7
01-46,61,309,1924,1,22
01-47,38,902,971,0,14
01-48,65,408,1413,0,13
01-49,82,536,1716,1,23
01-50,36,144,1932,4,18
01-51,19,395,558,1,11
02-01,46,1267,1367,0,16
02-02,83,2449,2167,0,37
02-03,52,1413,1109,1,12
02-04,27,1138,893,1,18
02-05,17,467,423,0,4
02-06,24,1305,944,1,22
03-00,89,1459,1473,0,25
04-01,51,650,1111,0,17
04-02,55,744,1293,0,19
04-03,46,545,1050,1,22
04-04,43,488,870,0,12
04-05,59,1045,1881,0,17
04-06,48,970,1478,0,27
04-07,28,1281,1171,1,15
04-08,47,562,1385,0,13
04-09,34,884,1166,2,17
04-10,62,868,1399,0,24
04-11,33,351,871,0,10
04-12,57,952,1379,0,23
04-13,81,1519,2223,0,36
04-14,41,542,883,0,14
04-15,64,701,1295,0,13
04-16,44,620,1161,0,21
04-17,46,510,1069,0,16
04-18,50,739,1423,1,16
04-19,55,553,933,1,13
04-20,88,793,1665,0,31
04-21,62,364,1022,0,17
05-01,96,1239,1987,1,45
05-03,47,1218,1571,0,43
05-05,150,1960,3710,1,52
05-06,69,1624,2437,2,36
05-07,141,1494,3677,3,73
05-08,60,648,1667,1,23
06-04,97,1155,1615,1,37
06-05,55,1523,1235,0,12
06-06,123,1944,2294,1,48
06-07,75,1182,1508,0,18
06-08,58,757,1044,0,20
06-09,113,2092,2008,3,47
06-10,63,1252,1048,0,11
07-01,36,466,933,0,13
07-02,27,532,831,0,8
07-03,18,576,787,0,10
07-04,93,968,2351,2,27
07-05,45,583,916,0,6
07-06,47,1300,1621,0,26
07-07,54,1190,1827,1,16
07-07A,3,198,288,0,15
07-09,63,872,1717,1,18
07-10,101,1283,2599,1,33
07-11,13,443,614,0,6
07-12,36,727,1442,2,33
07-13,54,703,1157,0,16
08-02,71,1253,2009,0,19
08-03,110,1625,2555,0,23
08-04,32,702,783,0,16
08-05,34,816,1002,1,13
08-06,66,432,1296,0,15
08-07,59,1099,1133,0,14
08-08,75,1537,2068,0,24
08-09,49,577,1091,1,22
08-10,45,793,1382,1,12
08-11,79,1139,2102,1,37
09-01,35,971,845,0,9
09-02,43,963,1691,2,27
09-03,33,1272,955,0,6
10-01,17,657,356,1,4
10-02,47,1332,1558,2,14
10-03,52,942,1122,0,14
10-04,79,2130,3076,6,36
11-01,110,1257,2538,2,42
11-02,79,1322,2184,1,21
12-01,96,2582,1783,0,34
12-02,103,1634,1792,0,30
12-04,84,2092,1167,0,17
12-05,134,3123,2780,3,50
12-06,81,1608,1227,2,27
12-07,53,1148,926,0,15
12-08,74,1477,1892,0,31
12-09,56,1744,1455,0,32
13-01,77,609,2712,2,33
13-02,30,768,945,0,15
13-05,40,418,1199,1,21
13-06,53,986,1500,2,17
13-07,43,548,1295,1,22
13-08,40,393,1623,1,27
13-09,78,736,2496,0,23
13-10,104,2071,2611,0,41
13-11,54,1234,1388,0,15
14-01,12,384,232,0,8
14-02,93,2983,1773,0,35
15-01,75,1943,1413,2,14
15-02,97,2194,2023,0,32
15-03,69,2226,1381,1,19
15-04,35,973,819,0,14
16-01,46,1072,985,0,12
16-02,55,695,3031,0,32
16-03,39,412,770,0,10
16-04,38,992,1171,0,18
16-05,54,965,1122,2,16
16-06,38,372,785,0,6
16-07,65,1154,1545,0,17
16-08,86,846,4797,1,50
16-09,52,948,1625,0,23
17-01,51,596,1531,0,19
17-02,15,361,422,0,4
17-03,101,1488,3518,0,33
17-04,104,1576,2950,1,37
17-05,59,840,2247,1,29
17-06,25,798,783,0,9
17-07,41,457,2406,0,16
17-08,138,2061,4061,2,31
17-09,29,258,2442,0,24
17-10,21,302,626,1,15
17-11,59,768,2518,2,37
18-01,132,890,2838,2,56
18-02,72,2108,1813,1,25
18-03,41,839,1123,0,16
18-04,63,1615,1595,2,21
18-05,65,1920,2258,2,25
18-06,113,955,2235,3,37
18-07,69,1582,1154,1,18
18-08,71,1257,1853,1,43
19-03,71,1265,1120,1,16
19-04,117,2780,3140,1,48
19-05,44,1523,1025,0,25
19-07,53,1107,1178,0,30
19-09,73,1957,1511,1,31
19-10,126,3501,3033,2,63
19-11,77,1180,1142,0,22
19-12,95,2211,2226,3,54
19-13,40,691,1050,2,17
