id,Brian Lewis,Duane Hall,OVER VOTES,Ray Martin,UNDER VOTES
01-31,173,1308,4,396,135
01-32,148,1243,2,489,123
01-41,133,1074,0,367,125
01-48,139,1301,1,378,80
01-49,203,1473,3,536,143
04-01,94,1000,0,621,114
04-02,147,1106,0,754,104
04-03,89,944,0,548,83
04-04,84,749,0,489,91
04-05,120,1376,1,847,116
04-08,132,1189,1,578,107
04-11,93,743,1,374,54
04-15,112,1099,0,755,107
04-16,2,34,0,23,4
04-17,98,912,0,528,103
04-18,90,940,1,601,105
04-20,153,1411,0,865,148
04-21,122,879,2,366,96
05-03,1,4,0,0,0
11-01,141,1132,0,606,153
18-01,277,1788,3,776,219
18-04,60,411,1,544,51
18-06,214,1894,0,1000,235
18-08,72,614,2,483,90
