id,Bill Morris,Grier Martin,OVER VOTES,UNDER VOTES
01-01,421,1180,0,104
01-02,479,1087,0,105
01-05,396,511,0,43
01-06,679,1573,0,135
01-07,423,1216,0,107
01-07A,23,187,0,27
01-09,247,751,0,49
01-10,401,894,0,52
01-12,561,920,0,118
01-13,157,707,0,61
01-14,487,1897,0,145
01-16,701,1401,1,142
01-18,778,1395,0,141
01-27,92,455,0,38
01-28,182,361,0,42
01-33,436,767,0,70
01-37,641,890,0,76
01-38,461,968,0,96
01-39,644,1423,0,125
01-43,497,1204,2,99
01-44,785,1411,1,159
01-45,614,842,0,72
01-46,27,175,0,11
01-51,397,520,0,67
04-05,224,285,0,33
07-01,499,878,0,71
07-04,1054,2189,2,196
07-10,708,1344,0,144
08-02,338,618,0,42
08-06,470,1244,0,95
08-10,528,941,0,102
11-01,699,1101,0,117
