id,Linda Hunt-Williams,OVER VOTES,Randy Barrow,Robert Rose,UNDER VOTES
03-00,104,1,77,6,5
06-04,1208,0,1394,138,165
06-05,1628,3,984,112,98
06-06,2075,1,1895,207,232
06-08,773,1,933,87,85
06-09,2196,0,1631,193,243
06-10,1260,2,906,115,91
12-01,2455,5,1666,162,207
12-02,1573,4,1653,168,161
12-04,2034,1,1046,147,132
12-06,1500,1,1183,131,130
12-08,1407,0,1768,129,170
12-09,1713,0,1294,132,148
15-01,1596,0,955,151,139
15-03,2184,1,1163,168,180
20-03,1409,0,1332,149,183
20-06A,976,1,1414,134,179
20-08,1357,0,1275,145,184
