id,OVER VOTES,Olen Watson III,UNDER VOTES,Yvonne Lewis Holley
01-13,0,71,48,309
01-14,0,42,21,176
01-19,2,74,75,1255
01-28,2,307,192,2215
01-34,1,67,52,1094
01-38,1,52,40,213
01-40,2,195,165,2840
01-44,1,83,51,463
01-46,1,223,182,1698
13-01,5,270,172,1851
13-05,2,366,205,1106
13-07,0,341,248,1320
13-08,1,298,210,1575
13-09,1,522,380,2430
17-01,4,414,285,1494
17-03,2,220,166,1160
17-04,0,29,8,189
17-05,2,489,432,2129
17-07,5,261,137,1916
17-08,1,221,151,931
17-10,0,179,164,622
17-11,6,472,300,2004
