id,Brian Lewis,Duane Hall,Ray Martin,over,under
01-31,173,1308,396,4,135
01-32,148,1243,489,2,123
01-41,133,1074,367,0,125
01-48,139,1301,378,1,80
01-49,203,1473,536,3,143
04-01,94,1000,621,0,114
04-02,147,1106,754,0,104
04-03,89,944,548,0,83
04-04,84,749,489,0,91
04-05,120,1376,847,1,116
04-08,132,1189,578,1,107
04-11,93,743,374,1,54
04-15,112,1099,755,0,107
04-16,2,34,23,0,4
04-17,98,912,528,0,103
04-18,90,940,601,1,105
04-20,153,1411,865,0,148
04-21,122,879,366,2,96
05-03,1,4,0,0,0
11-01,141,1132,606,0,153
18-01,277,1788,776,3,219
18-04,60,411,544,1,51
18-06,214,1894,1000,0,235
18-08,72,614,483,2,90
