id,Brian Irving,Jennifer Ferrell,Nelson Dollar,over,under
04-06,94,1290,1009,1,129
04-07,67,1001,1348,0,80
04-10,129,1199,917,0,108
04-12,109,1219,994,1,88
04-14,92,756,586,0,46
04-16,83,979,641,1,79
04-19,69,647,458,2,61
06-07,117,1329,1220,0,117
12-05,249,2346,3255,2,238
12-07,128,781,1146,0,87
15-02,123,1155,1242,2,96
18-02,142,1490,2225,1,161
18-03,65,993,894,0,67
18-04,57,784,1000,0,58
18-05,104,1904,2129,0,133
18-07,127,1016,1578,1,102
18-08,58,960,858,2,86
20-01,158,1462,1137,0,138
20-05,103,1456,1595,2,137
20-09,110,1108,1063,0,112
