id,Linda Hunt-Williams,Randy Barrow,Robert Rose,over,under
03-00,104,77,6,1,5
06-04,1208,1394,138,0,165
06-05,1628,984,112,3,98
06-06,2075,1895,207,1,232
06-08,773,933,87,1,85
06-09,2196,1631,193,0,243
06-10,1260,906,115,2,91
12-01,2455,1666,162,5,207
12-02,1573,1653,168,4,161
12-04,2034,1046,147,1,132
12-06,1500,1183,131,1,130
12-08,1407,1768,129,0,170
12-09,1713,1294,132,0,148
15-01,1596,955,151,0,139
15-03,2184,1163,168,1,180
20-03,1409,1332,149,0,183
20-06A,976,1414,134,1,179
20-08,1357,1275,145,0,184
