id,Olen Watson III,Yvonne Lewis Holley,over,under
01-13,71,309,0,48
01-14,42,176,0,21
01-19,74,1255,2,75
01-28,307,2215,2,192
01-34,67,1094,1,52
01-38,52,213,1,40
01-40,195,2840,2,165
01-44,83,463,1,51
01-46,223,1698,1,182
13-01,270,1851,5,172
13-05,366,1106,2,205
13-07,341,1320,0,248
13-08,298,1575,1,210
13-09,522,2430,1,380
17-01,414,1494,4,285
17-03,220,1160,2,166
17-04,29,189,0,8
17-05,489,2129,2,432
17-07,261,1916,5,137
17-08,221,931,1,151
17-10,179,622,0,164
17-11,472,2004,6,300
