id,Cynthia Ball,David Ulmer,Gary Pendleton,over,under
01-03,926,37,816,1,55
01-04,559,32,456,0,46
01-11,654,32,1139,1,42
01-15,800,58,680,0,49
01-17,413,38,451,0,37
01-29,987,64,991,2,61
01-30,560,34,505,0,39
01-36,862,75,1040,1,85
01-42,978,77,1305,0,87
01-47,820,92,966,0,47
02-01,1141,100,1366,3,86
02-05,363,32,482,0,34
02-06,780,60,1373,2,81
07-02,713,56,568,0,61
07-03,673,42,634,0,42
07-05,805,71,623,0,51
07-06,1373,97,1417,1,106
07-07,1553,126,1306,1,102
07-07A,252,5,200,0,47
07-09,1460,113,1001,2,95
07-11,524,40,471,0,41
07-12,1270,79,779,1,111
07-13,1049,94,715,1,71
08-05,862,58,887,0,59
08-07,910,107,1201,0,87
08-09,930,85,642,0,83
11-02,1869,268,1363,1,106
13-02,784,94,792,1,87
13-06,938,88,712,1,63
13-11,1167,145,1274,2,103
