id,Dan Forest,Jacki Cole,Linda Coleman,OVER VOTES,UNDER VOTES
01-01,427,54,1167,0,57
01-02,539,55,1035,0,42
01-03,849,46,899,1,40
01-04,480,35,552,0,26
01-05,447,21,467,0,15
01-06,697,93,1534,0,63
01-07,466,56,1170,1,53
01-07A,24,3,195,0,15
01-09,275,28,718,0,26
01-10,503,22,793,0,29
01-11,1136,28,673,0,31
01-12,628,41,880,0,50
01-13,284,37,993,1,38
01-14,581,112,2221,0,79
01-15,711,45,795,2,34
01-16,761,63,1357,1,63
01-17,478,29,406,0,26
01-18,863,64,1317,0,70
01-19,47,25,1309,0,25
01-20,236,74,1739,0,52
01-21,931,116,2022,1,96
01-22,115,56,2850,2,41
01-23,1731,275,3210,1,293
01-25,41,14,409,0,9
01-26,92,56,1769,2,61
01-27,244,61,1213,0,48
01-28,486,92,2662,1,60
01-29,1017,36,1009,0,43
01-30,533,26,552,0,27
01-31,518,172,1902,1,110
01-32,546,99,1281,1,78
01-33,480,30,734,0,29
01-34,55,20,1109,0,30
01-35,45,25,1576,0,36
01-36,1092,58,847,1,65
01-37,717,43,809,2,36
01-38,547,59,1170,2,53
01-39,685,85,1363,0,59
01-40,180,68,2903,3,48
01-41,418,77,1131,0,73
01-42,1383,45,951,0,68
01-43,545,70,1136,1,50
01-44,952,93,1831,4,74
01-45,664,53,784,0,27
01-46,303,75,1878,1,60
01-47,995,46,854,1,29
01-48,448,98,1305,0,48
01-49,616,121,1549,0,72
01-50,105,45,1951,1,32
01-51,435,32,491,1,25
02-01,1402,70,1163,1,60
02-02,2734,110,1760,0,132
02-03,1542,60,915,0,70
02-04,1225,47,754,0,51
02-05,509,27,355,0,20
02-06,1423,28,806,0,39
03-00,1594,105,1235,0,112
04-01,695,57,1016,1,60
04-02,810,82,1155,0,64
04-03,582,51,981,0,50
04-04,514,66,791,0,42
04-05,1156,102,1678,0,66
04-06,1060,70,1303,0,90
04-07,1412,53,972,1,58
04-08,624,96,1228,1,58
04-09,990,51,1001,1,60
04-10,985,94,1198,0,76
04-11,376,57,802,0,30
04-12,1035,96,1216,2,62
04-13,1623,106,1968,1,161
04-14,616,67,761,0,36
04-15,795,89,1131,0,58
04-16,687,67,1036,0,56
04-17,548,73,961,0,59
04-18,852,75,1225,1,76
04-19,621,68,813,0,53
04-20,907,126,1463,1,80
04-21,404,84,924,0,53
05-01,1372,111,1774,2,109
05-03,1327,79,1368,0,105
05-05,2164,204,3302,2,201
05-06,1795,99,2138,1,135
05-07,1601,190,3415,0,182
05-08,705,104,1511,0,79
06-04,1270,128,1404,0,103
06-05,1629,82,1038,2,74
06-06,2121,158,1984,0,147
06-07,1263,94,1339,1,86
06-08,798,73,957,0,51
06-09,2306,153,1652,1,151
06-10,1329,64,929,0,52
07-01,512,51,849,0,36
07-02,598,34,734,1,31
07-03,650,31,683,1,26
07-04,1138,142,2066,0,95
07-05,665,53,804,0,28
07-06,1474,66,1384,0,70
07-07,1346,104,1569,0,69
