id,Elaine Marshall,Michael LaPaglia,over,under
01-01,1222,396,0,87
01-02,1155,443,0,73
01-03,1081,682,1,71
01-04,656,383,0,54
01-05,558,367,0,25
01-06,1688,594,0,105
01-07,1253,406,0,87
01-07A,195,21,0,21
01-09,788,223,0,36
01-10,916,381,0,50
01-11,969,842,0,57
01-12,1000,514,1,84
01-13,1070,210,0,73
01-14,2351,507,1,134
01-15,909,626,0,52
01-16,1497,640,0,108
01-17,483,412,0,44
01-18,1463,740,0,111
01-19,1323,40,0,43
01-20,1769,230,0,102
01-21,2192,805,0,169
01-22,2885,115,0,64
01-23,3474,1592,1,443
01-25,417,40,1,15
01-26,1821,74,0,85
01-27,1268,224,0,74
01-28,2769,415,0,117
01-29,1202,827,0,76
01-30,649,445,0,44
01-31,2043,497,1,162
01-32,1419,473,0,113
01-33,825,398,0,50
01-34,1127,48,1,38
01-35,1571,46,0,65
01-36,1068,895,0,100
01-37,967,588,0,52
01-38,1304,440,1,86
01-39,1496,606,0,90
01-40,2966,158,0,78
01-41,1214,355,0,130
01-42,1170,1169,3,105
01-43,1276,444,0,82
01-44,1990,838,4,122
01-45,911,560,1,56
01-46,1954,267,0,96
01-47,1025,839,0,61
01-48,1430,392,0,77
01-49,1689,568,0,101
01-50,1984,97,0,53
01-51,571,366,0,47
02-01,1349,1242,0,105
02-02,2060,2452,0,224
02-03,1089,1390,0,108
02-04,857,1133,0,87
02-05,422,454,0,35
02-06,957,1260,0,79
03-00,1394,1488,1,163
04-01,1147,581,1,100
04-02,1299,725,1,86
04-03,1062,524,0,78
04-04,875,465,0,73
04-05,1894,995,2,111
04-06,1494,893,0,136
04-07,1154,1257,0,85
04-08,1344,574,0,89
04-09,1081,925,1,96
04-10,1308,902,1,142
04-11,859,353,0,53
04-12,1372,935,2,102
04-13,2152,1473,1,233
04-14,865,549,0,66
04-15,1230,722,0,121
04-16,1116,638,0,92
04-17,1036,515,0,90
04-18,1345,763,0,121
04-19,894,570,0,91
04-20,1641,806,0,130
04-21,995,390,1,79
05-01,1964,1237,1,166
05-03,1523,1195,2,159
05-05,3552,1994,1,326
05-06,2299,1671,0,198
05-07,3607,1494,1,286
05-08,1629,639,1,130
06-04,1542,1184,0,179
06-05,1175,1523,0,127
06-06,2148,2026,0,236
06-07,1483,1179,0,121
06-08,1035,757,0,87
06-09,1831,2171,1,260
06-10,1071,1198,0,105
07-01,931,457,0,60
07-02,803,533,0,62
07-03,815,531,0,45
07-04,2283,1015,0,143
07-05,917,586,0,47
07-06,1607,1249,0,138
07-07,1809,1150,0,129
07-07A,308,160,0,36
07-09,1684,879,0,108
07-10,2487,1312,0,218
07-11,606,429,1,40
07-12,1446,679,0,115
07-13,1191,654,0,85
08-02,1960,1258,0,134
08-03,2452,1661,2,198
08-04,739,718,0,76
08-05,992,810,0,64
08-06,1305,423,0,81
08-07,1116,1086,0,103
08-08,1881,1635,0,188
08-09,1056,591,0,93
08-10,1341,800,0,92
08-11,1985,1178,0,195
09-01,912,876,0,72
09-02,1773,833,0,120
09-03,1079,1108,0,79
10-01,397,596,0,42
10-02,1675,1180,0,98
10-03,1223,837,0,70
10-04,3208,1935,1,183
11-01,2468,1260,0,221
11-02,2197,1268,2,140
12-01,1815,2481,0,199
12-02,1818,1577,0,164
12-04,1218,2009,1,132
12-05,2646,3163,2,279
12-06,1261,1533,0,151
12-07,965,1090,0,87
12-08,1884,1428,0,162
12-09,1444,1695,0,148
13-01,2729,585,0,119
13-02,915,750,0,93
13-05,1181,417,0,81
13-06,1467,991,1,99
13-07,1334,504,0,71
13-08,1634,367,0,83
13-09,2509,687,1,136
13-10,2507,2098,1,221
13-11,1360,1229,1,101
14-01,248,362,0,26
14-02,1714,2954,2,214
15-01,1520,1790,0,137
15-02,2118,2054,0,174
15-03,1494,2045,0,157
15-04,860,906,0,75
16-01,1055,991,0,69
16-02,3111,593,1,108
16-03,796,385,0,50
16-04,1268,869,0,82
16-05,1204,860,1,94
16-06,810,349,0,42
16-07,1661,1023,1,96
16-08,4926,668,3,183
16-09,1660,888,0,100
17-01,1592,516,0,89
17-02,451,311,0,40
17-03,3503,1403,0,234
17-04,3013,1487,0,168
17-05,2256,777,3,140
17-06,848,709,0,58
17-07,2478,369,1,72
17-08,4117,1920,0,256
17-09,2473,207,0,73
17-10,640,277,1,47
17-11,2536,722,0,126
18-01,2708,962,0,248
18-02,1757,2081,1,180
18-03,1104,832,0,83
18-04,1667,1506,0,123
18-05,2142,1947,0,181
18-06,2169,982,0,192
18-07,1215,1481,0,128
18-08,1762,1282,0,181
19-03,1117,1235,0,121
19-04,3075,2732,0,279
19-05,1038,1452,0,127
19-07,1149,1088,0,131
19-09,1621,1789,0,163
19-10,2974,3451,0,300
19-11,1149,1131,0,141
19-12,2215,2138,1,235
19-13,1024,681,0,95
19-14,1103,1092,0,103
19-15,993,1051,1,97
19-16,1188,1006,0,80
19-17,2600,1275,0,148
20-01,1602,1141,0,152
20-03,1568,1343,0,162
20-04,1689,1121,0,153
20-05,1612,1515,2,164
20-06A,2127,1456,0,243
20-06B,1441,1376,0,191
20-08,1921,1651,0,243
20-09,1267,997,1,128
20-10,1539,1000,0,161
20-11,1500,1501,1,185
20-12,1058,1054,0,130
20-14,2729,1793,1,258
20-15,1790,985,1,149
20-16,1564,793,0,111
20-17,1547,1190,0,189
