id,Eric Weaver,Jay Chaudhuri,OVER VOTES,UNDER VOTES
01-01,426,1177,0,102
01-02,486,1078,1,106
01-06,657,1575,0,155
01-07,426,1216,0,104
01-07A,20,191,0,26
01-09,259,739,0,49
01-13,244,899,0,81
01-14,505,2040,1,164
01-16,736,1368,0,141
01-21,883,1921,0,203
01-23,1642,3357,0,505
01-27,97,511,0,32
01-28,182,357,0,46
01-31,537,1959,0,207
01-32,556,1307,0,142
01-33,456,736,2,79
01-38,420,823,1,91
01-41,398,1160,1,140
01-48,445,1347,0,107
01-49,632,1579,0,147
04-01,670,1022,1,136
04-02,805,1181,0,125
04-03,587,980,0,97
04-04,522,802,0,89
04-05,1109,1739,2,152
04-08,615,1263,0,129
04-11,398,799,0,68
04-13,1612,1958,0,289
04-14,616,775,1,88
04-16,683,1045,0,118
04-17,559,970,0,112
04-18,835,1242,1,151
04-19,632,820,0,103
04-20,914,1511,0,152
04-21,412,952,0,101
05-01,1367,1791,1,209
05-03,1310,1371,1,197
05-05,2120,3369,0,384
05-07,1607,3468,1,312
05-08,697,1547,0,155
07-01,512,865,0,71
07-02,563,746,0,89
07-10,1419,2326,0,272
07-12,784,1284,0,172
08-06,495,1211,1,102
11-01,1381,2277,2,289
11-02,1433,1971,0,203
18-01,1031,2411,0,301
18-06,835,1806,0,216
