id,OVER VOTES,Susan J. Hogarth,Susan P. Evans,Tamara Barringer,UNDER VOTES
03-00,2,129,1262,1503,150
04-06,2,93,1275,1015,138
04-07,0,45,941,1438,72
04-09,1,59,965,976,102
04-10,1,114,1201,922,115
04-12,0,128,1204,987,92
04-15,0,102,1122,757,92
05-06,1,113,2104,1768,182
06-04,0,145,1411,1182,167
06-05,2,119,1013,1583,108
06-06,5,190,1944,2046,225
06-07,1,115,1325,1231,111
06-08,1,95,938,756,89
06-09,0,191,1669,2166,237
06-10,1,109,914,1255,95
12-01,3,101,933,1715,140
12-02,1,169,1564,1649,176
12-05,2,215,2114,3017,240
12-06,1,60,576,884,67
12-08,0,157,1665,1487,165
12-09,1,139,1208,1791,148
18-02,1,164,1508,2177,169
18-03,0,67,981,900,71
18-04,0,96,1022,1321,93
18-05,1,118,1912,2069,170
18-06,0,22,226,211,27
18-07,1,99,870,1309,107
18-08,0,120,1612,1323,170
20-01,2,175,1450,1142,126
20-03,1,136,1388,1405,143
20-04,1,110,1546,1166,140
20-05,2,103,1436,1609,143
20-06A,3,170,1942,1506,205
20-06B,3,134,1285,1433,153
20-08,0,162,1697,1753,203
20-09,1,92,1115,1081,104
20-10,0,100,1391,1076,133
20-11,0,145,1329,1544,169
20-12,0,82,944,1088,128
20-14,2,165,2494,1885,235
20-15,0,138,1687,963,137
20-16,0,94,1461,790,123
20-17,0,111,1419,1226,170
