id,June Atkinson,Mark Johnson,OVER VOTES,UNDER VOTES
01-01,1191,413,0,101
01-02,1111,481,0,79
01-03,1010,736,0,89
01-04,623,409,0,61
01-05,538,380,0,32
01-06,1616,636,0,135
01-07,1231,427,0,88
01-07A,197,19,0,21
01-09,762,240,0,45
01-10,873,416,0,58
01-11,851,950,0,67
01-12,940,560,1,98
01-13,1041,239,0,73
01-14,2286,551,0,156
01-15,860,660,0,67
01-16,1472,660,0,113
01-17,459,435,0,45
01-18,1398,784,0,132
01-19,1312,44,0,50
01-20,1749,246,0,106
01-21,2152,838,0,176
01-22,2855,132,0,77
01-23,3358,1697,2,453
01-25,408,46,1,18
01-26,1778,105,0,97
01-27,1220,254,0,92
01-28,2702,472,0,127
01-29,1146,870,0,89
01-30,616,473,1,48
01-31,1987,538,1,177
01-32,1362,518,0,125
01-33,802,413,2,56
01-34,1114,55,0,45
01-35,1561,55,0,66
01-36,967,982,0,114
01-37,911,628,3,65
01-38,1273,463,2,93
01-39,1448,642,0,102
01-40,2929,182,1,90
01-41,1168,394,0,137
01-42,1108,1231,0,108
01-43,1223,488,0,91
01-44,1927,897,2,128
01-45,868,599,1,60
01-46,1911,295,1,110
01-47,959,896,0,70
01-48,1387,421,0,91
01-49,1634,606,0,118
01-50,1944,121,1,68
01-51,555,378,0,51
02-01,1282,1294,0,120
02-02,1973,2513,1,249
02-03,1060,1401,0,126
02-04,824,1153,1,99
02-05,395,475,1,40
02-06,903,1308,0,85
03-00,1353,1512,0,181
04-01,1118,607,0,104
04-02,1274,744,0,93
04-03,1050,536,0,78
04-04,841,497,0,75
04-05,1799,1074,1,128
04-06,1418,952,1,152
04-07,1116,1274,0,106
04-08,1318,588,0,101
04-09,1069,929,2,103
04-10,1304,907,0,142
04-11,823,380,1,61
04-12,1325,971,0,115
04-13,2093,1521,0,245
04-14,825,586,0,69
04-15,1205,756,0,112
04-16,1104,639,0,103
04-17,1010,538,0,93
04-18,1297,797,0,135
04-19,874,598,0,83
04-20,1590,852,0,135
04-21,972,398,0,95
05-01,1917,1268,1,182
05-03,1454,1238,1,186
05-05,3454,2064,0,355
05-06,2210,1745,0,213
05-07,3482,1600,1,305
05-08,1542,727,0,130
06-04,1501,1222,0,182
06-05,1126,1552,1,146
06-06,2093,2066,0,251
06-07,1425,1228,0,130
06-08,996,795,0,88
06-09,1805,2188,2,268
06-10,992,1276,0,106
07-01,909,473,0,66
07-02,787,542,0,69
07-03,766,572,0,53
07-04,2219,1063,0,159
07-05,896,585,0,69
07-06,1528,1325,1,140
07-07,1743,1204,0,141
07-07A,297,168,0,39
07-09,1613,935,0,123
07-10,2424,1360,0,233
07-11,586,443,0,47
07-12,1389,729,0,122
07-13,1156,690,0,84
08-02,1898,1302,0,152
08-03,2380,1712,0,221
08-04,720,732,0,81
08-05,959,832,0,75
08-06,1254,462,1,92
08-07,1051,1147,1,106
08-08,1845,1680,0,179
08-09,1013,621,1,105
08-10,1279,856,0,98
08-11,1912,1224,0,222
09-01,880,897,1,82
09-02,1723,881,1,121
09-03,1026,1150,0,90
10-01,368,633,0,34
10-02,1616,1222,0,115
10-03,1180,880,0,70
10-04,3129,2022,2,174
11-01,2381,1336,1,231
11-02,2115,1326,2,164
12-01,1730,2550,2,213
12-02,1738,1639,0,182
12-04,1146,2072,2,140
12-05,2575,3212,1,302
12-06,1225,1565,0,155
12-07,894,1152,0,96
12-08,1843,1467,0,164
12-09,1388,1733,0,166
13-01,2665,636,0,132
13-02,870,790,1,97
13-05,1145,443,0,91
13-06,1413,1034,1,110
13-07,1294,532,0,83
13-08,1612,381,0,91
13-09,2459,722,0,152
13-10,2425,2160,1,241
13-11,1304,1277,0,110
14-01,237,372,0,27
14-02,1632,3017,1,234
15-01,1403,1895,0,149
15-02,2007,2144,1,194
15-03,1383,2153,0,160
15-04,820,947,0,74
16-01,1022,1015,1,77
16-02,3071,619,1,122
16-03,777,406,0,48
16-04,1228,909,0,82
16-05,1180,889,0,90
16-06,798,362,0,41
16-07,1598,1079,1,103
16-08,4855,725,5,195
16-09,1624,903,1,120
17-01,1523,573,0,101
17-02,428,335,0,39
17-03,3412,1472,0,256
17-04,2949,1562,1,156
17-05,2226,804,0,146
17-06,800,755,0,60
17-07,2424,425,1,70
17-08,4033,2005,1,254
17-09,2429,232,1,91
17-10,614,302,0,49
17-11,2479,757,0,148
18-01,2619,1029,0,270
18-02,1721,2105,0,193
18-03,1064,858,2,95
18-04,1591,1564,2,139
18-05,2119,1968,1,182
18-06,2097,1036,1,209
18-07,1162,1522,1,139
18-08,1710,1326,1,188
19-03,1065,1282,2,124
19-04,2985,2796,4,301
19-05,984,1501,1,131
19-07,1139,1090,1,138
19-09,1535,1860,0,178
19-10,2821,3569,0,335
19-11,1097,1171,1,152
19-12,2127,2201,0,261
19-13,1006,689,0,105
19-14,1059,1125,0,114
19-15,964,1071,1,106
19-16,1158,1025,0,91
19-17,2558,1317,0,148
20-01,1559,1186,0,150
20-03,1541,1356,0,176
20-04,1613,1179,0,171
20-05,1571,1551,1,170
20-06A,2051,1531,2,242
20-06B,1364,1439,0,205
20-08,1889,1694,2,230
20-09,1207,1051,1,134
20-10,1486,1052,0,162
20-11,1438,1557,1,191
20-12,1027,1065,0,150
20-14,2639,1856,0,286
20-15,1748,1008,1,168
20-16,1522,809,1,136
20-17,1522,1215,0,189
