id,Michael Denning,OVER VOTES,Rebecca (Becky) Holt,UNDER VOTES
02-01,1040,5,1261,390
02-02,1817,6,2115,798
02-03,1049,3,1146,389
02-04,817,1,912,347
02-05,345,2,411,153
02-06,991,1,949,355
07-02,435,0,719,244
07-06,1026,7,1473,488
07-07,931,6,1640,511
07-07A,121,0,249,134
07-11,336,1,579,160
07-12,599,0,1213,428
08-02,1073,7,1722,550
08-03,1384,6,2254,669
08-04,535,0,747,251
08-05,657,3,945,261
08-06,470,2,1052,285
08-07,806,3,1103,393
08-08,1277,2,1794,631
08-09,513,4,897,326
08-10,728,5,1110,390
08-11,986,10,1669,693
13-10,1617,9,2426,775
13-11,1088,2,1235,366
14-01,212,0,312,112
14-02,2022,9,2054,799
19-03,938,5,1139,391
19-04,2087,10,2922,1067
19-05,1087,6,1127,397
19-07,811,3,1071,483
19-09,1183,5,1745,640
19-10,2461,9,3179,1076
19-11,794,7,1180,440
19-12,1475,9,2302,803
19-13,570,2,883,345
19-14,843,3,1099,353
19-15,795,5,997,345
