id,Michael R. (Mike) Morgan,Robert H. (Bob) Edmunds,over,under
01-01,1017,427,1,260
01-02,933,511,3,224
01-03,830,762,0,243
01-04,463,441,1,188
01-05,426,404,0,120
01-06,1300,692,0,395
01-07,1006,468,1,271
01-07A,148,50,0,39
01-09,606,292,0,149
01-10,682,484,3,178
01-11,640,1008,2,218
01-12,771,555,0,273
01-13,822,331,2,198
01-14,1908,661,3,421
01-15,702,659,1,225
01-16,1130,795,1,319
01-17,378,405,1,155
01-18,1101,847,2,364
01-19,1012,237,4,153
01-20,1314,472,4,311
01-21,1637,1010,3,516
01-22,2179,604,1,280
01-23,2714,1759,4,1033
01-25,306,89,0,78
01-26,1225,446,2,307
01-27,973,349,1,243
01-28,2032,800,1,468
01-29,902,938,0,265
01-30,501,470,0,167
01-31,1466,751,2,484
01-32,1016,660,3,326
01-33,644,466,3,160
01-34,851,209,1,153
01-35,1162,306,0,214
01-36,748,938,1,376
01-37,740,638,0,229
01-38,989,582,0,260
01-39,1159,712,2,319
01-40,2211,614,1,376
01-41,920,491,2,286
01-42,910,1217,0,320
01-43,936,596,2,268
01-44,1434,1053,3,464
01-45,671,642,0,215
01-46,1272,618,2,425
01-47,746,938,1,240
01-48,1073,558,1,267
01-49,1229,755,1,373
01-50,1551,382,2,199
01-51,444,404,0,136
02-01,1027,1301,1,367
02-02,1735,2250,4,747
02-03,951,1285,2,349
02-04,727,1041,3,306
02-05,342,438,0,131
02-06,796,1185,0,315
03-00,1179,1331,1,535
04-01,888,626,0,315
04-02,1002,831,0,278
04-03,762,647,4,251
04-04,658,529,2,224
04-05,1405,1157,5,435
04-06,1072,1004,0,447
04-07,939,1204,2,351
04-08,992,706,0,309
04-09,841,888,0,374
04-10,1044,884,1,424
04-11,623,443,1,198
04-12,1037,1002,4,368
04-13,1638,1502,1,718
04-14,698,567,3,212
04-15,972,759,3,339
04-16,904,677,3,262
04-17,787,578,1,275
04-18,1032,819,1,377
04-19,702,614,0,239
04-20,1264,938,1,374
04-21,736,468,4,257
05-01,1509,1289,0,570
05-03,1175,1191,1,512
05-05,2813,2101,4,955
05-06,1750,1676,0,742
05-07,2673,1815,6,894
05-08,1182,806,1,410
06-04,1238,1096,0,571
06-05,946,1439,0,440
06-06,1809,1685,2,914
06-07,1189,1138,3,453
06-08,813,716,0,350
06-09,1666,1754,3,840
06-10,887,1082,1,404
07-01,700,552,0,196
07-02,619,565,1,213
07-03,626,566,0,199
07-04,1731,1214,4,492
07-05,702,632,2,214
07-06,1216,1348,1,429
07-07,1377,1267,1,443
07-07A,237,183,0,84
07-09,1234,1016,1,420
07-10,1936,1489,2,590
07-11,520,437,1,118
07-12,1091,816,4,329
07-13,890,771,1,268
08-02,1496,1361,4,491
08-03,1948,1721,3,641
08-04,607,669,1,256
08-05,773,818,2,273
08-06,968,587,2,252
08-07,880,1044,1,380
08-08,1568,1539,3,594
08-09,811,637,1,291
08-10,1014,852,1,366
08-11,1507,1251,0,600
09-01,790,776,0,294
09-02,1269,1047,3,407
09-03,908,1073,0,285
10-01,364,542,1,128
10-02,1280,1295,4,374
10-03,1046,808,1,275
10-04,2556,2107,3,661
11-01,1852,1440,2,655
11-02,1701,1407,2,497
12-01,1632,2208,3,652
12-02,1535,1473,1,550
12-04,1193,1695,4,468
12-05,2348,2694,8,1040
12-06,1109,1393,4,439
12-07,846,1018,2,276
12-08,1504,1398,1,571
12-09,1207,1544,4,532
13-01,1935,967,2,529
13-02,732,742,0,284
13-05,859,512,2,306
13-06,1137,1053,4,364
13-07,982,631,2,294
13-08,1184,600,0,300
13-09,1831,1038,2,462
13-10,2047,1958,1,821
13-11,1098,1221,3,369
14-01,245,297,1,93
14-02,1584,2481,4,815
15-01,1372,1568,2,505
15-02,1805,1971,3,567
15-03,1397,1827,1,471
15-04,755,812,2,272
16-01,936,899,4,276
16-02,2316,996,1,500
16-03,633,427,1,170
16-04,1007,889,3,320
16-05,946,921,2,290
16-06,590,428,1,182
16-07,1325,1096,3,357
16-08,3671,1461,8,640
16-09,1289,967,0,392
17-01,1172,693,2,330
17-02,381,305,0,116
17-03,2799,1561,1,779
17-04,2297,1778,7,586
17-05,1715,1004,4,453
17-06,674,716,1,224
17-07,1912,681,2,325
17-08,3227,2207,3,856
17-09,1892,567,1,293
17-10,487,332,0,146
17-11,1870,1010,5,499
18-01,2053,1160,4,701
18-02,1469,1890,2,658
18-03,871,833,4,311
18-04,1317,1547,3,429
18-05,1724,1884,3,659
18-06,1618,1150,2,573
18-07,1012,1382,3,427
18-08,1436,1192,1,596
19-03,958,1125,4,386
19-04,2532,2559,5,990
19-05,874,1344,5,394
19-07,1014,905,3,446
19-09,1466,1547,5,555
19-10,2509,3091,6,1119
19-11,976,1015,0,430
19-12,1862,1936,2,789
19-13,798,697,1,304
19-14,933,991,4,370
19-15,810,972,1,359
19-16,1007,975,5,287
19-17,2004,1462,9,548
20-01,1313,1046,0,536
20-03,1241,1278,0,554
20-04,1315,1097,3,548
20-05,1235,1467,2,589
20-06A,1597,1488,2,739
20-06B,1172,1266,1,569
20-08,1502,1582,3,728
20-09,1000,985,1,407
20-10,1176,1040,2,482
20-11,1208,1376,1,602
20-12,896,944,2,400
20-14,2118,1773,4,886
20-15,1352,1037,2,534
20-16,1136,873,1,458
20-17,1180,1137,1,608
