id,Dan Blue,over,under
01-13,111,0,18
01-14,237,0,46
01-18,738,0,196
01-19,1317,0,89
01-20,1832,0,269
01-21,135,0,24
01-22,2901,0,163
01-23,6,2,0
01-25,425,0,48
01-26,1793,0,187
01-27,778,0,148
01-28,2411,0,305
01-34,1122,0,92
01-35,1575,0,107
01-38,384,0,112
01-40,2975,0,227
01-43,736,0,188
01-44,2128,0,826
01-46,1963,0,354
01-50,1977,0,157
09-01,487,0,94
10-02,1003,0,351
10-03,83,0,53
10-04,2746,0,821
13-01,2865,0,568
13-05,1034,0,254
13-07,1479,0,430
13-08,1724,0,360
13-09,2694,0,639
16-01,26,0,3
16-02,3257,0,556
16-03,391,0,111
16-04,376,0,109
16-06,453,0,86
16-08,4815,0,509
16-09,439,0,109
17-01,1721,0,476
17-02,311,0,146
17-03,3499,0,1055
17-04,2169,0,653
17-05,2430,0,746
17-07,2576,0,344
17-08,4531,0,1631
17-09,2504,0,249
17-10,698,0,267
17-11,2713,0,671
18-01,148,0,27
18-04,208,0,95
19-04,91,0,103
19-17,855,0,214
