id,Brad Hessel,John Alexander,Laurel Deegan-Fricke,over,under
01-03,47,904,814,0,70
01-04,32,518,496,0,47
01-05,22,493,401,0,34
01-10,36,541,717,0,53
01-11,29,1208,572,1,58
01-12,75,614,818,2,90
01-15,66,701,756,0,64
01-17,34,468,398,0,39
01-18,55,651,606,2,66
01-29,62,1094,874,0,75
01-30,36,534,527,0,41
01-36,83,1120,758,1,101
01-37,69,705,759,1,73
01-39,138,657,1287,2,108
01-42,74,1327,934,0,112
01-43,47,324,465,0,42
01-45,82,638,749,1,58
01-47,84,991,778,1,71
01-51,54,410,461,0,59
02-01,90,1366,1134,0,106
02-02,159,2636,1713,1,227
02-03,90,1493,883,0,121
02-04,77,1198,712,0,90
02-05,33,501,337,1,39
02-06,42,1394,765,0,95
07-03,41,642,652,0,56
07-04,197,1086,1986,3,169
07-05,68,628,787,0,67
07-06,97,1466,1274,1,156
07-07,126,1300,1509,2,151
07-07A,4,244,212,0,44
07-09,148,984,1418,0,121
07-11,36,485,501,2,52
07-13,102,749,992,1,86
08-02,130,1391,1684,1,146
08-03,237,1716,2144,0,216
08-04,72,777,620,0,64
08-05,65,899,826,0,76
08-07,105,1191,899,0,110
08-08,165,1716,1647,0,176
08-09,97,640,904,0,99
08-10,98,861,1158,0,116
08-11,146,1261,1752,1,198
13-02,93,819,742,0,104
13-05,17,154,198,0,22
13-06,118,1054,1281,1,104
13-10,202,2315,2076,1,233
13-11,105,1324,1151,1,110
14-01,23,391,194,0,28
14-02,174,3106,1374,4,226
19-03,127,1313,901,0,132
19-05,104,1561,822,0,130
19-11,141,1182,937,1,160
19-12,199,2247,1884,0,259
19-13,63,738,879,2,118
19-14,93,1151,945,1,108
19-15,72,1122,842,0,106
