id,Susan J. Hogarth,Susan P. Evans,Tamara Barringer,over,under
03-00,129,1262,1503,2,150
04-06,93,1275,1015,2,138
04-07,45,941,1438,0,72
04-09,59,965,976,1,102
04-10,114,1201,922,1,115
04-12,128,1204,987,0,92
04-15,102,1122,757,0,92
05-06,113,2104,1768,1,182
06-04,145,1411,1182,0,167
06-05,119,1013,1583,2,108
06-06,190,1944,2046,5,225
06-07,115,1325,1231,1,111
06-08,95,938,756,1,89
06-09,191,1669,2166,0,237
06-10,109,914,1255,1,95
12-01,101,933,1715,3,140
12-02,169,1564,1649,1,176
12-05,215,2114,3017,2,240
12-06,60,576,884,1,67
12-08,157,1665,1487,0,165
12-09,139,1208,1791,1,148
18-02,164,1508,2177,1,169
18-03,67,981,900,0,71
18-04,96,1022,1321,0,93
18-05,118,1912,2069,1,170
18-06,22,226,211,0,27
18-07,99,870,1309,1,107
18-08,120,1612,1323,0,170
20-01,175,1450,1142,2,126
20-03,136,1388,1405,1,143
20-04,110,1546,1166,1,140
20-05,103,1436,1609,2,143
20-06A,170,1942,1506,3,205
20-06B,134,1285,1433,3,153
20-08,162,1697,1753,0,203
20-09,92,1115,1081,1,104
20-10,100,1391,1076,0,133
20-11,145,1329,1544,0,169
20-12,82,944,1088,0,128
20-14,165,2494,1885,2,235
20-15,138,1687,963,0,137
20-16,94,1461,790,0,123
20-17,111,1419,1226,0,170
