id,Chad Barefoot,Gil Johnson,over,under
09-01,896,329,0,54
09-02,991,1587,0,148
09-03,1303,882,1,80
10-01,694,310,1,30
10-02,888,657,1,53
10-03,900,1010,0,84
10-04,1069,626,0,65
12-01,950,579,1,73
12-04,2234,995,0,131
12-05,220,260,0,22
12-06,743,533,0,81
12-07,1216,828,0,98
15-01,2059,1249,3,136
15-02,2310,1854,0,182
15-03,2324,1224,0,148
15-04,1064,706,0,71
16-01,1126,887,0,73
16-03,306,390,0,33
16-04,868,797,0,69
16-05,1006,1048,1,104
16-06,286,356,0,20
16-07,1253,1422,0,106
16-08,265,176,0,15
16-09,902,1111,0,87
17-02,157,175,0,13
17-03,286,279,0,21
17-04,812,960,0,74
17-06,843,719,0,53
17-08,65,62,0,4
18-04,231,210,0,20
18-07,269,156,0,13
19-04,2878,2706,1,307
19-07,1145,1093,0,130
19-09,2077,1362,0,134
19-10,3815,2610,0,300
19-16,1127,1061,1,85
19-17,1132,1695,1,126
