id,Michael Denning,Rebecca (Becky) Holt,over,under
02-01,1040,1261,5,390
02-02,1817,2115,6,798
02-03,1049,1146,3,389
02-04,817,912,1,347
02-05,345,411,2,153
02-06,991,949,1,355
07-02,435,719,0,244
07-06,1026,1473,7,488
07-07,931,1640,6,511
07-07A,121,249,0,134
07-11,336,579,1,160
07-12,599,1213,0,428
08-02,1073,1722,7,550
08-03,1384,2254,6,669
08-04,535,747,0,251
08-05,657,945,3,261
08-06,470,1052,2,285
08-07,806,1103,3,393
08-08,1277,1794,2,631
08-09,513,897,4,326
08-10,728,1110,5,390
08-11,986,1669,10,693
13-10,1617,2426,9,775
13-11,1088,1235,2,366
14-01,212,312,0,112
14-02,2022,2054,9,799
19-03,938,1139,5,391
19-04,2087,2922,10,1067
19-05,1087,1127,6,397
19-07,811,1071,3,483
19-09,1183,1745,5,640
19-10,2461,3179,9,1076
19-11,794,1180,7,440
19-12,1475,2302,9,803
19-13,570,883,2,345
19-14,843,1099,3,353
19-15,795,997,5,345
