id,A. Graham Shirley,under
03-00,1898,1148
06-04,1790,1115
06-05,1807,1018
06-06,2711,1699
06-07,1722,1061
06-08,1119,760
06-09,2748,1515
06-10,1514,860
12-01,2972,1523
12-02,2207,1352
12-04,2238,1122
12-05,3903,2187
12-06,1930,1015
12-07,1425,717
12-08,2083,1391
12-09,2171,1116
15-02,2740,1606
18-02,2573,1446
18-03,1252,767
18-05,2691,1579
18-07,1791,1033
20-01,1801,1094
20-03,1896,1177
20-05,2081,1212
20-06A,2270,1556
20-06B,1904,1104
20-08,2372,1443
20-09,1482,911
20-11,1994,1193
20-12,1381,861
