id,Dale R. Folwell,Dan Blue III,over,under
01-01,463,1138,1,103
01-02,547,1047,0,77
01-03,821,940,0,74
01-04,450,596,0,47
01-05,432,489,0,29
01-06,740,1524,0,123
01-07,479,1169,0,98
01-07A,21,197,0,19
01-09,292,709,0,46
01-10,505,788,0,54
01-11,1029,760,0,79
01-12,638,859,0,102
01-13,285,992,1,75
01-14,614,2226,0,153
01-15,721,803,0,63
01-16,775,1355,0,115
01-17,475,415,0,49
01-18,871,1318,0,125
01-19,50,1313,0,43
01-20,277,1722,0,102
01-21,972,2017,0,177
01-22,132,2875,0,57
01-23,1823,3217,2,468
01-25,45,414,0,14
01-26,124,1773,1,82
01-27,278,1206,0,82
01-28,511,2674,0,116
01-29,977,1046,1,81
01-30,535,545,0,58
01-31,585,1936,1,181
01-32,593,1284,0,128
01-33,478,739,0,56
01-34,55,1117,0,42
01-35,57,1570,0,55
01-36,1059,890,0,114
01-37,723,811,0,73
01-38,540,1202,1,88
01-39,696,1386,0,110
01-40,186,2940,0,76
01-41,467,1104,0,128
01-42,1339,1001,0,107
01-43,538,1170,2,92
01-44,978,1847,2,127
01-45,655,809,1,63
01-46,308,1896,0,113
01-47,993,858,1,73
01-48,477,1326,0,96
01-49,651,1590,0,117
01-50,114,1959,2,59
01-51,433,500,0,51
02-01,1425,1145,1,125
02-02,2731,1756,0,249
02-03,1540,928,0,119
02-04,1238,746,0,93
02-05,516,352,0,43
02-06,1401,805,0,90
03-00,1630,1230,1,185
04-01,666,1052,0,111
04-02,828,1183,0,100
04-03,622,959,0,83
04-04,537,795,0,81
04-05,1199,1660,1,142
04-06,1086,1270,0,167
04-07,1440,947,0,109
04-08,702,1202,0,103
04-09,1030,956,1,116
04-10,1029,1179,0,145
04-11,410,794,1,60
04-12,1089,1195,0,127
04-13,1690,1909,0,260
04-14,635,769,0,76
04-15,824,1118,0,131
04-16,698,1043,1,104
04-17,615,917,0,109
04-18,904,1187,0,138
04-19,658,805,0,92
04-20,960,1477,1,139
04-21,437,930,0,98
05-01,1424,1747,1,196
05-03,1364,1338,0,177
05-05,2231,3282,3,357
05-06,1930,2009,1,228
05-07,1712,3345,0,331
05-08,775,1478,0,146
06-04,1289,1418,0,198
06-05,1669,997,0,159
06-06,2232,1914,0,264
06-07,1329,1304,0,150
06-08,805,972,0,102
06-09,2372,1593,0,298
06-10,1355,898,0,121
07-01,533,850,0,65
07-02,601,725,0,72
07-03,639,698,0,54
07-04,1190,2074,0,177
07-05,650,827,0,73
07-06,1483,1360,0,151
07-07,1354,1584,0,150
07-07A,206,265,0,33
07-09,1053,1492,0,126
07-10,1535,2255,0,227
07-11,490,541,0,45
07-12,841,1267,1,131
07-13,776,1064,0,90
08-02,1447,1753,1,151
08-03,1877,2190,0,246
08-04,793,657,0,83
08-05,919,870,0,77
08-06,514,1207,0,88
08-07,1244,950,0,111
08-08,1828,1676,0,200
08-09,692,940,0,108
08-10,934,1185,1,113
08-11,1353,1782,0,223
09-01,964,822,0,74
09-02,950,1651,0,125
09-03,1257,923,0,86
10-01,676,328,0,31
10-02,1330,1510,1,112
10-03,951,1106,1,72
10-04,2137,2989,0,201
11-01,1474,2233,0,242
11-02,1494,1953,0,160
12-01,2742,1523,0,230
12-02,1741,1626,1,191
12-04,2182,1013,0,165
12-05,3460,2288,0,342
12-06,1682,1096,0,167
12-07,1237,804,0,101
12-08,1594,1700,1,179
12-09,1899,1219,0,169
13-01,652,2639,0,142
13-02,853,800,0,105
13-05,458,1132,0,89
13-06,1100,1349,0,109
13-07,573,1252,0,84
13-08,381,1605,0,98
13-09,768,2404,2,159
13-10,2334,2238,0,255
13-11,1378,1191,0,122
14-01,406,206,0,24
14-02,3195,1440,0,249
15-01,2042,1246,0,159
15-02,2300,1852,0,194
15-03,2311,1210,1,174
15-04,1028,733,0,80
16-01,1099,933,0,83
16-02,676,3011,0,126
16-03,446,732,0,53
16-04,1015,1109,0,95
16-05,999,1060,0,100
16-06,402,762,0,37
16-07,1232,1438,0,111
16-08,796,4784,0,200
16-09,999,1529,0,120
17-01,602,1502,0,93
17-02,348,413,0,41
17-03,1559,3326,1,254
17-04,1670,2824,0,174
17-05,877,2161,0,138
17-06,808,741,0,66
17-07,437,2415,0,68
17-08,2198,3834,2,259
17-09,242,2420,0,91
17-10,319,587,1,58
17-11,815,2421,2,146
18-01,1157,2485,1,275
18-02,2325,1478,0,216
18-03,950,973,0,96
18-04,1747,1398,0,151
18-05,2186,1872,0,212
18-06,1144,1970,0,229
18-07,1663,1020,0,141
18-08,1447,1575,1,202
19-03,1373,967,0,133
19-04,2986,2778,0,322
19-05,1597,879,0,141
19-07,1124,1096,0,148
19-09,2021,1383,1,168
19-10,3806,2548,0,371
19-11,1272,997,0,152
19-12,2360,1960,1,268
19-13,738,953,1,108
19-14,1191,987,0,120
19-15,1167,853,0,122
19-16,1105,1072,0,97
19-17,1407,2457,0,159
20-01,1265,1465,0,165
20-03,1519,1362,0,192
20-04,1299,1477,0,187
20-05,1709,1399,0,185
20-06A,1681,1885,1,259
20-06B,1554,1221,0,233
20-08,1854,1682,0,279
20-09,1152,1091,0,150
20-10,1190,1330,0,180
20-11,1647,1324,0,216
20-12,1157,926,1,158
20-14,2047,2446,0,288
20-15,1070,1669,0,186
20-16,872,1448,0,148
20-17,1306,1403,0,217
