id,David Price,OVER VOTES,Sue Googe,UNDER VOTES
01-01,1212,0,446,47
01-02,1111,0,514,46
01-03,980,2,808,45
01-04,613,0,452,28
01-05,517,0,413,20
01-06,1639,0,685,63
01-07,1239,0,454,53
01-07A,191,0,26,20
01-09,758,1,265,23
01-10,853,1,466,27
01-11,819,1,1012,36
01-12,950,0,607,42
01-13,1050,0,276,27
01-14,2312,1,591,89
01-15,859,2,678,48
01-16,1450,1,724,70
01-17,459,0,449,31
01-18,1394,3,837,80
01-19,1310,0,58,38
01-20,1771,1,263,66
01-21,2121,3,917,125
01-22,2855,1,144,64
01-23,3360,2,1846,302
01-25,410,0,48,15
01-26,1784,2,125,69
01-27,1263,1,251,51
01-28,2727,1,486,87
01-29,1117,0,937,51
01-30,587,1,513,37
01-31,1977,0,609,117
01-32,1368,1,569,67
01-33,789,0,451,33
01-34,1119,0,63,32
01-35,1564,0,66,52
01-36,972,0,1030,61
01-37,888,1,671,47
01-38,1262,3,496,70
01-39,1428,0,683,81
01-40,2918,2,201,81
01-41,1209,0,427,63
01-43,1240,0,491,71
01-44,1925,6,934,89
01-45,864,0,623,41
01-46,1935,3,299,80
01-48,1386,0,460,53
01-49,1627,1,648,82
01-50,1959,0,129,46
01-51,557,2,391,34
04-01,1108,0,649,72
04-02,1255,0,791,65
04-03,1038,0,569,57
04-04,839,0,521,53
04-05,1833,1,1089,79
04-06,1431,1,1000,91
04-08,1304,0,647,56
04-09,1098,1,952,52
04-10,1301,0,974,78
04-11,849,0,381,35
04-12,1305,0,1046,60
04-13,2104,5,1608,142
04-14,831,0,609,40
04-15,1210,0,804,59
04-16,1099,1,687,59
04-17,1014,0,572,55
04-18,1319,3,848,59
04-19,876,0,625,54
04-20,1586,4,901,86
04-21,974,0,429,62
05-01,1878,3,1360,127
05-03,1494,0,1285,100
05-05,3499,0,2172,202
05-06,2256,2,1779,131
05-07,3555,2,1657,174
05-08,1583,4,733,79
07-01,898,0,515,35
07-02,784,0,584,30
07-03,755,2,601,33
07-04,2212,1,1114,114
07-05,896,3,615,36
07-06,1552,1,1367,74
07-07,1722,0,1283,83
07-07A,299,1,174,30
07-09,1581,0,1006,84
07-10,2413,1,1477,126
07-11,589,1,462,24
07-12,1360,1,789,90
07-13,1143,0,740,47
08-02,1889,0,1378,85
08-03,2358,2,1818,135
08-05,940,1,885,40
08-06,1253,2,495,59
08-09,1033,0,636,71
08-10,1285,1,874,73
08-11,1921,1,1296,140
11-01,2365,0,1434,150
11-02,2092,0,1410,105
13-01,2697,0,638,98
13-02,881,0,811,66
13-05,1164,0,440,75
13-06,1388,0,1093,77
13-07,1287,2,558,62
13-08,1616,2,387,79
13-09,2460,0,769,104
16-02,3066,0,646,101
16-03,775,1,418,37
16-04,1174,1,981,63
16-05,91,1,55,4
16-06,794,0,376,31
16-07,1560,0,1149,72
16-08,4865,4,781,130
17-01,1527,1,594,75
17-02,434,0,338,30
17-03,3417,1,1558,164
17-04,2923,4,1595,146
17-05,2245,2,835,94
17-07,2431,2,424,63
17-08,4001,2,2089,201
17-09,2441,2,244,66
17-10,629,1,296,39
17-11,2510,3,772,99
18-01,2611,0,1149,158
18-06,2117,0,1108,118
18-08,1722,3,1399,101
19-16,1153,1,1060,60
19-17,2533,2,1370,118
20-01,1552,1,1230,112
20-03,1505,0,1460,108
20-04,1641,0,1223,99
20-09,1221,0,1099,73
20-10,1545,0,1062,93
20-14,2679,0,1962,140
20-15,1760,0,1062,103
20-16,1530,1,862,75
20-17,1550,0,1261,115
