id,Donald J. Trump,Gary Johnson,Hillary Clinton,OVER VOTES,UNDER VOTES,WRITE-IN
01-01,353,63,1248,0,11,30
01-02,414,85,1136,1,12,23
01-03,674,67,1029,0,25,40
01-04,394,45,620,0,9,25
01-05,365,29,526,0,13,17
01-06,553,103,1667,0,22,42
01-07,360,63,1288,1,9,25
01-07A,21,3,210,1,0,2
01-09,197,45,789,0,5,11
01-10,417,47,859,0,6,18
01-11,923,54,828,1,25,37
01-12,515,60,977,0,8,39
01-13,236,37,1052,0,8,20
01-14,471,94,2353,5,17,53
01-15,629,57,861,0,16,24
01-16,654,69,1453,0,20,49
01-17,403,41,473,0,8,14
01-18,785,82,1377,3,16,51
01-19,47,9,1331,0,5,14
01-20,189,64,1815,1,10,22
01-21,775,144,2165,3,19,60
01-22,106,37,2886,1,12,22
01-23,1411,298,3640,3,30,128
01-25,35,14,418,0,1,5
01-26,58,25,1861,0,7,29
01-27,212,43,1273,0,10,28
01-28,420,67,2743,1,16,54
01-29,840,78,1115,1,30,41
01-30,436,36,631,0,15,20
01-31,431,151,2027,3,20,71
01-32,476,86,1386,2,9,46
01-33,391,37,808,0,8,29
01-34,37,8,1149,2,4,14
01-35,46,21,1586,1,7,21
01-36,902,85,1007,1,22,46
01-37,615,72,876,0,12,32
01-38,511,60,1217,2,10,31
01-39,597,96,1435,1,13,50
01-40,159,38,2968,2,11,24
01-41,344,95,1213,0,22,25
01-42,1223,72,1086,0,20,46
01-43,493,68,1196,1,12,32
01-44,907,88,1889,2,20,48
01-45,552,66,851,0,10,49
01-46,270,39,1963,1,16,28
01-47,886,71,912,2,16,38
01-48,403,92,1353,0,8,43
01-49,546,111,1631,2,11,57
01-50,101,33,1972,1,12,15
01-51,381,37,536,1,11,18
02-01,1213,122,1295,0,23,43
02-02,2416,181,2017,1,42,79
02-03,1381,104,1038,0,16,48
02-04,1100,72,863,0,17,25
02-05,426,43,414,1,8,19
02-06,1252,68,919,2,20,35
03-00,1451,136,1402,0,18,39
04-01,629,58,1090,3,17,32
04-02,764,99,1181,2,19,46
04-03,531,64,1029,1,6,33
04-04,491,46,846,0,7,23
04-05,984,125,1807,2,24,60
04-06,942,85,1438,2,23,33
04-07,1234,75,1118,0,25,44
04-08,536,78,1353,0,9,31
04-09,870,75,1109,1,15,33
04-10,839,121,1337,4,9,43
04-11,338,53,837,1,10,26
04-12,958,87,1297,3,11,55
04-13,1450,130,2185,1,29,64
04-14,566,67,812,0,9,26
04-15,693,117,1198,0,11,54
04-16,634,81,1077,0,12,42
04-17,490,85,1018,0,11,37
04-18,718,100,1347,0,13,51
04-19,532,79,900,0,12,32
04-20,838,119,1536,2,15,67
04-21,377,79,977,0,7,25
05-01,1231,125,1927,0,20,65
05-03,1183,83,1539,1,24,49
05-05,1896,207,3643,7,22,98
05-06,1616,97,2380,1,28,46
05-07,1403,200,3674,3,24,84
05-08,647,80,1635,1,11,25
06-04,1181,152,1510,2,18,42
06-05,1520,97,1132,1,29,46
06-06,1904,220,2181,3,23,79
06-07,1185,96,1429,0,23,50
06-08,749,77,1008,0,9,36
06-09,2082,216,1845,2,34,84
06-10,1239,121,965,0,12,37
07-01,450,59,898,1,8,32
07-02,521,43,794,2,11,27
07-03,553,54,735,0,15,34
07-04,1015,156,2184,3,22,61
07-05,576,61,869,0,12,32
07-06,1262,104,1523,2,37,66
07-07,1158,137,1715,4,21,53
07-07A,187,7,291,1,14,4
07-09,880,106,1615,0,14,56
07-10,1232,164,2514,2,24,81
07-11,426,26,582,1,13,28
07-12,695,78,1394,2,27,44
07-13,702,73,1101,1,16,37
08-02,1217,143,1894,2,28,68
08-03,1597,191,2413,0,28,84
08-04,689,66,737,0,12,29
08-05,804,56,936,0,27,43
08-06,444,72,1233,0,11,49
08-07,1081,96,1070,0,15,43
08-08,1561,156,1883,1,23,80
08-09,579,66,1050,0,6,39
08-10,767,101,1292,3,16,54
08-11,1147,132,1985,3,23,68
09-01,980,59,788,0,8,25
09-02,958,66,1652,2,15,33
09-03,1247,56,921,0,8,34
10-01,680,15,327,0,1,12
10-02,1344,85,1464,1,12,47
10-03,925,63,1096,0,14,32
10-04,2079,159,3009,2,22,56
11-01,1241,174,2434,2,23,75
11-02,1284,127,2107,1,31,57
12-01,2639,155,1614,2,32,53
12-02,1668,143,1652,1,16,79
12-04,2171,125,997,0,15,52
12-05,3123,228,2612,1,36,90
12-06,1608,112,1133,0,18,74
12-07,1217,77,812,0,11,25
12-08,1484,141,1768,1,21,59
12-09,1769,123,1318,1,19,57
13-01,595,105,2670,1,9,53
13-02,763,70,883,0,15,27
13-05,421,64,1162,1,9,22
13-06,990,95,1414,1,16,42
13-07,527,71,1268,3,8,32
13-08,366,55,1627,1,8,27
13-09,652,94,2510,2,19,56
13-10,2040,164,2491,9,32,91
13-11,1197,107,1326,2,16,43
14-01,386,23,222,0,3,2
14-02,2986,171,1622,2,24,79
15-01,2003,125,1262,3,14,40
15-02,2189,194,1859,2,19,83
15-03,2264,111,1239,0,22,60
15-04,1020,76,720,0,4,21
16-01,1098,65,916,2,14,20
16-02,633,96,3018,7,17,42
16-03,435,56,724,0,6,10
16-04,966,83,1124,0,18,28
16-05,1007,80,1032,1,12,27
16-06,378,41,760,1,3,18
16-07,1168,90,1453,2,17,51
16-08,750,108,4836,2,21,63
16-09,958,85,1549,3,21,32
17-01,578,55,1512,1,20,31
17-02,369,27,389,0,7,10
17-03,1427,193,3402,3,24,91
17-04,1602,147,2858,0,8,53
17-05,807,86,2215,2,17,49
17-06,825,36,731,0,5,18
17-07,387,60,2414,3,22,34
17-08,2016,197,3932,3,42,103
17-09,223,40,2455,1,4,30
17-10,313,24,609,1,6,12
17-11,714,89,2513,8,11,49
18-01,922,210,2687,2,22,75
18-02,2081,133,1706,0,26,73
18-03,806,59,1103,1,13,37
18-04,1620,123,1477,0,22,54
18-05,1843,122,2185,0,42,78
18-06,965,153,2126,1,27,71
18-07,1550,110,1080,1,19,64
18-08,1226,145,1766,0,30,58
19-03,1218,115,992,0,27,121
19-04,2802,177,2989,1,37,80
19-05,1436,96,951,0,25,109
19-07,977,88,1169,0,20,114
19-09,1974,104,1407,2,30,56
19-10,3507,230,2824,1,36,127
19-11,1183,121,1046,1,12,58
19-12,2186,172,2130,1,33,67
19-13,680,59,1015,0,8,38
19-14,1079,65,1102,1,13,38
19-15,1082,69,951,1,14,25
19-16,1093,69,1063,1,8,40
19-17,1279,129,2527,3,22,63
20-01,1145,160,1533,3,13,41
20-03,1316,162,1519,0,22,54
20-04,1063,132,1690,1,16,61
20-05,1413,128,1654,1,36,61
20-06A,1388,181,2144,2,24,87
20-06B,1293,159,1469,0,20,67
20-08,1578,185,1945,2,26,79
20-09,986,97,1260,0,15,35
20-10,932,98,1612,1,16,41
20-11,1452,183,1456,0,28,68
20-12,1021,102,1055,2,18,44
20-14,1682,168,2835,4,27,65
20-15,871,96,1885,3,9,61
20-16,722,84,1587,1,13,61
20-17,1045,133,1674,0,12,62
