id,Donald J. Trump,Gary Johnson,Hillary Clinton,WRITE-IN,over,under
01-01,353,63,1248,30,0,11
01-02,414,85,1136,23,1,12
01-03,674,67,1029,40,0,25
01-04,394,45,620,25,0,9
01-05,365,29,526,17,0,13
01-06,553,103,1667,42,0,22
01-07,360,63,1288,25,1,9
01-07A,21,3,210,2,1,0
01-09,197,45,789,11,0,5
01-10,417,47,859,18,0,6
01-11,923,54,828,37,1,25
01-12,515,60,977,39,0,8
01-13,236,37,1052,20,0,8
01-14,471,94,2353,53,5,17
01-15,629,57,861,24,0,16
01-16,654,69,1453,49,0,20
01-17,403,41,473,14,0,8
01-18,785,82,1377,51,3,16
01-19,47,9,1331,14,0,5
01-20,189,64,1815,22,1,10
01-21,775,144,2165,60,3,19
01-22,106,37,2886,22,1,12
01-23,1411,298,3640,128,3,30
01-25,35,14,418,5,0,1
01-26,58,25,1861,29,0,7
01-27,212,43,1273,28,0,10
01-28,420,67,2743,54,1,16
01-29,840,78,1115,41,1,30
01-30,436,36,631,20,0,15
01-31,431,151,2027,71,3,20
01-32,476,86,1386,46,2,9
01-33,391,37,808,29,0,8
01-34,37,8,1149,14,2,4
01-35,46,21,1586,21,1,7
01-36,902,85,1007,46,1,22
01-37,615,72,876,32,0,12
01-38,511,60,1217,31,2,10
01-39,597,96,1435,50,1,13
01-40,159,38,2968,24,2,11
01-41,344,95,1213,25,0,22
01-42,1223,72,1086,46,0,20
01-43,493,68,1196,32,1,12
01-44,907,88,1889,48,2,20
01-45,552,66,851,49,0,10
01-46,270,39,1963,28,1,16
01-47,886,71,912,38,2,16
01-48,403,92,1353,43,0,8
01-49,546,111,1631,57,2,11
01-50,101,33,1972,15,1,12
01-51,381,37,536,18,1,11
02-01,1213,122,1295,43,0,23
02-02,2416,181,2017,79,1,42
02-03,1381,104,1038,48,0,16
02-04,1100,72,863,25,0,17
02-05,426,43,414,19,1,8
02-06,1252,68,919,35,2,20
03-00,1451,136,1402,39,0,18
04-01,629,58,1090,32,3,17
04-02,764,99,1181,46,2,19
04-03,531,64,1029,33,1,6
04-04,491,46,846,23,0,7
04-05,984,125,1807,60,2,24
04-06,942,85,1438,33,2,23
04-07,1234,75,1118,44,0,25
04-08,536,78,1353,31,0,9
04-09,870,75,1109,33,1,15
04-10,839,121,1337,43,4,9
04-11,338,53,837,26,1,10
04-12,958,87,1297,55,3,11
04-13,1450,130,2185,64,1,29
04-14,566,67,812,26,0,9
04-15,693,117,1198,54,0,11
04-16,634,81,1077,42,0,12
04-17,490,85,1018,37,0,11
04-18,718,100,1347,51,0,13
04-19,532,79,900,32,0,12
04-20,838,119,1536,67,2,15
04-21,377,79,977,25,0,7
05-01,1231,125,1927,65,0,20
05-03,1183,83,1539,49,1,24
05-05,1896,207,3643,98,7,22
05-06,1616,97,2380,46,1,28
05-07,1403,200,3674,84,3,24
05-08,647,80,1635,25,1,11
06-04,1181,152,1510,42,2,18
06-05,1520,97,1132,46,1,29
06-06,1904,220,2181,79,3,23
06-07,1185,96,1429,50,0,23
06-08,749,77,1008,36,0,9
06-09,2082,216,1845,84,2,34
06-10,1239,121,965,37,0,12
07-01,450,59,898,32,1,8
07-02,521,43,794,27,2,11
07-03,553,54,735,34,0,15
07-04,1015,156,2184,61,3,22
07-05,576,61,869,32,0,12
07-06,1262,104,1523,66,2,37
07-07,1158,137,1715,53,4,21
07-07A,187,7,291,4,1,14
07-09,880,106,1615,56,0,14
07-10,1232,164,2514,81,2,24
07-11,426,26,582,28,1,13
07-12,695,78,1394,44,2,27
07-13,702,73,1101,37,1,16
08-02,1217,143,1894,68,2,28
08-03,1597,191,2413,84,0,28
08-04,689,66,737,29,0,12
08-05,804,56,936,43,0,27
08-06,444,72,1233,49,0,11
08-07,1081,96,1070,43,0,15
08-08,1561,156,1883,80,1,23
08-09,579,66,1050,39,0,6
08-10,767,101,1292,54,3,16
08-11,1147,132,1985,68,3,23
09-01,980,59,788,25,0,8
09-02,958,66,1652,33,2,15
09-03,1247,56,921,34,0,8
10-01,680,15,327,12,0,1
10-02,1344,85,1464,47,1,12
10-03,925,63,1096,32,0,14
10-04,2079,159,3009,56,2,22
11-01,1241,174,2434,75,2,23
11-02,1284,127,2107,57,1,31
12-01,2639,155,1614,53,2,32
12-02,1668,143,1652,79,1,16
12-04,2171,125,997,52,0,15
12-05,3123,228,2612,90,1,36
12-06,1608,112,1133,74,0,18
12-07,1217,77,812,25,0,11
12-08,1484,141,1768,59,1,21
12-09,1769,123,1318,57,1,19
13-01,595,105,2670,53,1,9
13-02,763,70,883,27,0,15
13-05,421,64,1162,22,1,9
13-06,990,95,1414,42,1,16
13-07,527,71,1268,32,3,8
13-08,366,55,1627,27,1,8
13-09,652,94,2510,56,2,19
