id,Deborah K. Ross,OVER VOTES,Richard Burr,Sean Haugh,UNDER VOTES
01-01,1204,0,435,48,18
01-02,1063,0,538,54,16
01-03,915,1,880,29,10
01-04,562,0,497,22,12
01-05,471,0,460,12,7
01-06,1597,0,707,66,17
01-07,1233,0,448,46,19
01-07A,197,1,28,7,4
01-09,745,0,277,20,5
01-10,785,0,536,20,6
01-11,652,0,1186,20,10
01-12,920,0,633,39,7
01-13,1038,0,272,32,11
01-14,2291,2,584,88,28
01-15,828,1,704,42,12
01-16,1363,0,792,56,34
01-17,417,0,494,22,6
01-18,1333,2,871,75,33
01-19,1314,0,55,19,18
01-20,1776,0,235,63,27
01-21,2106,0,927,86,47
01-22,2853,1,134,51,25
01-23,3450,3,1721,221,115
01-25,403,0,45,17,8
01-26,1794,1,111,40,34
01-27,1267,0,239,44,16
01-28,2692,0,488,87,34
01-29,974,0,1074,44,13
01-30,559,1,544,23,11
01-31,2001,2,532,116,52
01-32,1367,0,524,77,37
01-33,752,0,480,24,17
01-34,1131,0,50,23,10
01-35,1573,1,64,20,24
01-36,885,0,1120,40,18
01-37,836,0,711,42,18
01-38,1190,0,557,58,26
01-39,1404,1,679,84,24
01-40,2906,0,190,66,40
01-41,1194,2,419,66,18
01-42,994,0,1379,46,28
01-43,1169,1,539,65,28
01-44,1873,6,958,85,32
01-45,821,0,636,59,12
01-46,1919,0,313,59,26
01-47,863,1,996,51,14
01-48,1349,0,460,69,21
01-49,1591,0,629,102,36
01-50,1960,0,110,42,22
01-51,516,0,421,31,16
02-01,1207,0,1401,62,26
02-02,1871,2,2710,101,52
02-03,965,0,1541,58,23
02-04,774,0,1247,39,17
02-05,390,0,494,21,6
02-06,805,1,1428,37,25
03-00,1271,0,1636,87,52
04-01,1056,1,682,67,23
04-02,1187,2,800,93,29
04-03,1005,0,579,53,27
04-04,825,2,515,53,18
04-05,1704,0,1180,83,35
04-06,1340,2,1072,68,41
04-07,1018,0,1422,36,20
04-08,1297,0,613,71,26
04-09,1037,1,997,48,20
04-10,1239,0,984,97,33
04-11,817,0,376,55,17
04-12,1266,0,1042,78,25
04-13,2029,1,1669,103,57
04-14,787,0,610,64,19
04-15,1173,1,798,79,22
04-16,1070,0,692,64,20
04-17,990,1,565,60,25
04-18,1276,1,875,55,22
04-19,832,0,630,65,28
04-20,1491,0,929,121,36
04-21,959,1,401,81,23
05-01,1807,2,1391,125,43
05-03,1415,0,1352,56,56
05-05,3402,3,2167,207,94
05-06,2167,2,1859,81,59
05-07,3453,2,1669,183,81
05-08,1543,2,736,81,37
06-04,1457,0,1269,139,40
06-05,1054,1,1664,83,23
06-06,2054,0,2132,161,63
06-07,1379,1,1282,87,34
06-08,984,0,813,65,17
06-09,1749,2,2295,154,63
06-10,922,0,1340,91,21
07-01,865,0,511,55,17
07-02,730,0,614,41,13
07-03,693,0,657,29,12
07-04,2154,1,1123,125,38
07-05,841,0,641,57,11
07-06,1441,0,1464,54,35
07-07,1627,1,1332,98,30
07-07A,265,1,217,7,14
07-09,1536,1,1005,96,33
07-10,2404,2,1423,124,64
07-11,551,0,493,23,9
07-12,1305,0,826,59,50
07-13,1073,3,758,75,21
08-02,1813,0,1416,96,27
08-03,2286,1,1804,175,47
08-04,690,0,783,47,13
08-05,900,1,909,37,19
08-06,1214,0,486,86,23
08-07,974,0,1240,71,20
08-08,1789,1,1785,93,36
08-09,994,1,663,55,27
08-10,1219,3,902,83,26
08-11,1885,0,1304,113,56
09-01,785,0,1006,50,19
09-02,1626,0,991,78,31
09-03,891,0,1292,61,22
10-01,329,0,673,26,7
10-02,1465,1,1353,106,28
10-03,1085,1,937,86,21
10-04,2927,3,2186,154,57
11-01,2318,5,1426,151,49
11-02,1991,1,1480,96,39
12-01,1568,0,2729,150,48
12-02,1615,3,1737,152,52
12-04,1005,2,2176,128,49
12-05,2400,0,3405,213,72
12-06,1101,1,1708,101,34
12-07,800,0,1226,87,29
12-08,1723,0,1574,130,47
12-09,1248,0,1888,106,45
13-01,2647,1,634,118,33
13-02,835,0,846,56,21
13-05,1149,1,434,63,32
13-06,1349,0,1096,87,26
13-07,1271,0,566,49,23
13-08,1583,2,409,59,31
13-09,2449,1,748,96,39
13-10,2314,4,2308,137,64
13-11,1231,0,1343,86,31
14-01,206,0,400,20,10
14-02,1507,0,3183,150,44
15-01,1264,2,2025,128,28
15-02,1848,0,2294,162,42
15-03,1246,1,2290,119,40
15-04,731,0,1034,60,16
16-01,919,1,1100,74,21
16-02,3002,2,677,94,38
16-03,729,0,441,48,13
16-04,1099,1,1026,66,27
16-05,1049,2,1001,79,28
16-06,758,0,381,50,12
16-07,1424,1,1236,94,26
16-08,4797,4,778,148,53
16-09,1536,1,964,103,44
17-01,1495,3,605,62,32
17-02,381,0,379,35,7
17-03,3355,0,1577,148,60
17-04,2803,3,1655,154,53
17-05,2177,1,881,76,41
17-06,748,1,820,36,10
17-07,2390,0,450,56,24
17-08,3851,1,2155,223,63
17-09,2435,2,242,46,28
17-10,593,0,320,34,18
17-11,2431,1,808,101,43
18-01,2603,0,1058,191,66
18-02,1557,0,2306,109,47
18-03,1031,0,911,56,21
18-04,1464,2,1714,92,24
18-05,1999,0,2131,100,40
18-06,2050,1,1105,131,56
18-07,1042,0,1652,105,25
18-08,1646,1,1406,123,49
19-03,971,2,1361,108,31
19-04,2878,3,2968,163,74
19-05,901,1,1603,76,36
19-07,1117,1,1150,55,45
19-09,1386,0,2011,116,60
19-10,2686,1,3752,207,79
19-11,1015,0,1256,116,34
19-12,2042,3,2328,150,66
19-13,985,2,731,59,23
19-14,1002,0,1183,81,32
19-15,898,0,1156,58,30
19-16,1053,0,1131,69,21
19-17,2486,3,1369,127,38
20-01,1492,0,1230,132,41
20-03,1442,2,1479,118,32
20-04,1582,1,1226,114,40
20-05,1499,0,1662,84,48
20-06A,2021,0,1596,145,64
20-06B,1344,1,1496,112,55
20-08,1797,0,1831,131,56
20-09,1177,2,1118,76,20
20-10,1469,0,1133,63,35
20-11,1374,0,1644,120,49
20-12,981,1,1161,51,48
20-14,2612,2,1979,130,58
20-15,1760,0,1032,88,45
20-16,1518,0,846,74,30
20-17,1515,0,1286,83,42
