id,Donald Agee,Mary Beth Ainsworth,OVER VOTES,Sheila W. Ellis,Tom Benton,UNDER VOTES,WRITE-IN
09-01,560,217,4,203,497,371,8
09-02,595,322,7,349,1005,442,6
09-03,816,216,4,188,678,359,5
10-01,452,105,0,106,205,165,2
10-02,872,382,3,399,822,461,14
10-03,596,241,8,261,669,345,10
10-04,1411,678,5,741,1554,914,24
17-02,215,90,2,95,228,170,2
17-04,1103,626,6,665,1447,807,14
19-03,793,315,3,228,618,509,7
19-04,1608,896,6,707,1540,1306,23
19-05,975,323,5,158,604,550,2
19-07,630,291,2,234,611,591,9
19-09,1059,482,8,384,831,799,10
19-10,2153,974,7,599,1648,1324,20
19-11,628,359,10,235,644,538,7
19-12,1327,691,5,391,1195,961,19
19-15,187,134,1,52,175,149,2
19-16,663,320,5,260,601,420,5
19-17,803,583,4,574,1258,785,16
