id,Mark A. Ivey,Monika Johnson-Hostler,OVER VOTES,Peter Hochstaetter,UNDER VOTES,WRITE-IN
12-01,547,1244,19,1735,937,13
12-02,524,1244,10,1025,746,10
12-04,366,819,8,1523,641,3
12-06,355,870,9,1055,641,15
12-07,265,651,4,827,382,13
12-08,484,1313,14,863,791,9
15-01,408,1073,9,1189,746,22
15-02,510,1354,11,1608,841,22
15-03,469,1001,10,1532,676,8
15-04,221,613,2,621,380,4
16-01,321,728,3,600,458,5
16-02,243,949,3,289,353,10
16-03,170,569,4,242,243,3
16-04,263,880,6,596,469,5
16-05,281,774,8,611,471,14
16-06,153,566,5,222,251,4
16-07,299,1178,6,760,529,9
16-08,694,3624,15,499,930,18
16-09,370,1147,4,550,565,12
17-06,248,554,5,433,367,8
