id,OVER VOTES,Roxie Cash,UNDER VOTES,WRITE-IN
01-42,1,1065,1335,46
01-43,1,942,822,37
01-44,1,1358,1550,45
01-45,1,759,729,39
01-47,0,907,985,33
02-01,2,1250,1409,35
02-02,0,2123,2530,83
02-03,1,1100,1447,39
02-04,0,892,1159,26
02-05,0,425,471,15
02-06,0,1029,1238,29
07-05,1,774,747,28
07-13,0,983,919,28
13-02,0,833,900,25
13-05,1,830,821,27
13-06,0,1326,1183,49
13-07,4,874,989,42
13-08,3,1004,1043,34
13-09,3,1621,1650,59
13-10,1,2349,2385,92
13-11,2,1287,1349,53
14-01,1,284,339,12
14-02,1,2212,2579,92
19-13,1,857,903,39
19-14,1,1104,1144,49
19-15,3,728,677,34
