id,Heather Elliott,Keith Sutton,OVER VOTES,UNDER VOTES,WRITE-IN
01-13,292,715,0,334,12
01-19,201,974,0,228,3
01-20,134,652,0,143,7
01-22,467,2153,3,425,16
01-26,369,1212,0,387,12
01-28,685,1906,4,689,17
01-34,185,830,1,188,10
01-35,238,1166,0,272,6
01-40,515,2192,4,479,12
01-50,302,1536,1,286,9
16-02,381,1271,0,308,6
17-01,544,1124,2,519,8
17-03,1285,2575,8,1249,23
17-05,753,1561,0,828,34
17-07,599,1845,5,459,12
17-08,1797,2929,3,1524,40
17-09,486,1838,4,413,12
17-10,286,427,1,247,4
17-11,862,1754,6,744,18
