id,Christine Kushner,OVER VOTES,UNDER VOTES,WRITE-IN
01-01,1072,1,612,20
01-02,1076,0,580,15
01-03,1034,0,774,27
01-04,610,0,461,22
01-05,548,0,382,20
01-06,1431,1,926,29
01-07,1098,0,632,16
01-07A,128,0,108,1
01-09,651,0,385,11
01-10,809,1,518,19
01-11,941,0,888,39
01-12,954,0,632,13
01-15,907,0,659,21
01-16,1317,1,900,27
01-17,525,0,396,18
01-18,1297,1,973,43
01-29,1216,0,838,51
01-30,631,0,494,13
01-33,735,0,518,20
01-36,1127,1,903,32
01-37,943,1,644,19
01-38,1079,1,725,26
01-39,1341,2,830,19
01-46,1420,3,862,32
01-51,546,0,427,11
07-01,842,0,590,16
07-03,803,0,560,28
07-04,2135,1,1261,44
07-09,1554,1,1087,29
07-11,616,1,442,17
11-01,2308,1,1586,54
11-02,2073,2,1495,37
13-01,2159,2,1219,53
