id,OVER VOTES,UNDER VOTES,WRITE-IN,Zora S. Felton
05-01,1,753,28,1173
05-03,0,1081,34,1316
05-05,1,2327,58,3487
05-06,0,547,12,723
05-07,5,2152,62,3169
05-08,0,954,20,1425
07-02,0,613,19,766
07-06,0,1413,24,1557
07-07,1,1351,39,1697
07-07A,0,254,3,247
07-10,2,1692,40,2283
07-12,0,921,28,1291
08-02,2,1401,48,1901
08-03,4,1678,75,2556
08-04,0,693,35,805
08-05,0,843,26,997
08-06,0,593,25,1191
08-07,0,1101,32,1172
08-08,0,1608,56,2040
08-09,0,721,17,1002
08-10,1,929,39,1264
08-11,1,1439,53,1865
20-15,1,137,4,222
20-16,0,349,12,476
