id,Bill Fletcher,Michael Tanbusch,OVER VOTES,UNDER VOTES,WRITE-IN
04-01,876,391,2,547,13
04-02,1009,425,0,651,26
04-03,725,391,1,530,17
04-04,608,336,1,453,15
04-05,1418,583,4,971,26
04-06,1147,434,0,928,14
04-07,1182,373,0,924,17
04-08,892,444,1,654,16
04-09,920,385,0,778,20
04-10,1079,451,1,798,24
04-11,549,301,0,402,13
04-12,1113,451,1,835,11
04-13,1685,766,1,1382,25
04-14,677,249,2,542,10
04-15,947,462,0,655,9
04-16,843,362,0,621,20
04-17,746,306,1,567,21
04-18,958,480,0,773,18
04-19,693,294,0,556,12
04-20,1170,570,1,819,17
04-21,570,383,3,498,11
05-01,646,240,1,520,6
05-03,220,55,0,171,2
05-06,1233,577,2,1050,24
18-03,895,347,0,763,14
18-08,1477,662,1,1074,11
20-04,1288,631,1,1020,23
20-10,1231,512,1,933,23
