id,Laura M. Riddick,UNDER VOTES
01-01,971,734
01-02,1074,597
01-03,1271,564
01-04,739,354
01-05,683,267
01-06,1445,942
01-07,1009,737
01-07A,66,171
01-09,634,413
01-10,886,461
01-11,1462,406
01-12,1050,549
01-13,698,655
01-14,1559,1434
01-15,1091,496
01-16,1425,820
01-17,693,246
01-18,1450,864
01-19,444,962
01-20,913,1188
01-21,1806,1360
01-22,1155,1909
01-23,3537,1973
01-25,167,306
01-26,718,1262
01-27,804,762
01-28,1522,1779
01-29,1501,604
01-30,816,322
01-31,1460,1243
01-32,1217,788
01-33,790,483
01-34,430,784
01-35,529,1153
01-36,1499,564
01-37,1124,483
01-38,1077,754
01-39,1370,822
01-40,1134,2068
01-41,1012,687
01-42,1813,634
01-43,1074,728
01-44,1758,1196
01-45,1041,487
01-46,947,1370
01-47,1429,496
01-48,1079,820
01-49,1419,939
01-50,785,1349
01-51,685,299
02-01,1976,720
02-02,3516,1220
02-03,1937,650
02-04,1540,537
02-05,669,242
02-06,1742,554
03-00,2242,804
04-01,1125,704
04-02,1389,722
04-03,1060,604
04-04,919,494
04-05,1990,1012
04-06,1681,842
04-07,1832,664
04-08,1252,755
04-09,1465,638
04-10,1587,766
04-11,794,471
04-12,1646,765
04-13,2506,1353
04-14,966,514
04-15,1380,693
04-16,1208,638
04-17,1040,601
04-18,1483,746
04-19,1032,523
04-20,1681,896
04-21,860,605
05-01,2250,1118
05-03,2035,844
05-05,3752,2121
05-06,2856,1312
05-07,3302,2086
05-08,1471,928
06-04,1964,941
06-05,2141,684
06-06,3115,1295
06-07,1928,855
06-08,1225,654
06-09,3170,1093
06-10,1753,621
07-01,917,531
07-02,923,475
07-03,990,401
07-04,2190,1251
07-05,1035,515
07-06,2172,822
07-07,2125,963
07-07A,319,185
07-09,1786,885
07-10,2627,1390
07-11,738,338
07-12,1467,773
07-13,1311,619
08-02,2303,1049
08-03,3016,1297
08-04,1077,456
08-05,1356,510
08-06,1103,706
08-07,1716,589
08-08,2679,1025
08-09,1142,598
08-10,1513,720
08-11,2182,1176
09-01,1307,553
09-02,1663,1063
09-03,1666,600
10-01,820,215
10-02,2086,867
10-03,1413,717
10-04,3396,1931
11-01,2566,1383
11-02,2413,1194
12-01,3459,1036
12-02,2460,1099
12-04,2644,716
12-05,4533,1557
12-06,2200,745
12-07,1614,528
12-08,2317,1157
12-09,2442,845
13-01,1644,1789
13-02,1232,526
13-05,937,742
13-06,1800,758
13-07,1035,874
13-08,992,1092
13-09,1722,1611
13-10,3403,1424
13-11,1964,727
14-01,489,147
14-02,3793,1091
15-01,2587,860
15-02,3147,1199
15-03,2858,838
15-04,1379,462
16-01,1548,567
16-02,1843,1970
16-03,768,463
16-04,1494,725
16-05,1435,724
16-06,694,507
16-07,1869,912
16-08,2585,3195
16-09,1621,1027
17-01,1161,1036
17-02,527,275
17-03,2831,2309
17-04,2858,1810
17-05,1731,1445
17-06,1095,520
17-07,1419,1501
17-08,3737,2556
17-09,1104,1649
17-10,557,408
17-11,1754,1630
18-01,2338,1580
18-02,3009,1010
18-03,1414,605
18-04,2362,934
18-05,3021,1249
18-06,2048,1295
18-07,2129,695
18-08,2211,1014
19-03,1804,669
19-04,4266,1820
19-05,2007,610
19-07,1595,773
19-09,2635,938
19-10,4946,1779
19-11,1754,667
19-12,3263,1326
19-13,1140,660
19-14,1639,659
19-15,1568,574
19-16,1575,699
19-17,2428,1595
20-01,1955,940
20-03,2136,937
20-04,2017,946
20-05,2314,979
20-06A,2523,1303
20-06B,2153,855
20-08,2643,1172
20-09,1715,678
20-10,1823,877
20-11,2251,936
20-12,1606,636
20-14,3189,1592
20-15,1876,1049
20-16,1587,881
20-17,1928,998
