id,Marshall Harvey,Matthew Hebb,OVER VOTES,UNDER VOTES,WRITE-IN
01-01,907,323,1,460,14
01-02,860,364,0,424,23
01-03,804,450,0,560,21
01-04,471,267,0,337,18
01-05,417,210,0,306,17
01-06,1184,459,0,722,22
01-07,896,317,0,511,22
01-07A,114,52,0,71,0
01-09,506,205,0,323,13
01-10,655,285,0,383,24
01-11,693,590,0,557,28
01-12,764,361,0,458,16
01-13,731,250,2,358,12
01-14,1695,504,5,764,25
01-15,672,472,3,430,10
01-16,1085,549,2,595,14
01-17,401,264,0,266,8
01-18,977,691,1,630,15
01-19,890,261,1,251,3
01-20,1132,431,0,512,26
01-21,1458,816,0,869,23
01-22,1897,647,4,504,12
01-23,2583,1368,3,1505,51
01-25,240,101,4,125,3
01-26,1081,427,0,459,13
01-27,851,292,1,409,13
01-28,1814,702,3,771,11
01-29,953,578,1,548,25
01-30,465,331,0,339,3
01-31,1303,643,3,728,26
01-32,957,514,0,520,14
01-33,631,256,0,373,13
01-34,749,241,1,216,7
01-35,1043,329,0,307,3
01-36,816,598,1,625,23
01-37,735,418,1,442,11
01-38,887,485,1,448,10
01-39,1039,607,1,534,11
01-40,1988,640,3,563,8
01-41,825,413,0,452,9
01-42,894,932,1,604,16
01-43,819,511,3,459,10
01-44,1271,842,1,823,17
01-45,665,461,2,387,13
01-46,1140,550,1,611,15
01-47,772,716,1,420,16
01-48,949,446,0,490,14
01-49,1203,631,2,512,10
01-50,1386,389,1,352,6
01-51,410,297,0,271,6
02-01,967,1024,3,693,9
02-02,1750,1727,1,1225,33
02-03,967,986,2,614,18
02-04,751,738,1,576,11
02-05,323,340,0,242,6
02-06,785,933,2,566,10
03-00,1115,1076,0,831,24
04-01,762,543,2,507,15
04-02,923,684,1,486,17
04-03,725,512,0,420,7
04-04,579,447,3,368,16
04-05,1244,902,4,837,15
04-06,1027,759,0,731,6
04-07,932,916,2,636,10
04-08,907,580,0,510,10
04-09,828,697,1,566,11
04-10,961,708,0,663,21
04-11,565,349,1,338,12
04-12,1000,822,0,575,14
04-13,1533,1091,3,1203,29
04-14,655,453,2,360,10
04-15,913,596,1,552,11
04-16,787,548,0,503,8
04-17,706,480,3,439,13
04-18,921,671,2,622,13
04-19,630,482,1,432,10
04-20,1188,736,2,630,21
04-21,652,422,2,376,13
05-01,1374,1023,4,946,21
05-03,1099,885,1,867,27
05-05,2453,1777,4,1614,25
05-06,1640,1321,1,1187,19
05-07,2260,1669,3,1434,22
05-08,1006,703,1,674,15
06-04,1163,946,1,773,22
06-05,910,1172,1,727,15
06-06,1647,1476,4,1258,25
06-07,1087,1029,1,655,11
06-08,737,660,1,474,7
06-09,1488,1542,3,1211,19
06-10,859,913,0,581,21
07-01,613,433,1,391,10
07-02,602,395,0,385,16
07-03,617,413,1,348,12
07-04,1683,938,0,808,12
07-05,688,498,0,359,5
07-06,1176,996,1,805,16
07-07,1291,946,1,824,26
07-07A,215,102,0,186,1
07-09,1180,801,2,670,18
07-10,1720,1219,0,1057,21
07-11,483,341,0,247,5
07-12,1024,584,0,615,17
07-13,792,653,0,474,11
08-02,1374,1086,1,869,22
08-03,1843,1404,3,1036,27
08-04,602,509,1,408,13
08-05,768,632,0,457,9
08-06,926,494,1,376,12
08-07,882,761,1,641,20
08-08,1495,1207,1,976,25
08-09,749,511,1,469,10
08-10,923,662,0,624,24
08-11,1348,988,0,1001,21
09-01,833,576,2,444,5
09-02,1281,850,3,585,7
09-03,951,831,0,472,12
10-01,394,411,1,221,8
10-02,1307,1032,0,603,11
10-03,999,662,0,454,15
10-04,2445,1734,3,1125,20
11-01,1740,1054,1,1131,23
11-02,1656,979,2,944,26
12-01,1610,1739,1,1118,27
12-02,1499,1214,0,822,24
12-04,1230,1330,3,782,15
12-05,2269,2134,3,1651,33
12-06,1107,1095,0,722,21
12-07,855,820,1,451,15
12-08,1484,1119,3,846,22
12-09,1177,1274,3,817,16
13-01,1758,845,0,811,19
13-02,666,583,0,497,12
13-05,720,478,0,469,12
13-06,1060,851,1,632,14
13-07,926,496,3,471,13
13-08,1038,558,1,476,11
13-09,1638,890,6,780,19
13-10,1923,1599,3,1269,33
13-11,1024,1008,1,650,8
14-01,251,205,1,178,1
14-02,1676,1836,5,1325,42
15-01,1438,1116,4,867,22
15-02,1744,1563,2,1008,29
15-03,1512,1399,1,775,9
15-04,764,645,0,425,7
16-01,882,719,1,504,9
16-02,2081,969,1,744,18
16-03,555,375,0,297,4
16-04,958,677,0,564,20
16-05,944,672,0,529,14
16-06,566,349,2,281,3
16-07,1214,863,0,688,16
16-08,3249,1459,3,1050,19
16-09,1245,764,3,627,9
17-01,1105,551,3,530,8
17-02,372,223,1,204,2
17-03,2513,1308,5,1287,27
17-04,2192,1434,1,1023,18
17-05,1575,834,1,745,21
17-06,688,536,0,384,7
17-07,1740,661,2,505,12
17-08,2926,1882,2,1451,32
17-09,1723,565,2,459,4
17-10,483,243,0,238,1
17-11,1702,903,5,757,17
18-01,1885,944,3,1046,40
18-02,1465,1473,0,1055,26
18-03,804,691,2,509,13
18-04,1306,1138,0,837,15
18-05,1609,1621,2,1019,19
18-06,1518,873,0,924,28
18-07,1048,1026,4,733,13
18-08,1304,970,4,928,19
