id,Marshall Harvey,Matthew Hebb,WRITE-IN,over,under
01-01,907,323,14,1,460
01-02,860,364,23,0,424
01-03,804,450,21,0,560
01-04,471,267,18,0,337
01-05,417,210,17,0,306
01-06,1184,459,22,0,722
01-07,896,317,22,0,511
01-07A,114,52,0,0,71
01-09,506,205,13,0,323
01-10,655,285,24,0,383
01-11,693,590,28,0,557
01-12,764,361,16,0,458
01-13,731,250,12,2,358
01-14,1695,504,25,5,764
01-15,672,472,10,3,430
01-16,1085,549,14,2,595
01-17,401,264,8,0,266
01-18,977,691,15,1,630
01-19,890,261,3,1,251
01-20,1132,431,26,0,512
01-21,1458,816,23,0,869
01-22,1897,647,12,4,504
01-23,2583,1368,51,3,1505
01-25,240,101,3,4,125
01-26,1081,427,13,0,459
01-27,851,292,13,1,409
01-28,1814,702,11,3,771
01-29,953,578,25,1,548
01-30,465,331,3,0,339
01-31,1303,643,26,3,728
01-32,957,514,14,0,520
01-33,631,256,13,0,373
01-34,749,241,7,1,216
01-35,1043,329,3,0,307
01-36,816,598,23,1,625
01-37,735,418,11,1,442
01-38,887,485,10,1,448
01-39,1039,607,11,1,534
01-40,1988,640,8,3,563
01-41,825,413,9,0,452
01-42,894,932,16,1,604
01-43,819,511,10,3,459
01-44,1271,842,17,1,823
01-45,665,461,13,2,387
01-46,1140,550,15,1,611
01-47,772,716,16,1,420
01-48,949,446,14,0,490
01-49,1203,631,10,2,512
01-50,1386,389,6,1,352
01-51,410,297,6,0,271
02-01,967,1024,9,3,693
02-02,1750,1727,33,1,1225
02-03,967,986,18,2,614
02-04,751,738,11,1,576
02-05,323,340,6,0,242
02-06,785,933,10,2,566
03-00,1115,1076,24,0,831
04-01,762,543,15,2,507
04-02,923,684,17,1,486
04-03,725,512,7,0,420
04-04,579,447,16,3,368
04-05,1244,902,15,4,837
04-06,1027,759,6,0,731
04-07,932,916,10,2,636
04-08,907,580,10,0,510
04-09,828,697,11,1,566
04-10,961,708,21,0,663
04-11,565,349,12,1,338
04-12,1000,822,14,0,575
04-13,1533,1091,29,3,1203
04-14,655,453,10,2,360
04-15,913,596,11,1,552
04-16,787,548,8,0,503
04-17,706,480,13,3,439
04-18,921,671,13,2,622
04-19,630,482,10,1,432
04-20,1188,736,21,2,630
04-21,652,422,13,2,376
05-01,1374,1023,21,4,946
05-03,1099,885,27,1,867
05-05,2453,1777,25,4,1614
05-06,1640,1321,19,1,1187
05-07,2260,1669,22,3,1434
05-08,1006,703,15,1,674
06-04,1163,946,22,1,773
06-05,910,1172,15,1,727
06-06,1647,1476,25,4,1258
06-07,1087,1029,11,1,655
06-08,737,660,7,1,474
06-09,1488,1542,19,3,1211
06-10,859,913,21,0,581
07-01,613,433,10,1,391
07-02,602,395,16,0,385
07-03,617,413,12,1,348
07-04,1683,938,12,0,808
07-05,688,498,5,0,359
07-06,1176,996,16,1,805
07-07,1291,946,26,1,824
07-07A,215,102,1,0,186
07-09,1180,801,18,2,670
07-10,1720,1219,21,0,1057
07-11,483,341,5,0,247
07-12,1024,584,17,0,615
07-13,792,653,11,0,474
08-02,1374,1086,22,1,869
08-03,1843,1404,27,3,1036
08-04,602,509,13,1,408
08-05,768,632,9,0,457
08-06,926,494,12,1,376
08-07,882,761,20,1,641
08-08,1495,1207,25,1,976
08-09,749,511,10,1,469
08-10,923,662,24,0,624
08-11,1348,988,21,0,1001
09-01,833,576,5,2,444
09-02,1281,850,7,3,585
09-03,951,831,12,0,472
10-01,394,411,8,1,221
10-02,1307,1032,11,0,603
10-03,999,662,15,0,454
10-04,2445,1734,20,3,1125
11-01,1740,1054,23,1,1131
11-02,1656,979,26,2,944
12-01,1610,1739,27,1,1118
12-02,1499,1214,24,0,822
12-04,1230,1330,15,3,782
12-05,2269,2134,33,3,1651
12-06,1107,1095,21,0,722
12-07,855,820,15,1,451
12-08,1484,1119,22,3,846
12-09,1177,1274,16,3,817
13-01,1758,845,19,0,811
13-02,666,583,12,0,497
13-05,720,478,12,0,469
13-06,1060,851,14,1,632
13-07,926,496,13,3,471
13-08,1038,558,11,1,476
13-09,1638,890,19,6,780
13-10,1923,1599,33,3,1269
13-11,1024,1008,8,1,650
14-01,251,205,1,1,178
14-02,1676,1836,42,5,1325
15-01,1438,1116,22,4,867
15-02,1744,1563,29,2,1008
15-03,1512,1399,9,1,775
15-04,764,645,7,0,425
16-01,882,719,9,1,504
16-02,2081,969,18,1,744
16-03,555,375,4,0,297
16-04,958,677,20,0,564
16-05,944,672,14,0,529
16-06,566,349,3,2,281
16-07,1214,863,16,0,688
16-08,3249,1459,19,3,1050
16-09,1245,764,9,3,627
17-01,1105,551,8,3,530
17-02,372,223,2,1,204
17-03,2513,1308,27,5,1287
17-04,2192,1434,18,1,1023
17-05,1575,834,21,1,745
17-06,688,536,7,0,384
17-07,1740,661,12,2,505
17-08,2926,1882,32,2,1451
17-09,1723,565,4,2,459
17-10,483,243,1,0,238
17-11,1702,903,17,5,757
18-01,1885,944,40,3,1046
18-02,1465,1473,26,0,1055
18-03,804,691,13,2,509
18-04,1306,1138,15,0,837
18-05,1609,1621,19,2,1019
18-06,1518,873,28,0,924
18-07,1048,1026,13,4,733
18-08,1304,970,19,4,928
19-03,941,925,10,0,597
19-04,2379,2097,31,4,1575
19-05,914,1055,8,2,638
19-07,920,758,10,2,678
19-09,1518,1116,18,3,918
19-10,2594,2401,37,3,1690
19-11,953,812,12,0,644
19-12,1797,1551,32,1,1208
19-13,770,528,10,2,490
19-14,867,830,22,0,579
19-15,794,758,17,2,571
19-16,1030,737,10,3,494
19-17,1866,1217,21,4,915
20-01,1207,954,26,0,708
20-03,1188,1037,22,0,826
20-04,1257,885,15,1,805
