id,Donald Agee,Mary Beth Ainsworth,Sheila W. Ellis,Tom Benton,WRITE-IN,over,under
09-01,560,217,203,497,8,4,371
09-02,595,322,349,1005,6,7,442
09-03,816,216,188,678,5,4,359
10-01,452,105,106,205,2,0,165
10-02,872,382,399,822,14,3,461
10-03,596,241,261,669,10,8,345
10-04,1411,678,741,1554,24,5,914
17-02,215,90,95,228,2,2,170
17-04,1103,626,665,1447,14,6,807
19-03,793,315,228,618,7,3,509
19-04,1608,896,707,1540,23,6,1306
19-05,975,323,158,604,2,5,550
19-07,630,291,234,611,9,2,591
19-09,1059,482,384,831,10,8,799
19-10,2153,974,599,1648,20,7,1324
19-11,628,359,235,644,7,10,538
19-12,1327,691,391,1195,19,5,961
19-15,187,134,52,175,2,1,149
19-16,663,320,260,601,5,5,420
19-17,803,583,574,1258,16,4,785
