id,Mark A. Ivey,Monika Johnson-Hostler,Peter Hochstaetter,WRITE-IN,over,under
12-01,547,1244,1735,13,19,937
12-02,524,1244,1025,10,10,746
12-04,366,819,1523,3,8,641
12-06,355,870,1055,15,9,641
12-07,265,651,827,13,4,382
12-08,484,1313,863,9,14,791
15-01,408,1073,1189,22,9,746
15-02,510,1354,1608,22,11,841
15-03,469,1001,1532,8,10,676
15-04,221,613,621,4,2,380
16-01,321,728,600,5,3,458
16-02,243,949,289,10,3,353
16-03,170,569,242,3,4,243
16-04,263,880,596,5,6,469
16-05,281,774,611,14,8,471
16-06,153,566,222,4,5,251
16-07,299,1178,760,9,6,529
16-08,694,3624,499,18,15,930
16-09,370,1147,550,12,4,565
17-06,248,554,433,8,5,367
