id,Heather Elliott,Keith Sutton,WRITE-IN,over,under
01-13,292,715,12,0,334
01-19,201,974,3,0,228
01-20,134,652,7,0,143
01-22,467,2153,16,3,425
01-26,369,1212,12,0,387
01-28,685,1906,17,4,689
01-34,185,830,10,1,188
01-35,238,1166,6,0,272
01-40,515,2192,12,4,479
01-50,302,1536,9,1,286
16-02,381,1271,6,0,308
17-01,544,1124,8,2,519
17-03,1285,2575,23,8,1249
17-05,753,1561,34,0,828
17-07,599,1845,12,5,459
17-08,1797,2929,40,3,1524
17-09,486,1838,12,4,413
17-10,286,427,4,1,247
17-11,862,1754,18,6,744
