id,Christine Kushner,WRITE-IN,over,under
01-01,1072,20,1,612
01-02,1076,15,0,580
01-03,1034,27,0,774
01-04,610,22,0,461
01-05,548,20,0,382
01-06,1431,29,1,926
01-07,1098,16,0,632
01-07A,128,1,0,108
01-09,651,11,0,385
01-10,809,19,1,518
01-11,941,39,0,888
01-12,954,13,0,632
01-15,907,21,0,659
01-16,1317,27,1,900
01-17,525,18,0,396
01-18,1297,43,1,973
01-29,1216,51,0,838
01-30,631,13,0,494
01-33,735,20,0,518
01-36,1127,32,1,903
01-37,943,19,1,644
01-38,1079,26,1,725
01-39,1341,19,2,830
01-46,1420,32,3,862
01-51,546,11,0,427
07-01,842,16,0,590
07-03,803,28,0,560
07-04,2135,44,1,1261
07-09,1554,29,1,1087
07-11,616,17,1,442
11-01,2308,54,1,1586
11-02,2073,37,2,1495
13-01,2159,53,2,1219
